,dividend,close_price,dividend_yield
2003-09-03,0.2,11.2,1.79
2004-05-11,0.05,8,0.63
2009-05-06,0.1,1.88,5.32
2011-05-10,0.02,2.04,0.98
2011-08-23,0.05,2.02,2.48
2012-05-09,0.04,2,2
2013-03-25,0.06,4.14,1.45
2014-04-18,0.1,3.08,3.25
2015-05-08,0.055,2.58,2.13
