,dividend,close_price,dividend_yield
2010-05-18,0.26,10.9,2.39
2010-08-11,0.21,10.9,1.93
2010-11-11,0.21,11.4,1.84
2011-02-28,0.2075,11.9,1.74
2011-05-23,0.21,11.8,1.78
2011-08-22,0.21,12.2,1.72
2011-09-15,0.17,11.9,1.43
2012-03-08,0.16,11.2,1.43
2012-05-28,0.215,11.5,1.87
2012-08-23,0.2,11.8,1.69
2012-10-26,0.244,11.9,2.05
2013-03-05,0.098,12.5,0.78
2013-05-23,0.21,13,1.62
2013-08-27,0.195,11.7,1.67
2013-11-26,0.2,11.6,1.72
2014-02-25,0.226,11.7,1.93
2014-05-27,0.21,12.1,1.74
2014-08-22,0.21,12.2,1.72
2014-11-21,0.2,12.1,1.65
2015-02-24,0.2,12.3,1.63
2015-05-26,0.19,12.6,1.51
2015-08-26,0.2,12.4,1.61
2015-11-25,0.2,12.5,1.6
2016-02-25,0.2,12.4,1.61
2016-05-25,0.19,12.4,1.53
2016-08-24,0.18,12.3,1.46
2016-11-23,0.165,10.6,1.56
2017-03-06,0.165,10.5,1.57
2017-05-24,0.17,10.9,1.56
2017-08-24,0.175,10.7,1.64
2017-11-23,0.2165,11.9,1.82
