,dividend,close_price,dividend_yield
2013-01-29,0.2366,14.2,1.67
2013-05-03,0.1941,14,1.39
2013-07-26,0.1941,11.7,1.66
2013-10-29,0.1941,11.1,1.75
2014-01-31,0.1941,10.1,1.92
2014-05-02,0.196,10.4,1.88
2014-08-06,0.196,11.3,1.73
2014-11-07,0.196,10.5,1.87
2015-01-30,0.2,10.5,1.9
2015-05-08,0.206,10.4,1.98
2015-08-04,0.206,11.4,1.81
2015-11-05,0.216,13.5,1.6
2016-02-05,0.23,13.8,1.67
2016-05-03,0.24,17.4,1.38
2016-08-04,0.2209,15.6,1.42
2016-11-10,0.2328,15.3,1.52
2017-02-02,0.2331,14.7,1.59
2017-05-12,0.24,13.6,1.76
2017-08-10,0.24,13.2,1.82
2017-11-09,0.2448,14.6,1.68
