,dividend,close_price,dividend_yield
2006-03-10,0.14,2.46,5.69
2006-08-25,0.1,2.64,3.79
2007-03-09,0.15,2.92,5.14
2007-08-21,0.14,3.46,4.05
2008-03-17,0.26,4.06,6.4
2008-08-26,0.2,4.84,4.13
2009-04-16,0.12,2.4,5
2009-08-27,0.14,3.28,4.27
2010-04-16,0.26,4.72,5.51
2010-08-26,0.24,5.5,4.36
2011-04-18,0.26,5.8,4.48
2011-08-25,0.24,5.9,4.07
2012-04-12,0.16,4.96,3.23
2012-08-21,0.17,4.96,3.43
2013-04-12,0.19,5,3.8
2013-08-20,0.18,4.84,3.72
2014-04-11,0.14,4.46,3.14
2014-08-18,0.15,4.4,3.41
2015-04-10,0.08,4.42,1.81
2015-08-19,0.15,4.04,3.71
2016-04-18,0.2,4.44,4.5
2016-08-24,0.22,5.15,4.27
2017-04-27,0.2,5.6,3.57
2017-08-23,0.18,5.25,3.43
