,dividend,close_price,dividend_yield
2001-05-09,4,3.3617,118.99
2002-05-09,4,4.4293,90.31
2003-05-09,3,3.6797,81.53
2004-05-11,3,4.293,69.88
2005-04-01,2.5,3.9069,63.99
2006-05-02,0.25,2.5622,9.76
2007-04-26,0.25,3.18,7.86
2008-05-08,0.3,3.4,8.82
2009-05-11,0.3,3.5,8.57
2009-08-26,0.25,3.68,6.79
2010-05-11,0.25,4.64,5.39
2011-05-10,0.35,4.34,8.06
2012-03-09,0.14,3.38,4.14
2013-03-11,0.28,5.3,5.28
2014-03-17,0.31,4.48,6.92
2015-03-10,0.1,3.76,2.66
2016-03-10,0.2,3.96,5.05
2017-03-09,0.35,5.65,6.19
2017-08-23,0.14,6.4,2.19
