,dividend,close_price,dividend_yield
2001-05-10,1.75,3.5,50
2001-12-26,1.25,4.075,30.67
2002-04-03,1.5,4.375,34.29
2002-09-04,0.175,4.98,3.51
2003-04-28,0.15,4.24,3.54
2003-09-11,0.125,5.8,2.16
2004-03-31,0.11,4.08,2.7
2004-09-02,0.15,3.96,3.79
2005-03-14,0.12,3.82,3.14
2006-03-31,0.1,3.82,2.62
2006-09-13,0.12,4.06,2.96
2007-04-25,0.12,3.78,3.17
2009-05-06,0.07,1.99,3.52
2010-04-30,0.14,3.72,3.76
2011-04-29,0.25,5.25,4.76
2012-05-04,0.12,13.6,0.88
2013-03-18,0.3,17.4,1.72
2014-03-26,0.4,12.7,3.15
2015-03-25,0.3,12.3,2.44
2016-03-17,0.25,12.9,1.94
2016-08-31,0.3,17,1.76
2017-03-23,0.35,15.9,2.2
2017-08-29,0.38,17,2.24
