,dividend,close_price,dividend_yield
2002-04-09,4.54,11.1628,40.67
2002-08-21,0.25,8.2471,3.03
2003-04-24,0.25,6.831,3.66
2003-08-20,0.28,8.9136,3.14
2004-04-26,0.32,9.58,3.34
2004-08-20,0.3,8.9969,3.33
2005-04-28,0.1,9.4967,1.05
2005-08-18,0.25,7.4557,3.35
2006-04-27,0.37,7.9972,4.63
2006-08-22,0.2,9.1635,2.18
2007-04-26,0.22,9.58,2.3
2007-08-20,0.2,10.6,1.89
2008-04-24,0.32,10.7,2.99
2008-08-20,0.15,9.1,1.65
2009-04-17,0.25,6,4.17
2009-08-25,0.13,6.7,1.94
2010-04-23,0.3,8.6,3.49
2010-08-23,0.18,9.2,1.96
2011-04-28,0.36,11.2,3.21
2011-08-23,0.25,12.6,1.98
2012-05-04,0.4,14,2.86
2012-08-21,0.27,14.3,1.89
2013-04-23,0.51,25,2.04
2013-08-20,0.3,25.5,1.18
2014-04-29,0.7,32.5,2.15
2014-08-20,0.28,37.25,0.75
2015-04-27,0.57,34,1.68
2015-08-18,0.25,26.25,0.95
2016-03-01,0.25,29.75,0.84
2016-05-03,0.85,35.75,2.38
2016-08-22,0.25,37.5,0.67
2017-05-08,1,39.25,2.55
2017-08-17,0.22,44,0.5
