,dividend,close_price,dividend_yield
2011-03-11,0.14,10.9,1.28
2011-06-17,0.35,13.2,2.65
2011-08-30,0.35,14.7,2.38
2011-11-25,0.35,14.6,2.4
2012-03-14,0.35,15,2.33
2012-05-30,0.38,16.5,2.3
2012-08-31,0.38,21.2,1.79
2012-11-27,0.38,20.3,1.87
2013-02-26,0.36,20.8,1.73
2013-05-29,0.36,21.6,1.67
2013-08-27,0.37,20.8,1.78
2013-11-26,0.33,20.9,1.58
2014-02-26,0.36,20,1.8
2014-05-28,0.37,20,1.85
2014-08-28,0.36,19.7,1.83
2014-11-27,0.33,19.6,1.68
2015-02-24,0.33,19.2,1.72
2015-05-27,0.4131,18.9,2.19
2015-08-28,0.376,19,1.98
2015-11-25,0.45,19.8,2.27
2016-02-24,0.41,21,1.95
2016-05-30,0.4575,25.5,1.79
2016-08-26,0.4305,26.25,1.64
2016-11-25,0.4505,27,1.67
2017-02-23,0.4505,26.5,1.7
2017-05-25,0.4598,28,1.64
2017-08-28,0.438,27.5,1.59
2017-11-28,0.3325,26,1.28
