,dividend,close_price,dividend_yield
2001-04-04,1.65,2.2,75
2002-04-03,5,6,83.33
2003-04-25,4.5,5.95,75.63
2003-05-20,0.1,5.65,1.77
2003-08-20,0.1,6.6,1.52
2003-11-26,0.1,6.85,1.46
2004-05-06,0.2,6.3,3.17
2004-05-26,0.1,6,1.67
2004-08-20,0.1,6.4,1.56
2004-11-23,0.06,5.55,1.08
2005-05-09,0.028,4.76,0.59
2005-05-25,0.1,4.9,2.04
2005-08-24,0.1,4.92,2.03
2005-11-24,0.1,5.6,1.79
2006-05-04,0.29,8.75,3.31
2006-05-22,0.1,8.45,1.18
2006-08-24,0.1,7.7,1.3
2006-11-22,0.1,7.65,1.31
2007-05-03,0.3,8.05,3.73
2007-05-21,0.1,7.9,1.27
2007-08-21,0.1,8.2,1.22
2007-11-23,0.1,8.8,1.14
2008-05-12,0.26,9.5,2.74
2008-05-22,0.1,9.6,1.04
2008-08-21,0.1,8.8,1.14
2008-11-25,0.1,5.3,1.89
2009-05-13,0.29,7.05,4.11
2009-05-25,0.1,6.85,1.46
2009-08-28,0.1,7.45,1.34
2009-11-27,0.1,7.95,1.26
2010-05-13,0.36,9.3,3.87
2010-05-26,0.1,8.7,1.15
2010-08-23,0.1,9.2,1.09
2010-11-24,0.1,10.3,0.97
2011-05-12,0.43,10.5,4.1
2011-05-30,0.1,10.1,0.99
2011-08-23,0.1,10.8,0.93
2011-11-23,0.1,10.4,0.96
2012-05-03,0.11112,13.3,0.84
2012-05-25,0.1,12,0.83
2012-08-21,0.1,12.2,0.82
2012-11-20,0.1,10,1
2013-05-02,0.11112,9.8,1.13
2014-04-30,0.18,4.6,3.91
2015-04-29,0.18,6,3
2016-04-29,0.12,4.66,2.58
2017-04-28,0.01,3.9,0.26
