,dividend,close_price,dividend_yield
2002-12-26,1.5,34,4.41
2003-11-07,1,59.5,1.68
2003-12-29,1,45,2.22
2004-06-04,1.5,57,2.63
2004-12-28,1,48.75,2.05
2006-01-03,1.5,44,3.41
2007-01-05,1.65,40.75,4.05
2008-01-07,1.8,37.75,4.77
2008-04-18,0.45,28.5,1.58
2010-03-31,0.25,29,0.86
2011-03-11,1.25,41.5,3.01
2013-03-13,0.5,25.25,1.98
