,dividend,close_price,dividend_yield
2001-03-27,1.25,2.6,48.08
2002-04-01,0.4,3.8,10.53
2003-04-02,2,2.95,67.8
2004-01-26,5.95,11.5,51.74
2005-03-10,3.8,8.2,46.34
2006-03-08,0.22,4.48,4.91
2007-03-12,0.17,2.86,5.94
2007-10-04,0.08,3.96,2.02
2008-03-06,0.12,3.74,3.21
2008-08-28,0.06,2.32,2.59
2009-04-09,0.03,1.08,2.78
2009-09-04,0.06,1.84,3.26
2010-05-07,0.14,1.91,7.33
2010-09-02,0.07,2.28,3.07
2011-04-25,0.21,3.1,6.77
2011-09-06,0.08,2.82,2.84
2012-03-13,0.12,2.4,5
2012-09-04,0.08,2.3,3.48
2013-03-19,0.16,4.62,3.46
2013-09-02,0.2,3.58,5.59
2014-03-07,0.2,3.66,5.46
2014-08-26,0.12,3.9,3.08
2015-03-09,0.2,4.4,4.55
2015-08-25,0.12,3.8,3.16
2016-03-08,0.12,3.58,3.35
2016-08-22,0.09,3.6,2.5
2017-03-06,0.209278,3.78,5.54
2017-08-24,0.1,3.66,2.73
