,dividend,close_price,dividend_yield
2001-04-04,7.5,22.8,32.89
2002-04-03,8,24.8,32.26
2003-04-02,8.5,20.4,41.67
2003-11-21,10,24,41.67
2004-04-02,0.2,19,1.05
2004-08-20,0.4,17.6,2.27
2005-04-01,0.5,14.7,3.4
2005-08-19,0.15,12.7,1.18
2006-04-03,0.3,12.6,2.38
2006-08-21,0.35,17.6,1.99
2007-05-18,0.4,24.2,1.65
2007-08-16,0.5,23.5,2.13
2008-04-02,0.55,29.5,1.86
2008-09-01,0.6,22.4,2.68
2009-03-27,0.75,19,3.95
2009-08-25,0.5,19.1,2.62
2010-04-02,0.8,25,3.2
2010-08-24,0.65,30.5,2.13
2011-03-22,1,33.75,2.96
2011-08-23,0.8,42,1.9
2012-04-02,1,51,1.96
2012-08-20,1,54.75,1.83
2013-03-26,1.25,64,1.95
2013-08-20,1.2,59,2.03
2014-05-06,1.4,54.25,2.58
2014-08-19,1,47.25,2.12
2015-05-07,1,40.75,2.45
2015-08-18,0.7,34.25,2.04
2016-05-04,0.7,25.75,2.72
2016-08-25,0.45,22.9,1.97
2017-05-05,0.15,19,0.79
2017-08-22,0.1,15.5,0.65
