,dividend,close_price,dividend_yield
2011-04-18,0.015,2.36,0.64
2012-04-18,0.03,1.66,1.81
2013-04-19,0.033,2.68,1.23
2014-04-21,0.04,2.36,1.69
2015-04-21,0.06,2.8,2.14
2016-04-19,0.06,2.44,2.46
2017-04-17,0.06,2.48,2.42
