,dividend,close_price,dividend_yield
2005-12-13,0.25,9.15,2.73
2006-03-31,0.1,4.62,2.16
2007-04-03,0.2,4.4,4.55
2008-04-01,0.05,3.3,1.52
2010-03-09,0.125,3.96,3.16
2010-08-20,0.25,7.35,3.4
2011-03-09,0.15,7.15,2.1
2012-03-08,0.15,5.65,2.65
2012-08-21,0.2,7.95,2.52
2013-03-12,0.4,15,2.67
2013-08-20,0.08,3.2,2.5
2014-03-11,0.12,3.12,3.85
2014-08-26,0.1,5.3,1.89
2015-03-12,0.1,4.76,2.1
2016-03-08,0.15,3.5,4.29
2017-03-07,0.15,7.35,2.04
