,dividend,close_price,dividend_yield
2001-03-30,0.8,9.1,8.79
2002-04-04,1,17,5.88
2003-04-04,0.6,13,4.62
2004-04-07,0.7,15.2,4.61
2005-04-04,1.3,19.2,6.77
2006-04-07,1,19.4,5.15
2007-04-04,1,10.9,9.17
2010-03-31,0.5,9.1,5.49
2012-04-02,0.5,10,5
2013-04-02,0.25,10.7,2.34
