,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2006-09-30,,,,,,,,,0.0,,,83.36,623.44,129.7,838.94,114.42,1018.27,290.62,498.99,8.17,813.82,9.94,823.76,131.0,194.51,,,,,,0.0,4.24,0.23,0.0,0.0,,,,,,2.19,2.18,1.03,0.87,9,2006,,132.78260869565216,30.54
2006-12-31,462.52,-5.390000000000001,-0.040719681908548716,0.09,31.0,-4.600000000000001,-0.6800000000000068,0.59,0.0,467.1200000000001,-6.229999999999997,113.39,530.16,114.76,760.8,109.27,935.07,157.08,488.81,7.61,671.54,8.57,680.11,165.0,254.96,84.78,-2.69,-52.05,3.92,-3.5928571428571425,0.38,2.67,0.19,0.09,0.47,-2.3060198807157057,-0.0,-8.452548707753479,-0.0,-16.467896620278335,1.36,1.35,1.13,0.96,12,2006,11.91315789473684,132.36842105263156,25.15
2007-03-31,475.14,3.1,0.02,0.02,35.14,7.22,11.02,0.48,0.0,467.92,6.69,101.1,534.26,139.34,779.58,115.05,957.96,168.38,491.53,6.83,688.31,11.6,699.91,165.0,258.05,-19.54,-3.67,10.91,3.8,5.970000000000001,0.31,2.71,0.02,0.02,1.0,1.28,0.0,4.8,0.0,10.72,0.65,0.65,1.13,0.93,3,2007,3.1,155.0,3.1
2007-06-30,507.94000000000005,10.77,0.06211968276856525,0.0021196827685652495,46.06999999999999,16.96,20.77,0.41,0.0,490.97999999999996,15.709999999999997,81.55,571.55,141.16,797.52,127.94,988.97,215.56,470.89,6.77,713.55,9.89,723.44,165.0,265.53,-44.660000000000004,-16.369999999999997,41.480000000000004,3.8100000000000005,1.651650417827298,0.25,2.72,0.08,0.02,0.25,4.348377793799567,0.0,16.21323720259553,0.0,27.270540735400143,1.42,1.41,1.12,0.92,6,2007,0.36750000000000016,173.375,13.87
2007-09-30,546.4999999999999,4.1800000000000015,0.025473684210526325,-0.001131578947368423,44.91000000000001,9.410000000000004,13.939999999999998,0.45,0.0,537.1,9.870000000000005,78.04,618.92,129.09,830.49,140.56,1035.51,248.69,479.64,6.83,757.66,8.14,765.81,165.0,269.7,-15.61999999999999,-17.800000000000004,29.909999999999997,4.53,4.436931818181817,0.28,2.84,0.11,0.02,0.18,1.6117894736842109,3.0290526315789483,6.197052631578949,7.206736842105266,11.199157894736846,1.18,1.18,1.1,0.93,9,2007,-0.1856818181818185,164.0909090909091,18.05
2007-12-31,610.7200000000003,19.09,0.11822024771136241,-0.0003235913252068325,65.22,28.379999999999995,33.38,0.37,0.0,582.3400000000001,29.159999999999997,108.15,660.16,165.88,943.16,189.9,1150.72,327.47,490.89,18.63,851.57,10.35,861.92,165.0,288.8,-45.790000000000006,-2.0799999999999983,77.99,5.0,0.7830722891566266,0.21,2.98,0.23,0.02,0.09,6.640893914916532,12.212665589660745,26.440215401184705,28.08501884760366,42.600409262250935,1.74,1.74,1.11,0.91,12,2007,-0.05225296442687721,161.47826086956522,37.14
2008-03-31,678.72,13.47,0.08,0.0,56.82,22.69,27.93,0.49,0.0,656.03,18.36,112.39,716.46,204.7,1043.65,197.03,1258.28,343.02,564.19,18.35,944.23,11.79,956.02,165.0,302.27,-3.66,-6.35,14.26,5.24,1.5325,0.27,3.16,0.08,0.0,0.0,4.28,8.2,17.84,19.24,28.880000000000003,2.0,1.98,1.11,0.89,3,2008,0.0,168.375,13.47
2008-06-30,714.69,18.42,0.10974600188146756,0.10999999999999999,72.14000000000001,28.05,33.39,0.78,0.0,686.6400000000001,32.13,108.49,800.71,267.01,1185.82,197.92,1401.56,403.3,652.4,16.95,1088.6,10.42,1099.02,165.0,302.54,-33.31999999999999,-4.390000000000001,33.800000000000004,5.34,1.778880293159609,0.43,3.63,0.19,0.11,0.58,5.267808090310441,9.819379115710255,24.35206020696143,25.946265286923804,37.45226716839135,2.29,2.29,1.09,0.84,6,2008,18.462631578947367,167.8421052631579,31.89
2008-09-30,689.3099999999997,31.450000000000003,0.049652668140195776,0.08085154471274492,87.45999999999998,45.660000000000004,51.559999999999995,1.26,0.0,643.6499999999999,46.63,139.72,768.1,172.34,1086.24,198.47,1300.1,429.01,491.03,6.74,957.71,8.41,966.12,165.0,333.98,10.119999999999997,-7.209999999999999,26.959999999999994,5.9,6.359174880763116,0.62,2.89,0.1,0.11,1.1,9.672339753710137,16.385380486264605,37.67644458478055,41.668519103252294,55.928765393116514,3.04,3.04,1.13,0.95,9,2008,51.211368421052626,633.4,63.34
2008-12-31,454.2000000000003,-16.0,-0.02365863962822138,0.0069754964089564836,24.54000000000002,-15.460000000000008,-9.579999999999998,0.39,0.0,469.6600000000001,-15.670000000000002,77.55,506.51,97.02,686.55,194.23,896.51,223.15,322.77,12.32,571.34,7.18,578.52,165.0,317.99,148.28,-2.4299999999999997,-206.65999999999997,5.879999999999999,-4.120059375,0.2,1.82,0.07,0.11,1.57,-7.138149556400506,-10.693705111956062,-20.13012251795522,-21.089987325728767,-33.64934516265315,1.87,1.87,1.2,1.03,12,2008,4.71742857142857,676.2857142857142,47.34
