,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
1999-12-31,,,,,,,,25.0,0.0,,,253.57,99.16,235.6,605.27,725.82,1479.96,7.43,22.99,95.68,58.05,153.73,150.0,1326.23,,,,,,2.83,0.12,0.68,0.0,0.0,,,,,,3.69,3.64,6.33,3.86,12,1999,,14.897058823529411,10.13
2000-03-31,628.23,22.71,1.51,2.4,111.67,31.18,100.63,23.0,0.0,597.05,19.11,225.74,155.5,225.33,620.13,711.63,1470.88,5.0,49.56,114.59,58.51,173.1,150.0,1297.79,61.47,-104.64,-32.7,69.45,3.8075,2.66,0.13,1.51,2.4,1.59,6.159999999999999,0.0,7.0,0.0,9.2,3.69,3.61,5.41,3.45,3,2000,36.095364238410596,15.039735099337749,22.71
2000-06-30,357.53,23.33,1.5556711555169416,-0.006880282622079259,67.82000000000001,31.979999999999997,65.72,26.5,0.0,325.5400000000001,25.009999999999998,299.59,121.0,237.58,675.47,681.5,1495.79,9.42,39.31,134.06,58.61,192.68,150.0,1303.11,72.81,-69.38000000000001,4.410000000000004,33.739999999999995,4.257663951993143,3.05,0.15,3.07,2.4,0.78,6.242953953084274,0.0,7.155073848827106,0.0,9.404969591659427,4.76,4.67,5.04,3.27,6,2000,-0.10318182798714304,14.996742671009773,46.04
2000-09-30,346.81999999999994,20.21,1.3483501886792453,1.1987102452215601,66.82,27.810000000000002,63.170000000000016,21.25,0.0,319.01999999999987,20.550000000000004,300.39,119.6,259.61,699.48,671.07,1509.14,0.0,35.78,127.52,58.3,185.82,150.0,1323.32,52.609999999999985,-50.639999999999986,-27.410000000000004,35.360000000000014,3.9418913904007913,2.41,0.14,4.42,3.6,0.81,5.356793962264151,0.0,6.113334339622641,0.0,8.029089811320755,5.07,4.97,5.49,3.45,9,2000,17.967093607676098,14.98868778280543,66.25
2000-12-31,-1001.9699999999999,-56.94,-3.7919226638023624,-3.593421174137671,-188.46,-77.93,-186.02,26.5,0.0,-924.05,-57.42,323.92,97.0,274.17,725.85,648.58,1502.66,0.95,41.76,110.88,59.16,170.03,150.0,1332.63,-160.44,225.35999999999999,52.09,-108.09,-1.7470556726378648,2.98,0.13,0.62,0.0,0.0,-15.16769065520945,-21.283694951664877,-17.124812030075187,-17.124812030075187,-22.99617615467239,2.87,2.82,6.55,4.07,12,2000,-53.95927601809955,15.016129032258066,9.31
2001-03-31,706.06,36.99,2.47,1.8,137.54,51.88,112.98,28.0,0.0,654.18,39.54,284.33,147.84,287.84,745.71,649.76,1523.62,0.0,50.73,130.86,59.45,190.3,150.0,1333.32,41.76,-30.81,-27.0,61.1,2.835,3.15,0.14,2.47,1.8,0.73,9.72,13.879999999999999,11.079999999999998,11.24,14.88,5.33,5.24,5.7,3.5,3,2001,26.956275303643725,14.975708502024291,36.99
2001-06-30,357.97,23.53,1.5668522802379379,1.2049935645458656,58.05000000000001,26.21999999999999,58.42,35.0,0.0,331.75,14.530000000000001,345.06,113.46,274.88,754.71,634.36,1517.14,0.0,53.84,126.88,51.42,178.3,150.0,1338.84,94.36000000000001,-15.640000000000004,-18.0,32.199999999999996,5.581317467063323,3.92,0.13,4.03,3.0,0.74,6.205201586252478,8.055875743555848,7.0294514210178445,7.122762723066755,8.740158625247853,5.82,5.69,5.95,3.78,6,2001,18.095833877497714,15.017369727047146,60.52
2001-09-30,347.02,11.169999999999995,0.744770539824243,-0.003892898393863933,53.5,15.730000000000004,47.78999999999999,29.5,0.0,331.2900000000001,9.229999999999997,386.22,98.45,285.84,789.39,628.34,1545.71,0.81,51.78,144.63,51.07,195.7,150.0,1350.01,66.12,-66.75999999999999,0.8100000000000023,32.06,9.899894807520148,3.28,0.14,4.78,3.0,0.63,2.891828706932625,3.826687125122051,3.309398800390569,3.34056074766355,4.175700934579438,5.19,5.08,5.46,3.48,9,2001,-0.05838533176905969,14.997907949790793,71.69
2001-12-31,-1090.5,-55.04,-3.669333333333334,-2.999581589958159,-190.26,-71.16,-168.79,31.25,0.0,-1019.34,-45.449999999999996,370.07,108.45,292.12,887.51,603.96,1521.46,0.0,47.83,103.52,51.27,154.8,150.0,1366.66,-209.91,110.1,38.82,-97.63,-2.1288948946220927,3.43,0.11,1.11,0.0,0.0,-14.412876876876878,-19.834234234234238,-16.131843843843846,-16.264072072072075,-21.15651651651652,5.27,5.19,8.57,5.75,12,2001,-44.99372384937238,14.999999999999998,16.65
2002-03-31,657.1,31.66,2.11,1.8,116.46,42.6,98.07,41.5,0.0,614.5,32.93,211.78,93.68,291.69,815.21,582.44,1527.56,0.0,49.85,121.81,51.07,172.89,150.0,1354.68,64.02,-8.56,-27.81,55.47,4.9175,4.6,0.13,2.11,1.8,0.85,8.28,11.16,9.36,9.44,12.12,4.89,4.82,6.69,4.3,3,2002,27.008530805687204,15.004739336492891,31.66
2002-06-30,365.36,24.45,1.629709499198004,1.1997521794106194,54.05,29.619999999999997,57.360000000000014,41.0,0.0,335.74,8.79,421.01,116.48,304.19,854.55,552.94,1562.73,12.7,62.16,150.61,51.0,201.61,150.0,1361.12,34.540000000000006,-20.0,-5.300000000000001,27.739999999999995,6.2879918200409,4.52,0.15,3.74,3.0,0.8,6.257387274995545,8.174692568169668,7.181179825343077,7.2509000178221354,8.906754589199787,5.66,5.49,5.67,3.65,6,2002,17.999490584687127,15.002673796791443,56.11
2002-09-30,402.71000000000004,28.150000000000006,1.8775575599335392,-0.001959176523898892,82.78,38.379999999999995,66.38999999999999,39.0,0.0,364.3299999999999,29.61,436.03,151.46,275.02,878.08,579.58,1607.41,22.0,50.2,167.56,50.58,218.14,150.0,1389.27,54.91,-49.2,9.309999999999999,28.010000000000005,5.193289520426287,4.21,0.16,5.62,3.0,0.53,7.002421077616901,9.381106100166154,8.111583194873013,8.218490386897699,10.26309043436981,6.08,5.91,5.24,3.6,9,2002,-0.029373703541587304,14.99288256227758,84.26
2002-12-31,-1063.75,-51.02,-3.407472924187726,-3.003989105438288,-187.14999999999998,-66.03,-153.05,51.5,0.0,-997.7199999999999,-52.79,437.24,115.86,307.84,883.59,603.73,1632.04,15.0,57.48,158.43,51.1,209.52,150.0,1422.51,-120.92,-48.67999999999999,16.8,-87.02,-3.77875343002744,5.43,0.15,2.22,0.0,0.0,-12.52476534296029,-17.375042117930203,-14.366642599277977,-14.61222623345367,-18.54156438026474,9.91,9.2,5.58,3.63,12,2002,-44.978647686832744,14.972972972972972,33.24
2003-03-31,719.47,37.13,2.48,2.3,114.4,50.03,98.22,42.5,0.0,669.44,17.9,72.95,117.35,306.86,842.7,629.61,1611.96,15.0,71.85,168.78,51.28,220.06,150.0,1391.9,75.55,-99.23,-41.5,48.19,4.285,4.58,0.16,2.48,2.3,0.93,9.2,12.76,10.68,10.8,13.88,5.4,5.16,4.99,3.17,3,2003,34.43508064516129,14.971774193548388,37.13
2003-06-30,357.53999999999996,10.439999999999998,0.6957073785999578,0.0052931333789930785,53.19,12.920000000000002,40.5,48.0,0.0,344.63,5.870000000000001,57.28,118.9,343.32,867.81,616.96,1624.33,15.0,82.96,171.61,50.38,221.99,150.0,1402.34,-0.8199999999999932,-14.849999999999994,0.0,27.58,17.246403256704987,5.13,0.16,3.17,2.3,0.73,2.57214210636956,3.4675635904982123,2.9759596384275797,3.0198528484338865,3.801151986546142,4.58,4.42,5.06,3.06,6,2003,0.07943039584817058,15.006309148264984,47.57
2003-09-30,421.8499999999999,23.630000000000003,1.5764396067415731,1.1974167493708576,74.38,29.489999999999995,57.18000000000001,60.5,0.0,392.35,20.779999999999998,390.19,139.38,344.96,898.04,610.04,1647.52,15.03,80.33,189.08,50.47,239.55,150.0,1407.96,41.94,-19.059999999999988,-17.979999999999997,27.689999999999998,9.596783749471012,6.45,0.17,4.75,3.5,0.74,5.734921348314607,7.5403595505617975,6.71729213483146,6.75711797752809,8.41652808988764,4.91,4.75,4.75,2.93,9,2003,17.948646853727382,14.989473684210527,71.2
2003-12-31,-1143.2599999999998,-56.620000000000005,-3.766899862825789,-1.4903472673453182,-186.66,-73.58,-151.49,69.5,0.0,-1069.69,-33.33,28.7,113.68,379.36,882.92,596.87,1619.14,15.0,55.69,145.3,51.3,196.6,150.0,1422.54,-132.7,115.69999999999999,59.449999999999996,-77.91,-4.612579477216531,7.33,0.14,0.97,2.0,2.06,-13.980246913580249,-18.01898491083676,-15.844279835390948,-15.844279835390948,-19.883017832647464,4.19,4.1,6.08,3.47,12,2003,-22.401302224633753,15.030927835051546,14.58
2004-03-31,710.14,22.22,1.48,2.0,102.78,27.88,78.62,59.0,0.0,682.26,10.74,78.12,121.73,398.16,878.11,595.82,1613.32,18.0,59.48,163.29,49.85,213.14,150.0,1400.18,18.3,24.66,-27.03,50.74,9.965,6.32,0.15,1.48,2.0,1.35,5.52,6.920000000000001,6.359999999999999,6.359999999999999,7.68,3.21,3.13,5.38,2.94,3,2004,30.027027027027025,15.013513513513512,22.22
2004-06-30,371.92999999999995,13.800000000000004,0.9194891726818436,1.1993096928133022,51.97,17.540000000000003,43.31,55.0,0.0,354.4000000000001,10.520000000000001,83.32,127.14,383.15,880.55,590.01,1609.2,18.0,60.86,163.63,49.58,213.21,150.0,1395.99,41.519999999999996,-18.33,-18.0,25.770000000000003,14.956130434782606,5.91,0.15,2.4,3.2,1.33,3.4327595780122167,4.306274292059968,3.9538034425319273,3.93847862298723,4.811993337034981,3.4,3.33,5.38,3.04,6,2004,17.999639639639646,15.008333333333335,36.02
2004-09-30,427.73,25.79,1.719055169066494,-0.001259774578007891,60.129999999999995,34.980000000000004,61.25999999999999,59.5,0.0,392.74,10.069999999999997,117.09,136.64,377.09,920.08,594.2,1652.84,18.0,70.08,181.28,49.78,231.06,150.0,1421.78,45.830000000000005,-12.05,0.0,26.28,8.651962000775494,6.28,0.16,4.12,3.2,0.78,6.242006147872512,8.12795987704255,7.260087364504124,7.293467076524834,9.112661381653453,4.23,4.09,5.08,3.0,9,2004,-0.018899676375404795,15.00242718446602,61.81
2004-12-31,-1183.85,-62.04,-5.394782608695652,-4.1745884339383705,-174.82999999999998,-79.42,-158.14,52.5,0.0,-1104.43,-36.699999999999996,58.77,102.08,427.2,877.51,614.9,1630.93,18.0,68.82,157.99,51.4,209.39,150.0,1421.54,-119.34,-38.910000000000004,45.03,-78.72,-2.432906189555126,5.54,0.15,-0.02,0.0,0.0,-10.789565217391305,64.73739130434782,-21.57913043478261,-21.57913043478261,75.52695652173914,-0.07,-0.07,5.55,2.85,12,2004,-48.007766990291266,11.5,-0.23
2005-03-31,684.8,-9.81,-0.65,1.8,72.99,-9.21,39.86,49.0,0.0,694.01,-20.96,56.25,133.42,406.73,831.95,600.48,1570.99,18.0,48.03,134.88,51.15,186.02,150.0,1384.96,-23.85,-9.99,-27.0,49.07,-18.845,5.31,0.13,-0.65,1.8,-2.77,-2.48,-2.32,-2.84,-2.8,-2.5599999999999996,-1.46,-1.43,6.17,3.15,3,2005,27.166153846153847,15.092307692307692,-9.81
2005-06-30,337.6500000000001,-7.929999999999998,-0.5274746335963922,-0.006993322348452089,24.55000000000001,-8.259999999999998,18.58,40.0,0.0,345.9000000000001,-18.490000000000002,169.57,109.6,322.52,835.06,580.99,1554.34,18.0,51.95,127.23,50.07,177.31,150.0,1377.04,120.63,-7.3100000000000005,0.0,26.839999999999996,-18.959205548549814,4.36,0.13,-1.18,1.8,-1.53,-2.0383765501691085,-1.966854565952649,-2.3065839909808337,-2.288703494926719,-2.181420518602029,-1.77,-1.74,6.56,4.03,6,2005,-0.10513689700130513,15.033898305084746,-17.74
2005-09-30,349.76,-20.34,-1.3567121848739496,-0.00501531120922949,25.659999999999997,-20.22,6.490000000000009,33.0,0.0,369.99,-16.18,206.81,127.32,306.7,863.62,566.83,1568.41,18.0,75.77,161.38,50.34,211.72,150.0,1356.7,29.58,7.66,0.0,26.710000000000008,-6.079882005899705,3.65,0.16,-2.54,1.8,-0.71,-5.191827731092438,-4.99953781512605,-6.003718487394958,-5.854159663865547,-5.725966386554623,-2.83,-2.78,5.35,3.45,9,2005,-0.07519017749899959,14.992125984251967,-38.08
2005-12-31,-1083.69,22.39,1.4983747609942641,-1.8059348699959352,-113.83,22.139999999999997,-58.010000000000005,31.75,0.0,-1105.8400000000001,32.77,277.22,81.79,298.79,825.38,549.25,1512.51,18.0,52.17,119.93,51.58,171.5,150.0,1341.0,-101.96000000000001,55.65,27.0,-80.15,5.297740062527914,3.55,0.13,-1.05,0.0,0.0,5.9364181007010846,5.651013384321224,6.678470363288719,6.507227533460803,6.39306564690886,-5.58,-5.44,6.88,4.39,12,2005,-26.985826771653542,14.942857142857141,-15.69
2006-03-31,575.18,-40.9,-2.73,2.13,13.21,-40.6,4.33,32.0,0.0,615.78,-54.26,232.63,105.83,275.25,787.1,538.62,1463.49,18.0,51.5,128.37,51.28,179.64,150.0,1283.85,23.6,34.17,-31.95,44.93,-2.93,3.74,0.14,-2.73,2.13,-0.78,-11.16,-10.72,-12.76,-12.28,-12.16,-7.28,-7.11,6.13,3.99,3,2006,31.91098901098901,14.981684981684982,-40.9
