,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,total_asset,total_liability,cash_flow_operation,cash_flow_financing,DPS,month,year,EPS,cash_flow_investment,depreciation,dividend,P/E,ROA%,ROAA%,ROE%,ROAE%,ROCE%,number_of_shares,return_old
2006-12-31,,,,,,,,10.0,,,258.16,0.0,8202.63,215.05,,,0.0,12,2006,,,,,,,,,,,,
2007-03-31,203.33,,,,,,,9.85,70.4,-18.06,31.58,0.0,8319.58,196.65,-226.58,0.0,0.0,3,2007,,,,,,,,,,,,
2007-06-30,212.04999999999998,,,,,,,9.7,75.44,-20.570000000000004,15.63,0.0,8873.37,207.39,135.48000000000002,-151.43,0.19,6,2007,,,,,,,,,,,,
2007-09-30,215.0,,,,,,,9.55,81.29999999999998,-20.32,72.0,0.0,8882.59,223.13,195.85,-139.46999999999997,0.37,9,2007,,,,,,,,,,,,
2007-12-31,226.57000000000005,,,,,,,9.0,88.36000000000001,-24.549999999999997,42.91,0.0,8774.62,248.66,118.35,-147.45000000000005,0.55,12,2007,,,,,,,,,,,,
2008-03-31,220.27,,,,,,,9.35,71.08,-17.84,30.48,0.0,8775.9,260.52,146.97,-159.4,0.2,3,2008,,,,,,,,,,,,
2008-06-30,223.54,,,,,,,8.7,72.14999999999999,-17.040000000000003,23.66,0.0,8758.96,240.43,140.63000000000002,-147.43999999999997,0.39,6,2008,,,,,,,,,,,,
2008-09-30,222.06,,,,,,,7.3,75.83000000000001,-19.799999999999997,23.53,0.0,8769.66,255.04,149.7,-149.84000000000003,0.57,9,2008,,,,,,,,,,,,
2008-12-31,228.72000000000003,,,,,,,5.7,83.13999999999999,-22.4,99.4,0.0,9075.24,263.74,221.72999999999996,-145.84999999999997,0.76,12,2008,,,,,,,,,,,,
2009-03-31,226.27,,,,,,,6.1,73.14,0.0,17.95,0.0,9057.19,259.92,85.92,-167.37,0.21,3,2009,,,,,,,,,,,,
2009-06-30,228.79999999999998,,,,,,,6.6,78.3,-35.26,29.4,469.75,9046.54,254.2,166.86,-155.40999999999997,0.41,6,2009,,,,,,,,,,,,
2009-09-30,230.76000000000005,,,,,,,8.0,80.94,-20.010000000000005,69.0,469.75,9053.15,266.4,195.02,-155.42000000000002,0.6,9,2009,,,,,,,,,,,,
2009-12-31,235.91999999999996,,,,,,,8.2,88.57999999999998,-22.71999999999999,79.52,1.47,9114.85,278.12,165.93,-155.42000000000002,0.8,12,2009,,,,,,,,,,,,
2010-03-31,222.72,,,,,,,8.3,78.06,-19.03,79.08,0.0,9094.49,266.94,153.38,-153.82,0.19,3,2010,,,,,,,,,,,,
2010-06-30,213.83,,,,,,,8.85,74.12,-18.909999999999997,161.95,0.0,9072.92,253.89,231.12,-148.24,0.38,6,2010,,,,,,,,,,,,
2010-09-30,213.89000000000004,,,,,,,9.55,78.01999999999998,-18.86,320.52,0.0,9072.77,262.19,302.9,-144.33999999999997,0.56,9,2010,,,,,,,,,,,,
2010-12-31,224.3599999999999,,,,,,,9.4,82.10000000000002,-19.210000000000008,106.59,0.0,8996.95,273.01,-78.03999999999996,-135.89,0.73,12,2010,,,,,,,,,,,,
2011-03-31,226.68,,,,,,,8.55,77.16,-18.07,22.54,0.0,8964.24,243.01,68.18,-152.23,0.06,3,2011,,,,,,,,,,,,
2011-06-30,224.14999999999998,,,,,,,8.35,79.14000000000001,-18.83,36.99,0.0,8981.86,265.13,163.97,-149.51000000000002,0.24,6,2011,,,,,,,,,,,,
2011-09-30,233.11000000000007,,,,,,,7.95,82.23999999999998,-19.880000000000003,93.38,0.0,8995.06,272.52,201.43999999999997,-145.06,0.43,9,2011,,,,,,,,,,,,
2011-12-31,234.9799999999999,,,,,,,8.35,86.50000000000003,-21.150000000000006,37.44,0.0,8944.31,286.08,105.44999999999999,-161.39000000000004,0.63,12,2011,,,,,,,,,,,,
2012-03-31,235.6,,,,,,,8.8,78.91,-19.98,55.51,0.0,8944.59,278.06,166.55,-148.48,0.19,3,2012,,,,,,,,,,,,
2012-06-30,238.39000000000001,,,,,,,9.25,90.5,-20.290000000000003,70.01,0.0,8945.18,286.26,170.70999999999998,-156.21,0.38,6,2012,,,,,,,,,,,,
2012-09-30,243.09000000000003,,,,,,,10.7,91.31000000000003,-22.57,33.72,0.0,8956.0,290.36,108.76999999999998,-145.06,0.56,9,2012,,,,,,,,,,,,
2012-12-31,241.58999999999992,,,,,,,11.5,96.84999999999997,-24.950000000000003,35.6,0.0,8882.47,295.51,146.93000000000006,-145.04999999999995,0.75,12,2012,,,,,,,,,,,,
2013-03-31,240.61,,,,,,,11.3,90.21,-20.21,12.92,0.0,8903.33,311.02,122.38,-145.05,0.18,3,2013,,,,,,,,,,,,
2013-06-30,248.89,,,,,,,10.0,98.31000000000002,-26.479999999999997,15.55,0.0,8889.88,292.04,147.68,-145.06,0.36,6,2013,,,,,,,,,,,,
2013-09-30,254.04999999999995,,,,,,,9.35,96.1,-22.92,17.83,0.0,8908.96,298.22,147.32999999999998,-145.05,0.55,9,2013,,,,,,,,,,,,
2013-12-31,260.09000000000003,,,,,,,8.95,115.40999999999997,-26.570000000000007,40.01,0.0,8906.86,315.68,167.24,-145.06,0.73,12,2013,,,,,,,,,,,,
2014-03-31,260.67,,,,,,,8.9,92.01,-22.22,32.72,0.0,8937.83,321.43,136.17,-143.46,0.18,3,2014,,,,,,,,,,,,
2014-06-30,260.84999999999997,,,,,,,9.05,102.40999999999998,-24.72,2.46,0.0,8931.24,307.84,121.16999999999999,-151.42999999999998,0.37,6,2014,,,,,,,,,,,,
2014-09-30,264.78,,,,,,,9.25,108.6,-25.590000000000003,22.39,0.0,8954.94,320.41,164.99,-145.05,0.55,9,2014,,,,,,,,,,,,
2014-12-31,269.68000000000006,,,,,,,9.25,124.35000000000002,-28.679999999999993,37.97,0.0,9041.89,338.09,160.63000000000005,-145.06,0.73,12,2014,,,,,,,,,,,,
2015-03-31,268.69,,,,,,,9.3,92.63,-22.13,18.49,0.0,9062.35,327.46,125.57,-145.05,0.18,3,2015,,,,,,,,,,,,
2015-06-30,274.32,,,,,,,9.65,96.81,-23.24,30.31,0.0,9081.17,320.13,163.26,-151.43,0.37,6,2015,,,,,,,,,,,,
2015-09-30,275.47,,,,,,,10.3,112.44,-24.300000000000004,21.84,0.0,9116.61,337.61,136.58000000000004,-145.06,0.55,9,2015,,,,,,,,,,,,
2015-12-31,277.6099999999999,,,,,,,10.3,124.36000000000001,-30.64999999999999,51.96,0.0,9157.07,364.26,180.74999999999994,-150.62999999999994,0.74,12,2015,,,,,,,,,,,,
2016-03-31,268.38,,,,,,,11.7,97.11,-18.49,21.52,0.0,9158.01,350.93,126.58,-157.01,0.2,3,2016,,,,,,,,,,,,
2016-06-30,278.19000000000005,,,,,,,11.4,98.11999999999999,-22.610000000000003,23.7,0.0,9132.02,336.16,193.45,-191.28000000000003,0.44,6,2016,,,,,,,,,,,,
2016-09-30,283.64,,,,,,,12.1,94.57000000000002,-21.89,12.13,0.0,9221.34,341.61,93.64000000000004,-105.19999999999999,0.57,9,2016,,,,,,,,,,,,
2016-12-31,286.6700000000001,,,,,,,11.6,106.69,-21.96999999999999,45.19,0.0,9253.02,352.37,257.00999999999993,-223.96000000000004,0.85,12,2016,,,,,,,,,,,,
2017-03-31,290.0,,,,,,,11.8,98.45,-19.71,30.19,0.0,9318.56,355.49,114.12,-129.11,0.16,3,2017,,,,,,,,,,,,
2017-06-30,290.89,,,,,,,11.3,99.58,-20.35,26.88,0.0,9296.83,355.18,209.49,-212.8,0.43,6,2017,,,,,,,,,,,,
2017-09-30,292.91999999999996,,,,,,,11.3,101.13000000000002,-21.409999999999997,22.28,0.0,9377.48,471.98,106.97999999999996,-111.57999999999998,0.57,9,2017,,,,,,,,,,,,
