,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,property_plant_equipment,total_asset,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,TIE,month,year,dividend,ROCE%,number_of_shares,return_old
2000-03-31,6956.9,-2709.42,-1.46,0.0,0.0,-3345.66,-3168.48,10.25,2941.88,5488.9,0.0,3082.74,0.0,12483.17,438740.93,418175.24,18503.25,20455.33,1353.68,970.08,-6102.47,177.18,-1.7549999999999997,0.49,20.44,-1.46,0.0,0.0,-2.48,0.0,-53.0,0.0,0.0,3,2000,0.0,,1855.7671232876714,-2709.42
2000-06-30,6595.550000000001,-6816.74,-3.68524263711716,0.0,0.0,-6756.67,-5983.6,7.1,9114.52,5276.43,0.0,3269.04,0.0,12327.2,433937.34,419879.87,18503.25,13946.04,712.3500000000001,-288.76,-241.59999999999945,773.0699999999999,-0.4821256495040151,0.35,30.11,-5.15,0.0,0.0,-6.297113632355535,0.0,-195.52537828463934,0.0,0.0,6,2000,0.0,,1849.7398058252425,-9526.16
2000-09-30,6092.32,368.6100000000006,0.19924756075587938,0.0,0.0,375.4500000000007,560.8799999999992,5.1,8269.94,4589.99,0.0,3201.86,0.0,12157.7,434982.88,420401.68,18503.25,14462.74,-812.0500000000002,380.6,379.5099999999993,185.43000000000006,6.397192493421221,0.25,29.07,-4.95,0.0,0.0,0.33972715409689325,-0.0,10.195034785504873,-0.0,0.0,9,2000,0.0,,1850.0101010101007,-9157.55
2000-12-31,5734.389999999999,627.789999999999,0.33929581840520673,0.0,0.0,627.8899999999994,816.710000000001,5.3,6788.49,5167.66,0.0,4827.76,0.0,12237.59,435112.12,419640.3,18503.25,15354.44,989.3800000000001,457.1199999999999,188.1200000000008,188.81999999999994,3.9062520906672673,0.26,27.33,-4.61,0.0,0.0,0.5770236911706769,-0.0,16.353911247209744,-0.0,0.0,12,2000,0.0,,1850.2733188720172,-8529.76
2001-03-31,5924.96,106.97,0.05999999999999999,0.0,0.0,116.61,302.12,6.7,0.0,4626.83,0.0,3675.48,0.0,11995.7,441281.79,425928.22,18503.25,15232.53,3129.66,-4259.07,-22.19,185.51,27.917500000000004,0.33,27.96,0.06,0.0,0.0,0.08,0.12,2.8,2.4,0.0,3,2001,0.0,,1782.8333333333335,106.97
2001-06-30,5444.999999999999,99.41,0.052985269890493264,0.0,0.0,106.41000000000001,290.59000000000003,6.5,0.0,4803.280000000001,0.0,4275.06,0.0,13645.4,437028.37,419980.86,18503.25,16925.9,-566.8699999999999,814.8599999999997,350.56,184.18,30.668429232471585,0.32,24.81,0.11,0.0,0.0,0.09633685434635139,0.09633685434635139,2.350619246050974,2.5818276964822173,0.0,6,2001,0.0,,1876.1818181818182,206.38
2001-09-30,5530.52,10.200000000000017,0.005651491365777089,0.0,0.0,17.789999999999992,194.83999999999992,4.5,0.0,4124.49,0.0,4483.31,0.0,13553.17,436848.42,419584.3,18503.25,17134.16,5696.839999999999,-1516.8500000000004,-3974.2599999999998,177.05,199.0624999999997,0.22,24.49,0.12,0.0,0.0,0.00941915227629515,0.011302982731554178,0.23736263736263774,0.2580847723704871,0.0,9,2001,0.0,,1804.8333333333335,216.58
2001-12-31,5623.950000000001,-2884.0099999999998,-1.556919731726793,0.0,0.0,-2882.06,-2681.16,5.3,1458.08,5010.26,0.0,5804.17,0.0,13484.67,443565.51,428263.4,18503.25,15157.74,399.9100000000017,945.6000000000004,-21.40000000000009,200.89999999999998,-0.8509109191715702,0.25,28.25,-1.44,0.0,0.0,-2.594866219544655,-2.594866219544655,-76.11607577330989,-75.59710252940096,0.0,12,2001,0.0,,1852.3819444444443,-2667.43
2002-03-31,5992.97,528.39,0.29,0.0,0.0,542.98,735.15,5.95,0.0,4080.35,0.0,4717.26,0.0,13339.09,442499.49,427300.34,18503.25,15042.47,70.23,-1083.08,-69.43,192.17,5.13,0.28,28.41,0.29,0.0,0.0,0.48,0.48,14.04,13.96,0.0,3,2002,0.0,,1822.0344827586207,528.39
2002-06-30,6133.44,529.85,0.2853932000302389,0.0,0.0,540.99,737.67,6.55,0.0,4187.18,0.0,4890.34,0.0,12947.39,457546.11,441717.63,18503.25,15657.35,-709.91,1073.9399999999998,-193.92000000000002,196.68000000000004,5.737084835330754,0.3,28.21,0.57,0.0,0.0,0.4606346386452979,0.48066223162987604,13.53865285757484,13.01793543997581,0.0,6,2002,0.0,,1856.5614035087722,1058.24
