,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,cash,property_plant_equipment,total_asset,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,NPMA%,TIE,month,year,operating_profit,dividend,ROCE%,number_of_shares,return_old
2001-06-30,,,,,,,,,0.24,,56.06,33.82,342.26,136.49,258.37,205.77,,,,,,0.0,0.66,-0.12,0.0,0.0,,,,,-10.91,0.0,6,2001,,,,49.833333333333336,-5.98
2001-09-30,26.1,-5.58,-0.10136678200692041,0.0,,-4.949999999999999,-1.69,7.44,0.5,31.059999999999995,38.74,29.25,306.11,78.78,304.37,227.33,-43.31,-0.040000000000000036,26.03,3.2600000000000007,-18.355125448028673,1.99,0.35,-0.21,0.0,0.0,-7.2984083044982695,0.0,-9.827750865051902,0.0,-14.29,0.0,9,2001,,0.0,,55.04761904761905,-11.56
2001-12-31,30.900000000000006,2.42,0.04236323851203501,0.0,,0.6799999999999988,3.4,9.95,0.5,30.200000000000003,59.23,28.84,414.83,184.48,304.37,230.36,17.5,2.9899999999999998,0.0,2.719999999999999,58.711280991735535,2.63,0.8,-0.16,0.0,0.0,2.3299781181619257,-0.0,4.204551422319475,-0.0,-8.18,0.0,12,2001,,0.0,,57.125,-9.14
2002-03-31,60.73,17.72,0.29,0.0,,18.65,21.4,12.08,0.0,42.08,63.99,27.59,493.26,244.13,304.37,249.14,5.91,-1.15,0.0,2.75,10.41,2.95,0.98,0.29,0.0,0.0,14.36,0.0,28.44,0.0,29.18,0.0,3,2002,,0.0,,61.10344827586207,17.72
2002-06-30,68.0,26.120000000000005,0.37535583941605843,0.0,,26.75,29.520000000000003,25.25,0.0,41.25,446.38,31.71,1202.83,625.53,533.13,577.3,86.0,-5.5600000000000005,301.95,2.7699999999999996,16.817641653905053,4.66,1.08,0.63,0.0,0.0,8.674890510948906,14.013284671532848,18.088576642335767,26.69197080291971,34.06,0.0,6,2002,,0.0,,69.5873015873016,43.84
2002-09-30,101.54000000000002,40.83,0.4966918625250974,0.0,,43.13,46.83,18.1,2.55,58.39999999999999,276.57,43.35,959.62,349.01,533.13,610.61,-153.39,-16.41,0.0,3.700000000000001,9.108816433994612,3.16,0.57,1.03,0.0,0.0,17.012901854257706,26.98531711349947,26.75384906106058,38.98307783158143,36.77,0.0,9,2002,,0.0,,82.20388349514563,84.67
2002-12-31,85.55999999999997,1.289999999999992,0.014556770590972455,0.0,,0.20000000000000284,4.6200000000000045,13.0,2.55,85.37,92.37,50.94,1097.92,479.56,537.01,618.36,-179.81,-8.279999999999998,3.8799999999999955,4.42,223.22945736434247,2.26,0.78,0.97,0.0,0.0,0.47001861330851274,0.7041275011633276,0.8343880874825449,1.2161656584457814,27.22,0.0,12,2002,,0.0,,88.61855670103093,85.96
2003-03-31,73.96,17.82,0.17,0.0,,18.24,22.9,10.4,0.0,55.72,305.86,44.81,1041.9,404.15,537.01,637.75,80.8,-3.04,0.0,4.66,15.294999999999998,1.75,0.63,0.17,0.0,0.0,6.84,9.52,11.16,16.08,24.09,0.0,3,2003,,0.0,,104.8235294117647,17.82
2003-06-30,133.68,59.01,0.5453221397891448,0.0,,59.2,63.54,15.0,0.0,74.47999999999999,339.82,42.2,1729.06,1024.4,542.2,704.66,5.170000000000002,-2.3899999999999997,31.18,4.34,6.877723690899847,2.31,1.45,0.71,0.0,0.0,13.640734088246779,16.22141351034752,33.48738773916439,36.83612651308083,37.0,0.0,6,2003,,0.0,,108.21126760563381,76.83
2003-09-30,197.85000000000002,73.23,0.678326669332267,0.0,,98.21000000000001,108.86000000000001,18.5,0.0,99.64000000000001,169.16,37.14,1662.13,878.18,542.2,783.94,-144.65,-0.03000000000000025,-25.99,10.649999999999999,6.818580499795166,2.56,1.12,1.39,0.0,0.0,17.62673330667733,26.15705717712915,37.36164734106357,42.00745301879248,37.01,0.0,9,2003,,0.0,,107.95683453237412,150.06
