,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2006-06-30,1435.44,253.47000000000003,1.2577771011751293,-0.010379294123910802,289.55000000000007,333.11,356.29999999999995,34.5,1102.33,216.88999999999993,3021.66,824.14,541.44,4866.72,477.81,10597.26,1.06,117.97,309.68,110.95,420.64,201.6,10176.62,92.88,-51.83999999999992,-3.9099999999999966,23.189999999999998,6.858985580147551,0.68,0.04,3.83,12.0,3.13,9.563046784913777,12.925876423564777,9.957128383193192,10.48257051423241,12.676291411321147,19.48,17.87,15.72,13.97,6,2006,-2.0916581158376175,201.52219321148826,771.83
2006-09-30,1638.42,389.64,1.9323154278629666,0.00725460427039245,300.9000000000001,475.43000000000006,498.3900000000001,34.0,1162.9899999999998,224.59000000000003,1713.58,669.72,543.6,4726.11,967.21,11392.81,5.49,151.38,464.74,117.73,582.46,201.6,10810.34,522.02,-1833.0600000000002,2.969999999999999,22.96,4.396797685042604,0.63,0.05,5.76,12.0,2.08,13.673815423558077,18.370415421836118,14.411852566144626,15.297497137248488,18.03494399338769,21.75,19.5,10.17,9.0,9,2006,1.4628481288077637,201.64409722222223,1161.47
2006-12-31,-4220.02,-702.4300000000001,-3.4888907284768207,-0.018522350993376728,-861.7500000000001,-910.9000000000001,-969.3800000000001,35.0,-3309.12,-626.41,1574.77,717.82,649.16,4184.08,1516.33,12041.62,13.91,221.11,576.61,113.02,689.63,201.6,11351.98,-773.09,-172.7,246.91,-58.480000000000004,-2.5078171490397616,0.62,0.06,2.28,12.0,5.26,-23.320480132450335,-30.54309602649007,-24.728278145695366,-26.56453642384106,-29.74738410596027,32.37,26.43,7.26,6.13,12,2006,-3.729166666666515,201.33333333333337,459.04
2007-03-31,3627.52,949.2,4.71,1.1,720.24,1137.28,1187.56,35.0,2490.24,564.6,1004.38,931.18,818.56,4039.67,1577.24,12151.59,1.72,169.15,466.84,113.87,580.72,201.6,11570.87,87.61,-570.46,-226.35,50.28,1.8575000000000002,0.61,0.05,4.71,1.1,0.23,31.239999999999995,40.12,32.8,35.12,38.92,31.49,26.17,8.65,6.9,3,2007,221.68152866242042,201.52866242038218,949.2
2007-06-30,2195.28,651.5899999999999,3.2319196146902462,0.0004483176558960654,578.0899999999999,773.5799999999999,826.21,46.5,1421.7000000000003,486.7399999999999,2199.54,1002.84,785.03,4335.57,1787.98,13070.1,22.13,193.71,480.47,114.35,594.82,201.6,12475.27,335.71999999999997,838.54,20.889999999999986,52.629999999999995,3.5991303580472387,0.75,0.05,7.94,1.1,0.14,19.945095858919657,26.294963111963465,20.889435091423607,23.006057509104878,24.715637154155132,32.47,27.49,9.02,7.39,6,2007,0.0903856952621993,201.61083123425692,1600.79
2007-09-30,2626.5099999999993,888.5799999999999,4.408329416679722,-0.00023144101414423896,866.0999999999999,1045.51,1100.5,49.75,1580.9900000000002,753.73,2327.63,1125.57,813.22,4848.48,1930.37,14412.65,3.72,195.15,646.2,122.55,768.74,201.6,13643.91,707.27,-563.8,-15.379999999999995,54.99000000000001,2.8225261372076798,0.74,0.06,12.35,1.1,0.09,24.658088753379367,32.71087512101455,26.05733177470605,29.069987667562472,30.669122549078686,34.27,29.46,7.5,6.24,9,2007,-0.04665119978787402,201.56842105263158,2489.37
2007-12-31,-5745.25,-1603.46,-7.945716156268695,0.0012722451906426204,-1168.3899999999999,-1900.4199999999998,-2002.2,76.0,-3844.8200000000006,-926.2099999999999,2382.07,1183.3,988.44,5476.1,2355.67,15639.3,170.96,218.68,959.86,120.86,1080.72,201.6,14558.58,-376.7099999999999,-570.31,387.40999999999997,-101.78,-2.3909392968954633,1.05,0.07,4.39,1.1,0.25,-40.97745188563172,-55.239921888227926,-44.09057985574156,-49.52045422221219,-52.054395593231824,35.38,32.76,5.71,4.68,12,2007,0.2567413979139417,201.80182232346243,885.91
2008-03-31,5218.22,1501.05,7.45,1.6,1721.9,1794.75,1905.01,70.5,3423.47,1499.02,1350.28,1179.16,1157.32,4459.36,3208.66,15343.8,1.63,398.44,819.0,119.85,938.85,201.6,14404.96,1024.22,-1677.86,-323.72,110.26,2.365,0.99,0.07,7.45,1.6,0.21,39.12,52.2,41.68,46.24,49.44,31.73,28.77,5.44,4.03,3,2008,322.37315436241613,201.48322147651007,1501.05
2008-06-30,2458.21,654.95,3.2474097866419296,0.0015913635741056167,386.71000000000004,742.94,795.1899999999998,58.0,1715.27,245.05999999999995,886.75,1098.94,1403.98,4499.22,3599.32,15841.4,299.96,309.48,835.21,120.55,955.76,201.6,14885.63,-74.79000000000008,-519.4600000000003,300.73,52.249999999999986,4.4686922665852356,0.79,0.06,10.69,1.6,0.15,16.537791280148422,21.32536641929499,17.594946196660484,19.15030055658627,20.547689239332097,31.58,28.09,5.39,3.71,6,2008,0.3209522793051178,201.68381665107577,2156.0
2008-09-30,2404.2199999999993,77.48000000000002,0.38436807135053824,-0.0008429453544562893,-200.49000000000024,55.48999999999978,128.82000000000016,45.0,2348.7300000000005,-342.3399999999999,442.7,985.07,1364.94,3283.34,3890.81,15763.9,7.4,491.35,760.8,126.15,886.95,201.6,14876.95,222.73000000000013,-373.4199999999996,-293.36,73.33000000000001,29.258933918430554,0.61,0.06,11.08,1.6,0.14,1.9662438884610567,2.385302218958756,2.082803159195516,2.172997832978133,2.3977907122517332,25.17,22.16,4.32,2.52,9,2008,-0.16991891608944343,201.57761732851986,2233.48
