,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,cash,account_receivable,total_asset,total_liability,cash_flow_operation,cash_flow_financing,DPS,month,year,EPS,operating_profit,cash_flow_investment,depreciation,dividend,P/E,ROA%,ROAA%,ROE%,ROAE%,ROCE%,number_of_shares,return_old
2013-06-30,,,,,,,,10.8,,45.31,102.71,63710.42,17.91,,,0.0,6,2013,,,,,,,,,,,,,
2013-09-30,1041.15,,,,,,,9.7,125.68999999999998,74.36,86.13,64359.82,29.07,706.239999999998,-677.1900000000023,0.12,9,2013,,,,,,,,,,,,,
2013-12-31,984.94,,,,,,,8.6,119.06000000000003,34.1,80.58,64714.38,32.07,874.25,-914.510000000002,0.28,12,2013,,,,,,,,,,,,,
2014-03-31,3808.58,,,,,,,9.55,455.57,77.56,0.0,65184.4,79.9,-58861.85,58939.4,0.15,3,2014,,,,,,,,,,,,,
2014-06-30,-2801.17,,,,,,,10.0,-325.49,70.99,190.02,65158.92,60.44,59746.64,-59830.75,0.3,6,2014,,,,,,,,,,,,,
2014-09-30,1030.4,,,,,,,9.85,122.60999999999999,74.74,109.92,65067.58,86.95,1323.4,-1319.67,0.46,9,2014,,,,,,,,,,,,,
2014-12-31,1058.9700000000003,,,,,,,9.9,122.56,15.5,117.54,65349.38,34.26,843.69,-902.9200000000001,0.61,12,2014,,,,,,,,,,,,,
2015-03-31,3983.67,,,,,,,10.4,464.0,108.08,0.0,65739.1,250.73,4076.33,-4045.81,0.16,3,2015,,,,,,,,,,,,,
2015-06-30,-2873.57,,,,,,,10.2,-331.53999999999996,94.95,0.0,65635.76,73.31,-3012.89,2969.24,0.3,6,2015,,,,,,,,,,,,,
2015-09-30,1157.2800000000002,,,,,,,10.0,116.91,112.89,24.61,65908.76,102.35,990.3200000000002,-972.3799999999999,0.47,9,2015,,,,,,,,,,,,,
2015-12-31,1161.62,,,,,,,10.2,128.45,35.6,182.19,66021.64,39.09,958.77,-1036.0500000000002,0.65,12,2015,,,,,,,,,,,,,
2016-03-31,4497.4,,,,,,,11.5,476.91,64.07,0.0,66835.91,52.31,4071.26,-4115.27,0.18,3,2016,,,,,,,,,,,,,
2016-06-30,-3337.3499999999995,,,,,,,12.6,-414.01000000000005,42.4,248.9,66777.56,33.89,-2755.9000000000005,2778.2400000000007,0.35,6,2016,,,,,,,,,,,,,
2016-09-30,1112.1000000000001,,,,,,,12.5,19.54,53.09,0.0,66983.98,74.8,1104.6200000000001,-1093.93,0.53,9,2016,,,,,,,,,,,,,
2016-12-31,1103.3600000000001,,,,,,,11.3,11.670000000000002,54.81,39.94,67034.41,21.7,1089.87,-1088.1399999999999,0.72,12,2016,,,,,,,,,,,,,
2017-03-31,4593.54,,,,,,,11.3,110.94,55.52,44.8,67041.67,15.85,4598.7,-4607.25,0.19,3,2017,,,,,,,,,,,,,
2017-06-30,-4593.54,,,,,,,11.1,-110.94,51.66,174.38,66766.96,23.28,-3404.4399999999996,3409.13,0.4,6,2017,,,,,,,,,,,,,
2017-09-30,2350.6,,,,,,,11.4,58.48,52.98,239.22,66834.5,25.97,1112.61,-1111.29,0.59,9,2017,,,,,,,,,,,,,
