,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2006-09-30,,,,,,,,,,,51.15,0.0,303.61,374.44,6.12,989.78,6.37,71.24,94.7,4.64,99.35,800.0,890.44,,,,,,0.0,0.11,0.15,0.0,0.0,,,,,,18.88,17.32,0.0,3.95,0.75,9,2006,,160.53333333333333,24.08
2006-12-31,74.05000000000001,21.15,0.13093079814282557,0.0,39.67999999999999,31.71,32.160000000000004,1.13,42.33999999999999,33.97,204.52,0.0,299.29,512.38,6.15,1186.38,7.94,6.63,35.82,6.85,42.67,1000.0,1143.71,44.04,-58.58,167.91,0.44999999999999996,2.159919621749409,0.99,0.04,0.28,0.0,0.0,7.126376298916648,0.0,7.3882378952023,0.0,10.92336944505859,22.01,21.23,0.0,14.3,5.95,12,2006,0.0,161.53571428571425,45.23
2007-03-31,51.15,15.62,0.08,0.15,27.35,20.96,21.49,0.98,30.2,18.17,202.85,0.0,322.14,535.57,6.14,1209.39,7.92,6.63,39.29,10.77,50.06,1000.0,1159.33,-3.71,-0.37,2.42,0.53,3.05,0.84,0.04,0.08,0.15,1.88,5.16,0.0,5.4,0.0,7.16,33.28,30.54,0.0,13.63,5.43,3,2007,29.287499999999998,195.25,15.62
2007-06-30,48.64000000000001,12.980000000000002,0.013615384615384618,0.11927884615384615,26.199999999999996,17.689999999999998,18.24,1.16,30.94,16.65,154.79,0.0,344.71,510.17,5.65,1193.74,8.38,6.63,42.1,9.33,51.43,1000.0,1142.31,-9.98,-4.89,-33.19,0.55,21.30127118644068,1.02,0.05,0.03,0.15,5.0,4.356923076923077,0.0,4.538461538461539,0.0,6.099692307692308,30.91,28.66,0.0,12.12,3.93,6,2007,113.7125,953.3333333333334,28.6
2007-09-30,63.80999999999999,17.240000000000002,0.01880453752181501,-0.005977312390924945,31.510000000000005,22.950000000000003,23.510000000000005,1.33,40.86,18.880000000000003,122.36,0.0,364.87,494.75,5.38,1209.48,6.22,6.63,38.91,11.03,49.94,1000.0,1159.55,-0.030000000000001137,-32.39,-0.019999999999999574,0.5599999999999998,17.681902552204175,1.15,0.04,0.05,0.15,3.0,5.70153577661431,8.424432809773124,5.9422338568935436,6.724502617801047,7.912949389179755,29.59,28.02,0.0,12.72,3.34,9,2007,-5.47999999999999,916.8000000000001,45.84
2007-12-31,93.01000000000002,35.67,0.0350092013249908,0.015027603974972369,55.74000000000001,48.029999999999994,48.6,1.04,44.97999999999999,46.64999999999999,148.37,0.0,349.75,504.41,4.93,1256.55,12.04,6.63,49.54,11.79,61.33,1000.0,1195.22,68.27,-43.089999999999996,0.8299999999999983,0.5700000000000001,7.4266190075693865,0.87,0.05,0.08,0.15,1.88,11.360485829959515,15.719131394920868,11.938137651821863,12.200706661759293,15.894177401545821,33.09,31.76,0.0,10.18,3.12,12,2007,15.311249999999973,1018.875,81.51
2008-03-31,58.12,17.94,0.02,0.04,32.61,24.05,24.65,1.08,34.06,23.25,153.42,0.0,373.56,533.76,6.31,1279.88,13.04,6.63,54.24,12.49,66.72,1000.0,1213.16,8.26,-2.39,-0.83,0.6,13.5,0.89,0.05,0.02,0.04,2.0,5.6,7.72,5.92,6.04,7.84,31.46,30.87,0.0,9.84,2.95,3,2008,35.88,897.0,17.94
2008-06-30,78.88,26.3,0.023779385171790235,0.00755877034358047,42.93000000000001,35.17,35.81,0.96,43.72,32.64,117.81,0.0,439.03,564.42,6.12,1258.2,15.07,6.63,46.3,11.86,58.16,1000.0,1200.04,6.17,-1.7799999999999998,-40.0,0.64,10.09277566539924,0.8,0.05,0.04,0.04,1.0,8.370343580470163,11.485443037974683,8.774593128390595,8.98860759493671,11.628119349005424,33.21,32.29,0.0,12.19,2.71,6,2008,8.36,1106.0,44.24
2008-09-30,89.37,26.359999999999992,0.026135977337110476,-0.0038640226628895223,42.89999999999999,35.239999999999995,35.88,0.81,54.129999999999995,34.650000000000006,112.44,0.0,503.69,653.37,5.51,1271.5,9.45,6.63,33.08,12.6,45.68,1000.0,1225.82,25.72,-31.089999999999996,0.0,0.6399999999999999,7.7469840667678325,0.66,0.04,0.07,0.04,0.57,8.288838526912178,11.3654164305949,8.602470254957504,8.841427762039658,11.395286118980167,31.83,31.19,0.0,19.75,4.52,9,2008,-3.8971428571428604,1008.5714285714284,70.6
2008-12-31,60.48000000000002,13.440000000000012,0.012793907663017622,0.0015965186645814959,23.05000000000001,18.11,18.709999999999994,0.44,42.370000000000005,15.789999999999992,121.13,0.0,507.28,667.88,4.22,1285.19,7.38,6.63,32.99,12.94,45.93,1000.0,1239.26,10.18,-1.490000000000002,0.0,0.6000000000000001,8.597842261904756,0.36,0.04,0.08,0.04,0.5,4.183607805806762,5.667701094716806,4.3371346977629734,4.413898143741079,5.750861494526421,30.08,29.3,0.0,20.24,4.87,12,2008,1.6771428571428615,1050.5,84.04
