,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,cash,account_receivable,total_asset,total_liability,cash_flow_operation,cash_flow_financing,month,year,EPS,operating_profit,cash_flow_investment,depreciation,dividend,P/E,ROA%,ROAA%,ROE%,ROAE%,ROCE%,number_of_shares,return_old
2015-12-31,,,,,,,,10.0,,182.86,0.69,1626.34,690.21,,,12,2015,,,,,,,,,,,,,
2016-03-31,23.7,,,,,,,8.4,13.13,118.04,4.39,1537.05,635.65,-58.34,0.0,3,2016,,,,,0.0,,,,,,,,
2016-06-30,23.529999999999998,,,,,,,9.1,14.339999999999998,72.04,27.31,1401.16,522.23,-70.78999999999999,0.0,6,2016,,,,,0.0,,,,,,,,
2016-09-30,21.68,,,,,,,9.45,13.100000000000001,76.72,0.35,1319.62,511.47,35.05,0.0,9,2016,,,,,0.0,,,,,,,,
2016-12-31,21.33,,,,,,,10.0,9.740000000000002,68.72,0.28,1295.7,488.39,12.819999999999993,-19.5,12,2016,,,,,0.0,,,,,,,,
2017-03-31,20.97,,,,,,,10.0,11.46,82.39,0.5,1295.32,512.54,15.13,0.0,3,2017,,,,,0.0,,,,,,,,
2017-06-30,19.800000000000004,,,,,,,8.95,10.45,57.27,0.49,1287.66,474.44,-10.46,-17.06,6,2017,,,,,0.0,,,,,,,,
2017-09-30,19.909999999999997,,,,,,,6.7,14.379999999999999,46.04,1.02,1309.04,481.56,-14.34,0.0,9,2017,,,,,0.0,,,,,,,,
