,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2008-03-31,820.89,127.26,0.13,0.18,251.56,164.78,197.46,2.76,656.11,141.29,97.84,406.46,378.95,1009.0,999.46,2134.24,0.0,131.77,101.79,424.07,27.45,451.52,1000.0,1682.72,147.47,-40.3,-28.82,32.68,5.3075,1.64,0.27,0.13,0.18,1.38,23.84,31.56,30.24,33.12,38.56,15.99,15.5,0.0,2.38,1.49,3,2008,176.20615384615382,978.9230769230769,127.26
2008-06-30,690.3100000000001,90.82000000000001,0.09161958914159941,0.002242508042214601,223.39,116.84,149.96,2.58,573.4699999999999,114.98999999999998,71.96,333.22,432.34,868.56,1055.76,2053.6,0.0,149.34,102.63,394.51,65.55,460.06,1000.0,1593.55,129.04999999999998,-92.39,-142.88,33.12,7.0416163840563755,1.62,0.29,0.22,0.18,0.82,17.690909757887013,22.854922964049894,22.804948642699927,23.40464049889949,28.268807776962582,14.68,14.43,0.0,2.2,1.11,6,2008,2.222937062937092,991.2727272727274,218.08
2008-09-30,474.15999999999985,34.81999999999999,0.03442071965203637,0.15361695244257523,130.51000000000005,42.71999999999997,76.52999999999997,1.93,431.44000000000005,48.860000000000014,45.17,206.17,474.92,747.9,1057.11,1933.03,90.0,154.87,109.59,421.52,33.15,454.67,1000.0,1478.36,94.29000000000002,-33.94999999999999,-87.13999999999999,33.81,14.017719701321083,1.31,0.31,0.25,0.33,1.32,7.203568208778171,9.197216291024118,9.423016211941476,9.423016211941476,11.81869829972321,12.9,12.74,0.0,1.77,0.65,9,2008,155.39890909090911,1011.6,252.9
2008-12-31,557.3700000000001,31.919999999999987,0.03250052664840951,-0.009899304824099427,168.74,46.68000000000001,81.05000000000001,1.9,510.69000000000005,33.18000000000001,43.49,302.11,419.68,799.28,1067.68,1995.38,185.74,102.63,115.4,506.78,6.26,513.04,1000.0,1482.34,-5.899999999999977,-40.34,44.40999999999997,34.36999999999999,14.611301691729329,1.28,0.35,0.29,0.33,1.14,6.397000210659361,8.450136928586472,8.611518854013058,8.405308615967977,11.171215504529174,11.35,11.2,0.0,1.58,0.75,12,2008,-9.722482758620686,982.1379310344828,284.82
2009-03-31,730.06,101.82,0.1,0.1,255.0,132.23,166.5,1.93,597.83,129.09,67.63,363.21,357.96,828.98,1152.48,2108.92,80.0,130.85,121.2,543.82,8.48,552.3,1000.0,1556.63,218.51,-69.22,-125.25,34.27,4.825,1.24,0.35,0.1,0.1,1.0,19.32,24.92,26.16,25.16,33.8,14.04,13.95,0.0,1.52,0.87,3,2009,101.82,1018.1999999999999,101.82
2009-06-30,711.74,105.0,0.10661444734551784,-0.003385552654482142,242.51,123.93000000000004,158.57,2.22,587.8100000000001,135.99999999999997,69.5,318.42,343.13,759.25,1344.25,2141.84,30.0,143.74,126.99,468.84,115.25,584.09,1000.0,1557.75,231.97000000000003,-188.35999999999999,-41.31999999999999,34.63999999999999,5.204969999999999,1.43,0.37,0.21,0.1,0.48,19.617058311575285,24.795474325500436,26.96837829997099,26.663765593269513,31.090803597331018,14.4,14.34,0.0,1.62,0.89,6,2009,-3.3342857142856985,984.8571428571429,206.82
2009-09-30,704.1899999999998,93.75999999999999,0.09357908044447401,0.1517043240211781,233.86,116.46999999999997,152.26999999999998,2.88,587.7199999999998,118.54000000000002,63.26,322.48,362.25,788.88,1426.29,2252.21,100.0,185.18,125.0,568.79,176.3,745.09,1000.0,1507.12,132.26999999999998,-123.11000000000001,-15.330000000000013,35.8,7.694027303754266,1.91,0.49,0.3,0.25,0.83,16.657076319116374,22.221912302881094,24.87955818750416,25.129102402022756,27.62454454720873,14.08,14.01,0.0,1.39,0.75,9,2009,151.99761904761903,1001.9333333333333,300.58
2009-12-31,643.5100000000002,75.72000000000003,0.0764645229869785,-0.002946230844184582,174.36,98.14999999999998,134.62000000000006,3.12,545.3500000000001,104.85000000000002,41.51,356.66,424.77,870.67,1354.19,2347.75,120.61,182.22,125.0,585.82,166.98,752.8,1005.17,1594.95,-8.759999999999991,-32.339999999999975,19.330000000000013,36.47000000000001,10.200155176967773,1.97,0.47,0.38,0.25,0.66,12.902382141908058,17.450009035344145,18.987348392240243,19.687602444857834,21.506653202232265,13.56,13.49,0.0,1.49,0.76,12,2009,-2.9175438596491006,990.2631578947369,376.3
2010-03-31,815.46,112.82,0.12,0.15,270.15,148.98,185.14,3.08,666.48,151.51,43.83,386.28,421.99,880.69,1470.73,2386.52,30.0,170.77,143.75,559.24,117.66,676.9,1005.97,1709.62,176.31,-53.92,-120.0,36.16,6.4175,1.81,0.4,0.12,0.15,1.25,18.92,26.52,26.4,27.64,32.6,13.9,13.84,0.0,1.57,0.82,3,2010,141.02499999999998,940.1666666666666,112.82
2010-06-30,889.1399999999999,140.05,0.14399889271167005,0.004998615889587561,299.1700000000001,186.31000000000003,228.95,3.74,702.8299999999999,196.51999999999998,41.12,418.11,388.55,893.04,1443.32,2370.13,60.0,151.99,123.57,557.74,107.27,665.02,1006.28,1705.12,159.5,-16.409999999999997,-145.81,42.64,6.491022134951803,2.21,0.39,0.26,0.15,0.58,23.63797208051568,32.92036224146795,32.85390121406256,34.338197492782854,40.98430023332148,14.89,14.83,0.0,1.6,0.9,6,2010,4.861538461538487,972.5769230769231,252.87
2010-09-30,838.8600000000001,115.94,0.11945771535478972,0.17968714347391715,269.05999999999995,158.76999999999998,204.77000000000004,4.54,680.0799999999999,160.22000000000003,68.58,400.71,399.31,939.15,1422.85,2394.9,190.0,165.09,111.07,624.84,107.77,732.6,1006.28,1662.3,92.49000000000001,-23.460000000000008,-41.44999999999999,46.0,9.503362730722786,2.75,0.44,0.38,0.33,0.87,19.36472438382907,26.733379246766628,27.902807407608254,29.260853013746914,35.09541932160191,14.58,14.5,0.0,1.5,0.86,9,2010,174.39582995951417,970.5526315789474,368.81
2010-12-31,781.2599999999998,83.96999999999997,0.08716352312381286,-0.0024632562345835263,218.2500000000001,113.57999999999998,162.93999999999994,6.25,667.69,116.55999999999995,56.62,366.73,406.85,863.23,1412.48,2401.1,10.0,143.31,102.63,436.0,106.34,542.34,1014.33,1858.76,164.00999999999993,-75.40999999999998,-100.53000000000003,49.36,17.928944861259982,3.41,0.29,0.47,0.33,0.7,13.990672732894557,18.98310261053933,18.070667432307076,19.45044745792658,22.936988382879097,13.71,13.62,0.0,1.98,1.05,12,2010,-2.3730067189249553,963.3617021276596,452.78
