,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2014-12-31,,,,,,,,,,,79.28,34.42,12.71,625.03,1158.33,4107.25,93.93,0.72,516.13,954.95,1471.07,2100.0,2636.18,,,,,,0.0,0.56,0.22,0.0,0.0,,,,,,31.52,30.35,1.21,1.19,12,2014,,1993.0,438.46
2015-03-31,421.55,140.16,0.06,0.0,238.7,173.75,214.71,5.75,247.8,150.02,5231.94,35.33,12.19,5942.99,1142.48,9408.44,181.13,0.73,602.01,920.47,1522.48,2800.0,7885.96,120.96,-143.86,5175.55,40.96,23.9575,2.04,0.19,0.06,0.0,0.0,5.96,0.0,7.12,0.0,7.88,35.23,33.25,9.87,9.85,3,2015,0.0,2336.0,140.16
2015-06-30,442.79,159.20000000000002,0.0638161411010155,0.06,238.60000000000002,200.43,239.74999999999997,5.55,242.36,155.08,38.37,57.85,12.22,5838.27,1128.93,9282.01,129.27,0.74,535.52,874.94,1410.46,2800.0,7871.55,114.34000000000002,-5079.54,-228.36000000000058,39.32,21.74214824120603,1.97,0.18,0.12,0.06,0.52,6.870871191876002,0.0,8.083377872795296,0.0,9.104436130411546,37.64,34.63,10.9,10.88,6,2015,149.68,2494.666666666667,299.36
2015-09-30,431.81000000000006,158.76999999999998,0.062380983563617314,0.0011904917818086464,232.86999999999995,199.89000000000004,240.49000000000007,5.25,231.92000000000002,155.33999999999997,54.57,68.11,12.84,5931.59,1122.24,9358.89,102.42,1.94,460.14,868.42,1328.56,2800.0,8030.33,137.74,-91.98000000000047,-29.55999999999949,40.599999999999994,21.04247039743025,1.83,0.17,0.18,0.06,0.34,6.79259598803833,0.0,7.901591251391526,0.0,8.941274310785147,38.74,35.35,12.89,12.86,9,2015,3.0299999999999727,2545.1666666666665,458.13
2015-12-31,472.31999999999994,171.39999999999998,0.06534398678379108,0.001781328927930366,257.71000000000004,216.14,255.5,5.0,256.17999999999995,160.7,106.79,96.34,12.86,6119.28,1102.21,9546.78,85.91,1.97,528.89,815.06,1343.95,2800.0,8202.82,178.07,-125.22999999999956,-0.6199999999998909,39.360000000000014,19.126473016336057,1.71,0.16,0.24,0.06,0.26,7.176947881753053,12.600498784807712,8.353139643861292,12.654952107127537,9.540222070433497,39.36,35.6,11.57,11.55,12,2015,4.672500000000014,2623.0416666666665,629.53
2016-03-31,462.59,178.9,0.06,0.0,247.28,226.1,265.51,5.45,236.49,171.18,43.75,113.41,12.25,6081.34,1082.47,9773.56,133.92,2.0,581.42,810.42,1391.84,2800.0,8381.72,149.76,-212.18,-0.62,39.41,22.7075,1.82,0.17,0.06,0.0,0.0,7.32,9.44,8.52,8.8,9.84,43.88,38.67,10.46,10.44,3,2016,0.0,2981.666666666667,178.9
2016-06-30,449.87000000000006,165.35,0.05763834422657952,0.16,252.9,209.06000000000003,248.39,6.3,240.81,174.26,55.44,50.35,11.99,5706.63,1064.66,9476.08,180.56,2.04,594.19,775.81,1370.0,2800.0,8106.08,96.20000000000002,357.1,-441.62,39.33,27.325559419413366,2.18,0.17,0.12,0.16,1.31,6.974239651416121,8.914730573710965,8.16543209876543,8.28070878721859,9.414262890341321,41.84,37.73,9.6,9.58,6,2016,459.0,2868.75,344.25
2016-09-30,469.25,178.95000000000005,0.0649856651376147,-0.00668577981651376,276.07,225.47999999999996,265.98,6.25,243.77000000000004,191.66000000000003,73.43,61.68,12.23,5735.29,1047.36,9577.87,171.02,2.08,545.27,747.58,1292.85,2800.0,8285.02,163.99999999999997,-145.38,-0.6200000000000045,40.5,24.04030176026823,2.11,0.16,0.19,0.16,0.83,7.469931192660551,9.549472477064223,8.646513761467892,8.769644495412846,10.000951834862386,41.58,37.87,10.52,10.5,9,2016,-18.41052631578947,2753.684210526316,523.2
2016-12-31,482.02,180.94999999999993,0.06424412412128096,0.003573999260026086,292.71000000000004,221.14999999999998,263.2600000000001,7.25,260.88,199.10000000000002,55.94,67.89,12.58,5767.97,1109.8,9822.34,142.5,2.11,591.62,764.75,1356.37,2800.0,8465.98,278.11000000000007,-294.98,-0.6200000000000045,42.11,28.212696877590503,2.4,0.16,0.25,0.16,0.63,7.370085919193351,9.364223531917911,8.552177803024922,8.685805581197185,9.81650216573173,40.98,37.78,9.75,9.73,12,2016,10.066526315789474,2816.6,704.15
2017-03-31,497.59,185.74,0.07,0.0,286.43,234.01,278.58,7.4,263.58,200.2,109.72,55.13,11.56,5833.93,1090.24,10040.04,127.05,2.15,636.38,751.94,1388.32,2800.0,8651.72,174.5,-120.09,-0.62,44.57,26.427500000000002,2.39,0.16,0.07,0.0,0.0,7.4,9.44,8.6,8.72,9.96,40.07,37.33,9.17,9.15,3,2017,0.0,2653.428571428571,185.74
2017-06-30,499.81,185.14,0.06489484469370146,0.18,289.15000000000003,233.76999999999998,277.79,7.05,266.04,200.31,51.39,39.26,11.68,5432.01,1076.87,9834.78,252.26,2.72,731.96,769.97,1501.93,2800.0,8332.86,136.18,310.1,-504.62,44.02,27.158937020633033,2.37,0.18,0.13,0.18,1.38,7.527801984469369,9.664339948231232,8.885601811906817,9.005407679033649,10.2633692838654,39.88,37.18,7.42,7.41,6,2017,513.5261538461538,2852.9230769230767,370.88
