,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,cash,account_receivable,property_plant_equipment,total_asset,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,NPMA%,month,year,operating_profit,depreciation,dividend,ROCE%,number_of_shares,return_old
2000-03-31,105.55,9.43,0.47000000000000003,0.0,,9.57,9.57,14.5,0.0,33.15,105.21,0.0,240.16,1640.64,614.88,200.0,1025.76,-13.32,-0.3,-0.73,7.7125,2.83,0.6,0.47,0.0,0.0,2.28,0.0,3.68,0.0,8.93,3,2000,,,0.0,,20.06382978723404,9.43
2000-06-30,130.29000000000002,19.73,0.9878532235939643,1.0,,27.21,27.21,11.5,0.0,37.24,107.29,0.0,242.4,1609.23,593.48,200.0,1015.76,16.03,18.69,-20.46,2.9115661429295487,2.26,0.58,1.46,1.0,0.68,4.898669410150892,0.0,7.767503429355282,0.0,12.36,6,2000,,,19.972602739726028,,19.972602739726028,29.16
2000-09-30,130.4,9.319999999999997,0.4650311850311849,0.003446017144647125,,12.64,12.64,14.0,0.0,34.45,113.64,0.0,240.21,1662.57,647.99,200.0,1014.58,10.690000000000001,-1.2300000000000004,-0.46999999999999886,7.524656652360516,2.76,0.64,1.92,1.0,0.52,2.2379625779625774,0.0,3.671808731808731,0.0,10.51,9,2000,,,0.06906392694063612,,20.041666666666664,38.48
2000-12-31,149.76,16.520000000000003,0.8260000000000002,-0.002083333333333215,,24.25,24.25,13.25,0.0,46.609999999999985,102.28,0.0,234.59,1708.53,676.02,200.0,1032.51,7.0600000000000005,-2.5700000000000003,-0.48999999999999844,4.011803874092009,2.57,0.65,2.75,1.0,0.36,3.868683636363637,0.0,6.403752727272729,0.0,10.66,12,2000,,,-0.0416666666666643,,20.0,55.0
2001-03-31,142.37,10.77,0.54,0.0,,16.49,16.49,18.5,0.0,38.13,86.58,0.0,233.18,1782.05,722.45,200.0,1059.6,6.74,-23.84,-0.17,8.565,3.49,0.68,0.54,0.0,0.0,2.4,3.84,4.08,4.12,7.56,3,2001,,,0.0,,19.944444444444443,10.77
2001-06-30,160.29000000000002,22.23,1.1115,2.0,,24.790000000000003,24.790000000000003,23.0,0.0,40.71,64.01,0.0,227.3,1756.35,703.98,200.0,1052.37,-85.92999999999999,172.75,-40.0,5.173414304993252,4.37,0.67,1.65,2.0,1.21,5.065745454545454,6.601636363636365,8.460872727272728,8.5956,10.9,6,2001,,,40.0,,20.0,33.0
2001-09-30,186.39999999999998,16.79,0.8396686081542478,-0.0004016870857603755,,19.119999999999997,19.119999999999997,23.0,0.34,49.44,291.87,0.0,234.53,2074.87,1011.36,200.0,1050.71,82.28999999999999,-68.07,-4.670000000000002,6.850202501488981,4.38,0.96,2.49,2.0,0.8,3.2372765615585455,4.356834705764209,6.393621209078129,6.501530427796746,10.18,9,2001,,,-0.008032128514059877,,19.99598393574297,49.79
2001-12-31,209.67000000000002,22.610000000000007,1.1305000000000003,0.0004016064257029939,,25.089999999999996,25.089999999999996,23.0,6.14,48.47999999999999,303.52,0.0,230.38,2096.03,989.49,200.0,1091.77,3.4899999999999998,-16.159999999999997,1.2900000000000063,5.083370190181334,4.21,0.91,3.62,2.0,0.55,4.3096408839779015,5.608779005524863,8.28200552486188,8.519348066298345,10.36,12,2001,,,0.008032128514059877,,20.0,72.4
2002-03-31,189.73,-11.15,-0.56,2.25,,-6.9,-6.9,26.0,0.0,56.47,227.49,0.0,228.89,2039.67,968.04,200.0,1056.9,6.1,-13.89,-45.51,-11.607500000000002,4.92,0.92,-0.56,2.25,-4.02,-2.2,-1.4399999999999997,-4.2,-4.2,-5.88,3,2002,,,44.79910714285714,,19.910714285714285,-11.15
2002-06-30,208.54999999999998,25.23,1.2543323863636362,0.022771661931818864,,31.880000000000003,31.880000000000003,27.0,0.0,58.82000000000001,191.62,0.0,236.79,2109.58,1017.43,200.0,1091.3,26.96,-38.88,-1.2899999999999991,5.381149425287356,4.95,0.93,0.7,2.25,3.21,4.802301136363637,9.246221590909093,9.246221590909093,9.389573863636365,3.54,6,2002,,,0.4580357142857281,,20.114285714285717,14.08
