,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,cash,account_receivable,property_plant_equipment,total_asset,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,NPMA%,month,year,operating_profit,dividend,ROCE%,number_of_shares,return_old
2000-03-31,167.62,26.78,0.21,0.0,,38.17,45.95,,0.13,129.45,1073.59,0.0,119.05,2544.01,444.59,1275.0,2099.42,-380.54,-30.36,-1.88,7.78,0.0,0.0,0.21,0.21,0.0,0.0,4.2,0.0,5.12,0.0,15.98,3,2000,,0.0,,127.52380952380953,26.78
2000-06-30,77.78,-20.46,-0.16186708860759494,0.0,,-29.44,-21.330000000000002,,0.0,107.21000000000001,231.17,0.0,116.86,2096.8,189.83,1275.0,1906.96,-659.1800000000001,-11.240000000000002,-171.99,8.11,-0.0,0.0,0.1,0.05,0.0,0.0,-3.8848101265822783,-0.0,-4.273291139240507,-0.0,2.58,6,2000,,0.0,,126.4,6.32
2000-09-30,67.53,-42.35,-0.32911462669997227,0.0,,-42.34,-34.11,,1.23,109.88000000000002,222.32,0.0,111.4,2107.78,238.15,1275.0,1869.63,-5.690000000000055,-8.18,5.009999999999991,8.23,0.0,0.0,0.13,-0.28,0.0,0.0,-8.039800166527893,0.0,-9.074160421870664,0.0,-11.51,9,2000,,0.0,,128.67857142857142,-36.03
2000-12-31,-0.25,-31.14,-0.24570790531487272,0.0,,-33.56,-25.549999999999997,,1.2,33.299999999999955,190.83,0.0,102.01,1982.58,121.6,1275.0,1860.98,-2.230000000000018,-52.120000000000005,22.49000000000001,8.010000000000002,0.0,0.0,0.07,-0.53,0.0,0.0,-6.286413577489951,0.0,-6.694381420276908,0.0,-21.48,12,2000,,0.0,,126.73584905660377,-67.17
2001-03-31,83.32,16.01,0.13,0.0,,16.01,23.52,,1.32,67.31,400.4,0.0,95.12,2111.98,223.0,1275.0,1888.97,288.75,-91.14,11.98,7.51,0.0,0.0,0.12,0.13,0.0,0.0,3.04,2.76,3.4,3.2,19.22,3,2001,,0.0,,123.15384615384616,16.01
2001-06-30,46.30000000000001,-14.240000000000002,-0.08045197740112996,0.0,,-14.240000000000002,-7.619999999999999,,1.53,60.55,255.97,0.0,88.72,2079.84,202.98,1275.0,1876.86,-260.87,114.32,2.139999999999999,6.620000000000001,-0.0,0.0,0.11,0.01,0.0,0.0,-2.896271186440678,-2.5744632768361586,-2.896271186440678,-2.896271186440678,1.37,6,2001,,0.0,,177.0,1.77
2001-09-30,44.620000000000005,-16.97,-0.1339736842105263,0.0,,-16.97,-10.120000000000001,,0.0,61.58,347.37,0.0,92.02,2028.28,163.63,1275.0,1864.66,97.05000000000001,-10.42,4.76,6.85,0.0,0.0,0.09,-0.12,0.0,0.0,-3.349342105263158,-3.2600263157894735,-3.6619473684210524,-3.6172894736842105,-8.72,9,2001,,0.0,,126.66666666666667,-15.2
2001-12-31,54.66,-29.709999999999997,-0.2315408594967713,0.0,,-29.709999999999997,-22.650000000000002,,0.0,84.37,384.05,0.0,85.36,2277.03,346.42,1342.77,1930.6,21.439999999999998,-15.94,59.06,7.059999999999999,0.0,0.0,0.18,-0.35,0.0,0.0,-5.212977065241594,-5.583442440436428,-6.165602315742596,-6.271449565798263,-19.62,12,2001,,0.0,,128.31428571428572,-44.91
2002-03-31,145.05,55.86,0.42,0.0,,60.94,68.03,,6.7,84.11,312.5,0.0,86.34,2278.03,277.4,1342.77,2000.63,-65.19,-6.36,0.0,7.09,0.0,0.0,0.14,0.42,0.0,0.0,9.8,11.12,11.16,11.48,38.51,3,2002,,0.0,,133.0,55.86
2002-06-30,111.43,3.75,0.024534474081529947,0.0,,8.420000000000002,19.409999999999997,,0.0,103.01,623.37,0.0,115.75,3100.05,417.79,2008.26,2682.26,-176.44,-202.48999999999998,665.48,10.989999999999998,0.0,0.0,0.16,0.39,0.0,0.0,0.4831404126824358,0.6743834927025668,0.5586311021640665,0.6567689984901861,23.24,6,2002,,0.0,,152.84615384615384,59.61
2002-09-30,74.62,-50.81,-0.2886931818181818,0.0,,-50.82,-34.86,,0.0,125.43,426.17,0.0,180.44,2901.03,262.01,2008.26,2639.02,246.04,-443.59000000000003,0.0,15.96,-0.0,0.0,0.1,0.05,0.0,0.0,-6.928636363636364,-17.321590909090908,-7.6215,-9.007227272727274,2.66,9,2002,,0.0,,176.0,8.8
2002-12-31,76.75999999999999,-35.08,-0.20022831050228307,0.0,,-40.599999999999994,-33.989999999999995,,0.0,117.37,668.66,0.0,191.44,3035.44,191.8,2232.2,2843.64,-269.02000000000004,287.11000000000007,223.94999999999993,6.609999999999999,0.0,0.0,0.07,-0.15,0.0,0.0,-4.645296803652967,-4.431719939117199,-4.912267884322678,-5.8733637747336385,-6.44,12,2002,,0.0,,175.20000000000002,-26.28
