,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,cash,account_receivable,property_plant_equipment,total_asset,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,NPMA%,month,year,operating_profit,dividend,ROCE%,number_of_shares,return_old
2003-03-31,89.14,-46.51,-0.21,0.0,,-46.51,-28.68,,0.0,135.65,1421.36,0.0,187.41,3078.63,273.82,2232.2,2804.82,330.85,-5.64,0.0,17.83,0.0,0.0,0.1,-0.21,0.0,0.0,-6.040000000000001,-6.959999999999999,-6.640000000000001,-7.76,-52.18,3,2003,,0.0,,221.47619047619048,-46.51
2003-06-30,160.61,-1.5600000000000023,-0.007139588100686509,0.0,,-0.030000000000001137,19.1,,0.0,160.64000000000001,1553.68,0.0,220.75,3851.88,1032.42,2232.2,2819.46,159.78999999999996,-52.3,0.0,19.130000000000003,0.0,0.0,0.37,-0.22,0.0,0.0,-0.1622633659246934,-0.17394632827127132,-0.220678177657583,-0.22716871229457075,-19.25,6,2003,,0.0,,218.5,-48.07
2003-09-30,327.03,67.73,0.3100559511698881,0.0,,91.22999999999999,111.02,,0.0,235.81,1418.5,0.0,187.08,4374.92,1460.12,2232.2,2914.8,-148.95999999999998,13.780000000000001,0.0,19.79,0.0,0.0,0.5,0.09,0.0,0.0,6.201119023397762,16.94972533062055,9.232777212614446,9.783987792472024,3.41,9,2003,,0.0,,218.44444444444446,19.66
2003-12-31,448.48,46.260000000000005,0.21052791262135923,0.0,,91.75,98.69999999999999,,0.0,356.72,1873.71,0.0,234.3,4979.42,1907.07,2232.2,3072.35,484.79,-59.58,30.0,6.950000000000003,0.0,0.0,0.62,0.3,0.0,0.0,3.705291262135923,9.543932038834953,6.035133495145631,6.259696601941748,6.43,12,2003,,0.0,,219.73333333333335,65.92
2004-03-31,327.88,-47.39,-0.16,0.0,,-38.02,-17.48,,0.8,365.89,2447.92,0.0,240.54,4874.73,855.09,3223.11,4019.64,-362.28,-24.42,960.91,20.54,0.0,0.0,0.21,-0.16,0.0,0.0,-3.88,-3.8400000000000003,-4.72,-5.56,-14.45,3,2004,,0.0,,296.1875,-47.39
2004-06-30,199.41999999999996,22.93,0.07499591169255929,0.0,,25.160000000000004,51.56,,0.0,174.26,2365.15,0.0,250.47,5035.37,1005.95,3223.11,4029.41,345.09,-427.85999999999996,0.0,26.4,-0.0,0.0,0.25,-0.08,0.0,0.0,1.8373998364677022,1.0874407195421094,2.287375306623058,2.662354865085854,-4.64,6,2004,,0.0,,305.75,-24.46
2004-09-30,171.87,-18.659999999999997,-0.06058441558441559,0.0,,-18.41,4.890000000000001,,0.0,190.27999999999997,2192.69,0.0,303.48,4681.26,701.63,3223.11,3979.63,-112.78999999999999,-59.660000000000025,0.0,23.299999999999997,0.0,0.0,0.18,-0.14,0.0,0.0,-1.5925046382189236,-1.1943784786641929,-1.8694619666048236,-2.163729128014842,-6.17,9,2004,,0.0,,307.99999999999994,-43.12
2004-12-31,188.33000000000004,43.47,1.242,0.0,,38.22,65.41,,0.0,150.11,2216.97,0.0,378.44,4565.26,587.74,3223.11,3977.53,-47.47,71.74000000000001,0.0,27.190000000000012,0.0,0.0,0.15,0.01,0.0,0.0,4.968,74.52000000000001,4.968,4.968,0.04,12,2004,,0.0,,35.0,0.35
2005-03-31,212.74,-34.13,-0.11,0.0,,-34.13,-2.66,,0.0,246.87,2198.45,0.0,388.79,4692.74,756.94,3223.11,3935.79,51.3,-69.82,0.0,31.47,0.0,0.0,0.19,-0.11,0.0,0.0,-2.9200000000000004,-2.84,-3.4799999999999995,-3.44,-16.04,3,2005,,0.0,,310.2727272727273,-34.13
2005-06-30,140.89,-55.88999999999999,-0.17384136858475896,0.0,,-55.88999999999999,-20.1,,0.0,196.77999999999997,2148.14,0.0,399.47,4364.84,556.74,3223.11,3808.11,-12.949999999999996,-37.360000000000014,0.0,35.790000000000006,0.0,0.0,0.15,-0.28,0.0,0.0,-5.115903132637191,-4.768220395467673,-5.860937569429015,-5.71193068207065,-25.46,6,2005,,0.0,,321.49999999999994,-90.02
2005-09-30,133.0,-73.72000000000001,-0.22961524367900332,0.0,,-73.72000000000001,-39.67999999999999,,0.0,206.72000000000003,2120.41,0.0,420.27,4497.04,718.26,3223.11,3778.77,71.41,-99.13999999999999,0.0,34.03999999999999,0.0,0.0,0.19,-0.51,0.0,0.0,-6.555290094051546,-6.429226823012092,-7.797913765726152,-7.599814339807011,-33.65,9,2005,,0.0,,321.05882352941177,-163.74
2005-12-31,135.02999999999997,-80.42999999999998,-0.25034525125936846,0.0,,-80.42999999999998,-44.18000000000001,,0.0,215.46000000000004,2045.45,0.0,434.03,4413.39,735.16,3223.11,3678.23,-40.18000000000001,-34.78,0.0,36.250000000000014,0.0,0.0,0.2,-0.76,0.0,0.0,-7.286364418233197,-7.167779825531391,-8.748907728222138,-8.406330015972477,-39.28,12,2005,,0.0,,321.27631578947364,-244.17
2006-03-31,179.13,-48.05,-0.11999999999999998,0.0,,-48.05,-10.15,,0.0,227.18,2943.14,0.0,449.49,5476.09,883.76,4195.9,4592.32,-61.66,-13.39,972.74,37.9,0.0,0.0,0.19,-0.12,0.0,0.0,-3.52,-3.8,-4.2,-4.52,-26.82,3,2006,,0.0,,400.4166666666667,-48.05
2006-06-30,141.25,-141.08999999999997,-0.3431394734059427,0.0,,-141.08999999999997,-101.64999999999999,,0.0,282.34,2602.14,0.0,380.82,4905.33,489.4,4195.9,4415.93,-186.79,-152.95999999999998,-1.240000000000009,39.440000000000005,0.0,0.0,0.11,-0.46,0.0,0.0,-11.517551020408161,-12.17399175214127,-12.770756053716822,-13.725578936237705,-59.04,6,2006,,0.0,,411.1739130434782,-189.14
2006-09-30,149.88,-371.39,-0.9010943214457746,0.0,,-371.39,-333.18,,0.0,521.27,2432.73,0.0,337.56,4848.67,583.74,4195.9,4264.93,-486.75000000000006,318.59000000000003,-1.259999999999991,38.209999999999994,0.0,0.0,0.14,-1.36,0.0,0.0,-30.637206929156335,-31.803328992203806,-34.82464524646317,-36.944867179276756,-119.2,9,2006,,0.0,,412.15441176470586,-560.53
2006-12-31,178.65999999999997,-123.02999999999997,-0.29697393059863064,0.0,,-123.02999999999997,-89.12,,0.0,301.69000000000005,2252.77,0.0,297.9,4501.94,370.3,4195.9,4131.63,-178.37,-1.1800000000000068,-0.4199999999999591,33.91000000000001,0.0,0.0,0.09,-1.65,0.0,0.0,-10.928640646029608,-11.036631166247291,-11.907754696003275,-12.606093393410966,-105.34,12,2006,,0.0,,414.27878787878785,-683.56
2007-03-31,130.01,-106.79,-0.03,0.0,,-106.79,-75.96,,0.04,236.8,2139.1,0.0,263.43,4360.62,331.4,4195.9,4029.22,-13.87,-96.7,-3.1,30.83,0.0,0.0,0.08,-0.03,0.0,0.0,-9.8,-8.68,-10.6,-9.92,-82.14,3,2007,,0.0,,3559.666666666667,-106.79
2007-06-30,154.74,46.56000000000001,0.0077303669267806754,0.0,,46.56000000000001,74.97,,0.06,108.18,2310.97,0.0,237.53,4786.49,719.38,4195.9,4067.12,115.52000000000001,58.480000000000004,-2.1199999999999997,28.410000000000004,-0.0,0.0,0.18,-0.01,0.0,0.0,3.8961049310974607,3.834261995683215,4.57637722065416,4.3908484144114235,-21.15,6,2007,,0.0,,6023.0,-60.23
2007-09-30,218.32999999999998,42.94,-0.0,,,42.94,70.94999999999999,,0.03,175.39,2158.01,0.0,214.11,4934.17,814.96,4195.9,4119.22,-48.970000000000006,-102.64000000000001,-1.3600000000000003,28.009999999999998,-0.0,0.0,0.2,0.0,0.0,0.0,3.4769230769230766,3.4769230769230766,4.172307692307692,4.072967032967033,-3.44,9,2007,,,,-inf,-17.29
2007-12-31,214.75000000000006,2.6799999999999997,-0.0,,,2.6799999999999997,31.620000000000005,,0.0,212.08000000000004,2491.65,0.0,193.19,4708.89,641.85,4195.9,4067.04,133.72,201.65,-1.7300000000000004,28.939999999999998,-0.0,0.0,0.16,0.0,0.0,0.0,0.22746064339493496,0.23479808350444897,0.2641478439425051,0.2641478439425051,-2.04,12,2007,,,,-inf,-14.61
2008-03-31,328.97,136.39,0.03,0.0,,136.39,159.68,,7.34,192.58,2582.12,0.0,190.97,4626.69,413.28,4195.9,4213.42,-174.06,405.33,-5.63,23.29,0.0,0.0,0.1,0.03,0.0,0.0,11.8,12.16,12.96,13.24,41.46,3,2008,,0.0,,4546.333333333333,136.39
2008-06-30,169.57,-135.80999999999997,-0.0,,,-135.80999999999997,-112.9,,59.34,305.38,2177.2,0.0,172.62,4687.61,622.73,4195.9,4064.88,-128.5,-275.01,-1.4100000000000001,22.910000000000004,-0.0,0.0,0.15,0.0,0.0,0.0,-9.366206896551724,-9.366206896551724,-9.366206896551724,-9.366206896551724,0.12,6,2008,,,,inf,0.58
2008-09-30,118.56,-51.85,-0.010113126584747415,,,-51.85,-31.090000000000003,,54.65,170.41000000000003,2101.99,0.0,160.55,4401.87,546.64,4195.9,3855.24,-34.56,-38.27999999999999,-2.37,20.75999999999999,0.0,0.0,0.14,-0.01,0.0,0.0,-4.6924907353228,-4.449775697288863,-5.380183343085625,-5.218373317729666,-8.31,9,2008,,,,5127.0,-51.27
2008-12-31,132.5,-268.63,-0.06717849327914974,0.0,,-268.63,-251.75,,260.47,401.13,2181.87,0.0,143.72,3730.58,285.14,4195.9,3445.44,102.38,-21.5,-1.0099999999999998,16.88000000000001,0.0,0.0,0.08,-0.08,0.0,0.0,-28.819573616755235,-25.46064895279775,-31.170820881525476,-28.618038136917786,-42.68,12,2008,,0.0,,3998.7499999999995,-319.9
2009-03-31,104.4,-71.29,-0.02,0.0,,-71.29,-54.67,,35.34,175.69,2182.53,0.0,129.78,3869.18,2141.9,2300.0,1727.27,-21.32,23.84,-1.85,16.62,0.0,0.0,1.24,-0.02,0.0,0.0,-7.36,-6.72,-16.52,-9.6,-68.29,3,2009,,0.0,,3564.5000000000005,-71.29
2009-06-30,249.98999999999998,-107.52,-0.03607851909848442,0.0,,-107.52,-91.96999999999998,,28.4,357.51000000000005,647.11,0.0,129.86,2759.39,903.29,2300.0,1856.1,-152.8,357.17,-1739.7900000000002,15.55,0.0,0.0,0.49,-0.06,0.0,0.0,-15.585920250545273,-11.545126111515016,-23.162409261227,-14.527617023656394,-50.46,6,2009,,0.0,,2980.166666666667,-178.81
2009-09-30,322.74,112.43,0.033874661042482684,0.0,,112.43,127.43999999999998,,29.0,210.30999999999995,707.45,0.0,149.01,3207.38,1229.79,2300.0,1977.59,112.68,-50.39999999999998,-1.949999999999818,15.009999999999998,-0.0,0.0,0.62,-0.02,0.0,0.0,14.024109671587828,11.788382042783972,22.76377222054836,15.446845435372099,-9.8,9,2009,,0.0,,3318.9999999999995,-66.38
2009-12-31,313.07000000000005,86.05,0.04374682257244534,0.0,,86.05,106.65,,33.09,227.02999999999997,831.85,0.0,226.37,3014.77,934.72,1866.37,2080.05,156.59,-53.210000000000036,21.029999999999973,20.6,0.0,0.0,0.45,0.01,0.0,0.0,11.37417386883579,10.149262836807319,16.62379257752923,12.424097610574478,1.99,12,2009,,0.0,,1967.0000000000002,19.67
2010-03-31,254.64,-102.91,-0.05,0.0,,-102.91,-84.17,,12.09,357.55,1374.89,0.0,215.53,4129.5,1528.4,2330.76,2601.1,33.14,-56.23,566.13,18.74,0.0,0.0,0.59,-0.05,0.0,0.0,-9.96,-10.28,-15.84,-19.04,-40.41,3,2010,,0.0,,2058.2,-102.91
2010-06-30,351.48,70.47,0.021723181257706538,0.0,,70.47,88.66,,7.69,281.00999999999993,1327.04,0.0,201.19,3868.96,1174.42,2330.76,2694.54,-79.84,38.9,-6.909999999999968,18.19,-0.0,0.0,0.44,-0.01,0.0,0.0,7.298988902589396,8.515487053020962,10.427127003699137,12.425659679408138,-5.35,6,2010,,0.0,,3243.9999999999995,-32.44
2010-09-30,529.5100000000001,153.57,0.06339057211260629,0.0,,153.57,168.67999999999998,,8.77,375.94000000000005,1438.59,0.0,188.36,4875.44,1984.07,2330.76,2891.37,99.7,18.68,-6.830000000000041,15.11,0.0,0.0,0.69,0.05,0.0,0.0,12.576689507141086,15.213737307025509,21.24851977214563,25.254803929662348,10.67,9,2010,,0.0,,2422.6,121.13
2010-12-31,475.8499999999999,72.91,0.030059781488352914,0.0,,72.91,88.70000000000002,,16.25,402.93000000000006,1372.05,0.0,178.12,4380.67,1416.93,2330.76,2963.74,-54.01,-5.369999999999999,-7.159999999999968,15.79,0.0,0.0,0.48,0.08,0.0,0.0,6.658241599670171,7.89069264069264,9.84457843743558,11.557985982271697,12.04,12,2010,,0.0,,2425.5,194.04
2011-03-31,430.85,112.55,0.049999999999999996,0.0,,112.55,126.38,,0.0,318.3,1214.91,0.0,174.21,4670.27,1708.98,2330.76,2961.3,-184.64,34.75,-7.24,13.83,0.0,0.0,0.58,0.05,0.0,0.0,9.64,10.24,15.2,16.2,26.12,3,2011,,0.0,,2251.0,112.55
2011-06-30,384.1,64.89,0.029256086564472497,0.0,,64.89,77.89000000000001,,0.0,319.21,1351.04,0.0,176.32,4313.91,1555.4,2330.76,2758.51,476.8,-77.22999999999999,-263.44,12.999999999999998,0.0,0.0,0.56,0.08,0.0,0.0,6.012125788999099,6.348570784490532,9.405831830477908,9.522856176735798,21.77,6,2011,,0.0,,2218.0,177.44
2011-09-30,425.95000000000005,75.72,0.0329009322167799,0.0,,75.72,89.48999999999998,,0.0,350.23,1086.88,0.0,187.78,3891.44,1072.42,2330.76,2819.02,-299.22,41.559999999999995,-6.509999999999991,13.770000000000003,0.0,0.0,0.38,0.11,0.0,0.0,7.788547953863168,6.915177753199559,10.743649865697583,10.612046136830461,20.4,9,2011,,0.0,,2301.4545454545455,253.16
2011-12-31,319.8599999999999,1.289999999999992,0.0005576734132442489,0.0,,1.289999999999992,16.220000000000027,,0.0,318.55999999999995,1334.88,0.0,188.51,3722.73,885.0,2330.76,2837.73,426.35,-175.07000000000002,-3.2800000000000296,14.93,0.0,0.0,0.31,0.11,0.0,0.0,0.13870858714875137,0.12735232855177758,0.18190292788366955,0.17784712124189317,16.3,12,2011,,0.0,,2313.181818181818,254.45
2012-03-31,416.11,94.04,0.04,0.0,,94.04,110.13,,5.49,322.07,831.66,0.0,196.4,3990.13,1080.18,2330.76,2909.95,-610.91,117.49,-9.81,16.09,0.0,0.0,0.37,0.04,0.0,0.0,9.44,8.68,12.92,12.8,22.6,3,2012,,0.0,,2351.0,94.04
2012-06-30,347.15,28.409999999999997,0.011600653327888934,0.0,,28.409999999999997,45.97,,5.15,318.73999999999995,1248.81,0.0,199.36,4532.34,1805.36,2330.76,2726.98,361.05999999999995,-33.56999999999999,89.68,17.56,0.0,0.0,0.66,0.05,0.0,0.0,2.5057411188240093,2.5707047774601874,4.166954675377705,4.139113107390772,16.04,6,2012,,0.0,,2449.0,122.45
2012-09-30,411.5999999999999,63.3,0.027262449528936743,0.0,,65.45,83.5,,0.0,346.1500000000001,1101.61,0.0,202.4,5579.17,2780.36,2330.76,2798.81,-790.9599999999999,127.3,516.45,18.050000000000004,0.0,0.0,0.99,0.08,0.0,0.0,4.539197846567967,5.411596231493943,9.051133243606998,9.010239569313592,15.81,9,2012,,0.0,,2321.875,185.75
2012-12-31,503.8000000000002,126.57,0.052683465676229516,0.0,,139.42,155.9,,0.0,364.3699999999999,1443.21,0.0,203.34,5322.67,2390.3,2330.76,2932.37,731.3199999999999,115.44000000000003,-505.1700000000001,16.480000000000004,0.0,0.0,0.82,0.13,0.0,0.0,9.515444415983607,11.73625512295082,17.263966444672132,17.555751793032787,18.61,12,2012,,0.0,,2402.461538461538,312.32
2013-03-31,866.11,263.32,0.11000000000000001,0.0,,332.55,348.03,,0.0,533.56,2019.81,0.0,195.97,7463.47,4107.52,2330.81,3355.96,607.74,-83.93,52.8,15.48,0.0,0.0,1.22,0.11,0.0,0.0,14.12,23.24,31.4,33.6,30.4,3,2013,,0.0,,2393.8181818181815,263.32
2013-06-30,532.42,103.43,0.04230265848670757,0.0,,113.0,128.83000000000004,,0.0,419.4100000000001,2315.5,0.0,192.8,6302.08,2894.76,2589.74,3407.32,367.30999999999995,37.25000000000001,-108.87,15.829999999999998,0.0,0.0,0.85,0.15,0.0,0.0,6.5653725971370145,9.2727427402863,12.138042808452624,13.491727880027266,26.22,6,2013,,0.0,,2445.0,366.75
2013-09-30,374.85000000000014,12.800000000000011,0.005058622052430514,0.0,,16.519999999999982,32.599999999999966,,8.8,358.3399999999999,2130.88,0.0,191.21,5201.4,1784.89,2589.74,3416.51,-17.789999999999964,-21.71,-145.12,16.080000000000002,0.0,0.0,0.52,0.15,0.0,0.0,0.9847450928731402,1.1560637597154535,1.4987010934000802,1.6470873402713753,21.4,9,2013,,0.0,,2530.3333333333335,379.55
2013-12-31,295.46000000000004,-34.74000000000001,-0.014105159363127525,0.0,,-42.349999999999966,-25.689999999999998,,15.93,337.80999999999995,1073.09,0.0,186.62,4748.11,1370.5,2589.74,3377.6,-727.4,-150.27999999999997,-180.12,16.659999999999997,-0.0,0.0,0.41,0.14,0.0,0.0,-2.9258130564658806,-3.361057973956673,-4.1146764885009155,-4.404839766828109,16.67,12,2013,,0.0,,2462.928571428571,344.81
2014-03-31,243.22,-24.16,-0.01,0.0,,-27.9,-11.72,,17.55,271.13,1331.7,0.0,173.88,4287.01,929.32,2589.74,3357.69,265.06,-6.33,-0.12,16.18,0.0,0.0,0.28,-0.01,0.0,0.0,-2.24,-1.88,-2.88,-2.88,-9.93,3,2014,,0.0,,2416.0,-24.16
2014-06-30,293.28999999999996,45.29,0.0214339801230478,0.0,,38.269999999999996,53.81,,12.99,255.01,749.58,0.0,164.16,4410.65,1277.13,2589.74,3133.53,-367.12,69.96000000000001,-284.95,15.54,0.0,0.0,0.41,0.01,0.0,0.0,4.1153241836251775,1.628982489351633,5.74430667297681,5.572834831992428,3.94,6,2014,,0.0,,2113.0,21.13
2014-09-30,424.58000000000004,101.26,0.041367758803823845,0.0,,130.13,143.77,,13.38,294.45000000000005,899.92,0.0,153.0,5161.05,1915.32,2589.74,3245.75,160.12,-9.670000000000002,-0.12000000000000455,13.64,0.0,0.0,0.59,0.05,0.0,0.0,7.843327069205001,8.96853010866901,12.476516055233272,12.14557398480268,12.73,9,2014,,0.0,,2447.7999999999997,122.39
2014-12-31,639.2799999999999,258.16,0.10175798186834845,0.0,,323.29,335.65999999999997,,2.87,315.9899999999999,1144.64,0.0,152.38,5757.17,2269.67,2566.23,3455.63,282.42,-37.58,-0.12000000000000455,12.369999999999997,0.0,0.0,0.66,0.15,0.0,0.0,17.936540270660885,23.960612797267114,29.876143476547103,30.228904480357382,23.78,12,2014,,0.0,,2537.0,380.55
2015-03-31,371.24,47.12,0.02,0.0,,88.36,99.82,1.8,1.79,282.88,885.79,0.0,148.14,4815.09,1312.3,2566.23,3471.44,-206.27,-52.46,-0.12,11.46,22.500000000000004,1.33,0.38,0.02,0.0,0.0,3.9200000000000004,7.76,5.44,5.52,12.69,3,2015,,0.0,,2356.0,47.12
2015-06-30,286.58000000000004,21.18,0.0062020497803806736,0.0,,34.0,46.129999999999995,1.42,0.0,252.57000000000005,1609.5,48.37,156.59,7748.92,1926.34,4336.77,5798.65,-568.26,-1002.0999999999999,2294.08,12.129999999999999,57.23914069877243,1.06,0.33,0.02,0.0,0.0,1.0915607613469986,2.4932240117130307,1.4636837481698388,1.897827232796486,10.38,6,2015,,0.0,,3415.0,68.3
2015-09-30,318.05999999999995,49.72,0.012638535841382817,0.0,,61.36,74.12,1.24,0.0,256.7099999999999,1811.17,33.02,150.34,7191.57,1380.54,4336.77,5790.49,647.13,-441.8600000000001,-3.6100000000001273,12.760000000000002,24.52617960579244,0.93,0.24,0.03,0.0,0.0,2.7636265039823757,5.004860193187596,3.4376817488561264,4.39821047280122,12.09,9,2015,,0.0,,3934.0,118.02
2015-12-31,213.5000000000001,-57.83,-0.01921581658082738,0.0,,-66.86,-53.389999999999986,1.25,0.0,280.36,1471.72,77.8,140.23,6928.88,1089.46,4336.77,5818.88,278.12,-615.6300000000001,-1.949999999999818,13.469999999999999,-16.26264482102715,0.93,0.19,0.02,0.0,0.0,-3.343552085063964,-7.071420501744476,-3.9584582156504404,-4.9961123110151195,5.06,12,2015,,0.0,,3009.5,60.19
2016-03-31,321.46,51.39,0.01,0.049999999999999996,,63.42,75.76,1.87,0.31,258.04,1466.71,133.55,177.26,7717.0,1787.1,4336.77,5909.05,-63.43,58.44,-0.01,12.34,46.75,1.37,0.3,0.01,0.05,4.6,2.68,4.04,3.48,4.4,15.99,3,2016,,256.95,,5139.0,51.39
2016-06-30,306.12000000000006,49.7,0.009832822237610051,-0.000835888811949741,,53.370000000000005,65.11,1.64,0.0,252.75,1546.42,127.4,145.52,7350.83,1615.42,4336.77,5716.2,254.99,25.67,-200.95000000000002,11.739999999999998,41.69708249496982,1.24,0.28,0.02,0.05,2.3,2.713858937580374,3.048174893659116,3.4808190721139582,3.461153427638738,16.11,6,2016,,-4.224999999999966,,5054.5,101.09
2016-09-30,563.61,258.84000000000003,0.05753118661962049,-0.006172033450948798,,312.31,320.95,1.7,9.84,251.3,1387.02,0.0,131.87,7196.23,1213.22,4336.77,5962.37,-56.5,-102.9,0.0,8.64,7.387297654921959,1.24,0.2,0.08,0.05,0.58,14.382796654905121,17.144293612646905,17.374418359125386,17.60454310560387,30.22,9,2016,,-27.76875000000001,,4499.125,359.93
2016-12-31,166.44000000000005,31.399999999999977,0.0072215265888125055,-0.0017365458819921808,,-3.7800000000000296,3.590000000000032,1.61,12.5,170.2199999999999,1480.78,112.67,125.42,7925.21,1903.72,4336.77,6001.61,-173.14,266.91,-0.01999999999998181,7.3700000000000045,55.739599522293034,1.16,0.32,0.09,0.05,0.51,1.585526282165946,1.8390821046175851,2.092637927069224,2.12473360079728,28.82,12,2016,,-7.550694444444446,,4348.111111111111,391.33
2017-03-31,194.27,55.15,0.01,0.03,,57.62,64.68,1.59,5.48,136.64,1185.96,0.0,116.96,7554.64,1488.06,4336.77,6046.82,-380.95,86.24,-0.11,7.06,39.75,1.14,0.25,0.01,0.03,2.77,2.92,3.0,3.6400000000000006,3.68,28.39,3,2017,,165.45,,5515.0,55.15
2017-06-30,131.11999999999998,-5.149999999999999,-0.0010299999999999997,-0.0030899999999999977,,-6.299999999999997,0.45999999999999375,1.44,9.0,137.44,866.77,0.0,111.54,7687.75,1755.45,4336.77,5913.23,-487.66,289.46,-120.98,6.760000000000001,-349.51456310679623,1.06,0.3,0.01,0.03,2.77,-0.2677999999999999,-0.28015999999999996,-0.35019999999999996,-0.3543199999999999,15.37,6,2017,,-15.449999999999989,,5000.0,50.0
