,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2000-03-31,30.83,10.62,0.52,0.0,11.14,14.42,20.38,15.25,16.41,6.1,5.3,0.25,0.38,127.51,1412.09,1623.97,0.0,0.67,10.0,1.28,11.29,205.0,1612.68,19.66,-6.58,0.0,5.96,7.3325,1.94,0.01,0.52,0.0,0.0,2.6,0.0,2.64,0.0,3.5600000000000005,47.24,34.45,12.75,12.71,3,2000,0.0,20.42307692307692,10.62
2000-06-30,17.270000000000003,0.14000000000000057,0.006765799256505604,0.8,0.7299999999999986,0.0,5.870000000000001,16.0,17.27,-5.7299999999999995,3.6,0.57,0.27,114.04,2163.88,2360.58,0.0,1.0,7.0,1.28,8.28,205.0,2352.3,2.7399999999999984,-0.08000000000000007,-16.41,5.87,591.223571428569,1.39,0.0,0.52,0.8,1.54,0.023940520446096753,0.0,0.023940520446096753,0.0,0.03174721189591091,32.19,22.37,16.29,16.25,6,2000,16.553846153846152,20.69230769230769,10.76
2000-09-30,26.130000000000003,7.67,0.37455236028214867,-0.008380984181309673,9.53,10.790000000000001,16.64,16.0,15.340000000000003,4.49,3.99,0.37,0.25,106.74,2158.06,2365.32,0.0,0.68,6.16,1.28,7.44,205.0,2357.88,12.660000000000004,-19.96,0.0,5.85,10.68074967405476,1.39,0.0,0.9,0.8,0.89,1.2984481823114487,0.0,1.2984481823114487,0.0,1.7812045577862181,34.62,24.83,17.33,17.29,9,2000,-0.1716239316239303,20.477777777777778,18.43
2000-12-31,21.08999999999999,1.7100000000000009,0.08320754716981135,0.002851153039832487,3.16,2.8599999999999994,8.600000000000001,14.75,18.240000000000002,-4.5200000000000005,3.51,0.77,0.29,117.65,2144.72,2367.55,0.0,0.99,8.36,1.27,9.64,205.0,2357.91,10.219999999999999,-0.10999999999999943,0.0,5.740000000000002,44.31388888888887,1.28,0.0,0.98,0.8,0.82,0.28867924528301897,0.0,0.28867924528301897,0.0,0.4041509433962266,30.1,21.13,14.07,14.04,12,2000,0.05859410430839418,20.551020408163268,20.14
2001-03-31,32.73,11.24,0.55,0.0,12.43,15.51,20.19,16.0,17.21,6.91,2.78,0.4,0.37,122.61,2140.34,2384.45,0.94,0.0,12.69,1.27,13.96,205.0,2370.49,20.84,-15.29,0.0,4.68,7.2725,1.38,0.01,0.55,0.0,0.0,1.88,3.08,1.88,2.24,2.6,46.66,34.34,9.66,9.63,3,2001,0.0,20.436363636363634,11.24
2001-06-30,20.010000000000005,3.4000000000000004,0.16489071038251368,0.7,2.84,4.630000000000001,9.329999999999998,20.5,15.39,-1.5200000000000005,6.59,0.5,0.35,118.57,2135.93,2373.79,0.0,0.86,8.56,1.42,9.98,205.0,2363.81,3.8500000000000014,-0.2900000000000009,-14.21,4.700000000000001,31.07770588235294,1.78,0.0,0.71,0.7,0.99,0.5759562841530055,0.7896174863387978,0.5759562841530055,0.5759562841530055,0.7896174863387978,39.12,27.76,13.85,13.81,6,2001,14.433802816901409,20.619718309859156,14.64
2001-09-30,29.009999999999998,10.7,0.5235990528808209,-0.006310792934402102,12.440000000000001,15.07,19.709999999999997,23.0,13.939999999999998,8.25,7.47,0.62,0.32,132.54,2131.41,2381.8,0.0,0.72,7.31,1.41,8.72,205.0,2373.09,14.02,-0.10999999999999943,-0.009999999999999787,4.639999999999999,10.982640186915889,1.99,0.0,1.24,0.7,0.56,1.7903709550118387,2.499763220205209,1.8072612470402525,1.8072612470402525,2.499763220205209,42.53,31.0,18.13,18.09,9,2001,-0.12896410722399132,20.43548387096774,25.34
2001-12-31,23.299999999999997,4.899999999999999,0.23981481481481476,-0.00010454002389483332,4.869999999999997,6.769999999999996,10.96,20.0,16.520000000000003,-0.9299999999999997,5.81,0.77,0.35,137.65,2127.32,2388.97,0.0,0.73,9.22,1.4,10.62,205.0,2378.34,10.079999999999998,-27.03,0.0,4.190000000000001,20.844000000000005,1.72,0.0,1.48,0.7,0.47,0.823148148148148,1.147222222222222,0.823148148148148,0.8296296296296295,1.1407407407407404,40.24,28.79,14.93,14.89,12,2001,-0.0021360069747160537,20.43243243243243,30.24
2002-03-31,38.27,17.12,0.84,0.0,16.88,22.39,25.37,26.0,15.88,12.14,8.83,1.42,0.39,151.27,2126.86,2414.64,0.0,0.66,16.14,1.39,17.53,205.0,2397.11,24.9,-23.59,0.0,2.98,7.7375,2.22,0.01,0.84,0.0,0.0,2.84,3.72,2.84,2.88,3.72,61.21,44.73,9.37,9.35,3,2002,0.0,20.380952380952383,17.12
2002-06-30,22.22,7.32,0.35641571194762683,1.0,4.949999999999999,8.11,11.179999999999996,34.0,14.12,0.25,32.9,0.8,0.32,130.7,2132.84,2395.0,0.0,0.48,9.59,1.38,10.97,205.0,2384.02,5.68,15.879999999999999,-20.5,3.07,23.84736338797814,2.92,0.0,1.19,1.0,0.84,1.2219967266775777,1.5334860883797052,1.2339770867430442,1.2339770867430442,1.5334860883797052,58.3,40.4,13.63,13.6,6,2002,20.537815126050422,20.537815126050422,24.44
2002-09-30,28.779999999999994,11.190000000000001,0.5464664608476004,-0.002969360632268671,12.950000000000003,14.82,18.17,29.0,13.939999999999998,7.449999999999999,100.04,1.18,0.38,138.26,2129.68,2405.32,0.0,0.52,7.56,1.38,8.95,205.0,2396.38,12.149999999999999,54.99,0.0,3.3500000000000005,13.269707327971403,2.48,0.0,1.74,1.0,0.57,1.859242211619422,2.374302554027505,1.8718046589952286,1.8718046589952286,2.374302554027505,56.37,39.91,18.29,18.24,9,2002,-0.06080363179754755,20.477011494252874,35.63
2002-12-31,24.66000000000001,6.68,0.32523753249822734,0.0030100761484065856,28.879999999999995,8.869999999999997,12.090000000000003,33.0,15.800000000000004,22.400000000000002,27.02,0.95,0.41,137.01,2126.56,2415.28,0.0,0.52,9.39,1.37,10.76,205.0,2404.52,12.020000000000003,-85.03999999999999,0.0,3.219999999999999,25.36699850299401,2.81,0.0,2.06,1.0,0.49,1.105176081304656,1.4272559678562984,1.1114913731978255,1.117806665090995,1.4209406759631291,41.77,37.14,14.59,14.55,12,2002,0.06182345720343818,20.538834951456312,42.31
2003-03-31,31.92,13.07,0.64,0.0,18.59,17.05,20.17,35.0,14.88,13.75,60.46,0.36,0.41,134.89,2125.22,2437.79,0.0,0.69,17.17,1.36,18.53,205.0,2419.26,24.54,8.91,0.0,3.12,13.672500000000001,2.97,0.01,0.64,0.0,0.0,2.16,2.8,2.16,2.16,2.8,45.97,40.95,7.86,7.83,3,2003,0.0,20.421875,13.07
2003-06-30,23.689999999999998,6.68,0.3246987341772152,2.0,11.57,8.829999999999998,12.059999999999995,38.0,14.85,6.510000000000002,26.2,0.3,0.34,81.26,2122.45,2398.48,0.0,0.98,9.14,1.36,10.49,205.0,2387.99,0.5,6.24,-41.0,3.2299999999999995,29.255426646706585,3.26,0.0,0.96,2.0,2.08,1.1093873417721518,1.4611443037974685,1.1229164556962026,1.1229164556962026,1.4611443037974685,40.11,35.52,8.89,8.85,6,2003,41.145833333333336,20.572916666666668,19.75
