,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,property_plant_equipment,total_asset,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,month,year,dividend,ROCE%,number_of_shares,return_old
2014-09-30,,,,,,,,,158.89,,,43.27,22.98,72.86,3015.16,2026.15,533.0,989.01,,,,,,0.0,2.05,0.28,0.0,0.0,,,,,9,2014,,,528.5714285714286,148.0
2014-12-31,249.81999999999994,65.02000000000001,0.1220918223640973,0.0,-45.52000000000001,81.17000000000002,83.14000000000001,,210.39,85.83999999999997,-45.52000000000001,35.01,23.06,74.01,3100.22,2046.19,533.0,1054.03,-82.70999999999998,-3.459999999999999,77.92000000000002,1.9699999999999998,0.0,0.0,1.94,0.4,0.0,0.0,8.387708196413483,0.0,24.674757299784062,0.0,12,2014,0.0,,532.55,213.02
2015-03-31,260.29,74.12,0.13,0.0,-78.91,92.63,94.51,10.1,49.06,80.5,-78.91,138.89,28.97,73.02,3432.75,1887.38,613.0,1545.36,-72.74,-0.96,177.59,1.88,19.4225,4.01,1.22,0.13,0.0,0.0,8.64,0.0,19.2,0.0,3,2015,0.0,,570.1538461538462,74.12
2015-06-30,284.17,84.15,0.14355531686358755,0.17,-79.65,105.14000000000001,106.96999999999998,9.3,104.75,84.94,-79.65,40.71,32.03,73.16,3499.76,1974.46,613.0,1525.3,-71.45,-2.22,-24.52000000000001,1.83,16.193757575757576,3.74,1.29,0.27,0.17,0.63,9.612889366272823,0.0,22.07561761546724,0.0,6,2015,99.6514814814815,,586.1851851851852,158.27
2015-09-30,296.15999999999997,92.17999999999998,0.15458414853264119,0.002886315742774126,-92.46000000000001,115.21000000000001,116.96000000000001,7.55,151.52,96.03000000000003,-92.46000000000001,57.16,32.22,79.05,3649.19,2031.71,613.0,1617.49,-53.52000000000001,-7.630000000000001,77.6,1.75,12.212765784335,2.86,1.26,0.42,0.17,0.4,10.09949770413256,13.824239568776202,22.79012018366939,28.296260331403463,9,2015,1.7211375661375712,,596.3095238095239,250.45
2015-12-31,312.06000000000006,102.54000000000002,0.17138899118955211,0.0005622107195806182,-82.52000000000001,128.18,129.88,7.65,204.53,90.11999999999995,-82.52000000000001,41.32,32.26,79.13,3643.56,1923.71,613.0,1719.85,76.21000000000001,-1.6999999999999993,-90.35999999999999,1.7000000000000002,11.162181343865807,2.73,1.12,0.59,0.17,0.29,11.25938525170685,15.198427150910792,23.843404062438033,29.57186322558713,12,2015,0.336364003228411,,598.2881355932204,352.99
2016-03-31,322.9,98.92,0.16,0.0,-75.79,123.65,125.27,9.8,67.74,88.88,-75.79,41.9,33.38,78.8,3812.4,1993.63,613.0,1818.78,23.56,0.04,-23.03,1.62,15.3125,3.3,1.1,0.16,0.0,0.0,10.36,13.64,21.76,23.52,3,2016,0.0,,618.25,98.92
2016-06-30,332.63,108.01,0.17746774271492777,0.27,-82.49,134.98,136.56,8.85,127.87,95.22,-82.49,36.67,33.93,77.45,3981.15,2219.58,613.0,1761.57,-70.09,-0.2,65.07,1.58,12.467336126284604,3.08,1.26,0.34,0.27,0.79,10.856850142560287,14.427083554825304,24.532305610592953,26.28610447977577,6,2016,164.32676470588237,,608.6176470588235,206.93
2016-09-30,343.83000000000004,103.77999999999997,0.17034469440957806,0.1102737279134884,-97.1,129.69,131.17000000000002,8.4,190.34,108.53999999999999,-97.1,41.69,33.93,78.56,4166.9,2368.96,613.0,1797.94,-73.7,-2.5999999999999996,81.32,1.4799999999999995,12.327504576989789,2.86,1.32,0.51,0.38,0.75,9.966834668983937,13.280205979852592,23.086716230568697,24.302509735766467,9,2016,67.18264705882348,,609.235294117647,310.71
2016-12-31,359.86,110.73000000000002,0.18129199886104785,0.0009626658180357684,-103.19,138.40000000000003,139.91999999999996,8.3,255.76,115.07,-103.19,4.95,33.93,82.97,4283.35,2374.71,613.0,1908.64,-71.17,-6.0,40.42999999999999,1.5200000000000005,11.446589000270926,2.67,1.24,0.69,0.38,0.55,10.341526195899775,13.96736617312073,23.205375854214125,24.413989179954445,12,2016,0.5879795396420207,,610.7826086956522,421.44
2017-03-31,358.82,101.99,0.17,0.0,-94.82,127.46,128.96,8.8,86.28,106.5,-94.82,17.93,33.93,86.69,4427.17,2417.04,613.0,2010.13,59.62,-5.53,-41.11,1.5,12.94,2.68,1.2,0.17,0.0,0.0,9.2,12.36,20.28,21.32,3,2017,0.0,,599.9411764705882,101.99
2017-06-30,335.22999999999996,88.98,0.14444048803476986,0.23,-116.34,111.19000000000001,112.72,8.5,179.61,110.19,-116.34,14.79,36.37,87.01,4612.0,2653.0,613.0,1958.99,-100.78999999999999,-1.8899999999999997,99.55,1.5299999999999998,14.712287592717466,2.66,1.35,0.31,0.23,0.74,7.71591768340577,10.343802691522228,18.1715452688904,19.140694349897892,6,2017,141.6874193548387,,616.0322580645161,190.97
2017-09-30,370.26,97.71000000000001,0.15908168213939308,0.10931866739374331,-117.6,122.09,123.62,8.0,273.66,121.56,-117.6,8.06,14.83,88.66,4793.29,2804.15,613.0,1989.14,-86.7,-3.2799999999999994,83.24000000000001,1.5299999999999998,12.571214819363421,2.47,1.41,0.47,0.34,0.72,8.150397672162947,10.89878758486906,19.64489538589442,20.64677151170847,9,2017,67.14492107069324,,614.2127659574469,288.68
