,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2004-06-30,,,,,,,,,0.0,,,1040.04,271.32,0.0,3473.02,2065.26,5651.94,14.3,0.37,1010.26,483.89,1494.15,0.0,4153.97,,,,,,0.0,0.36,0.0,0.0,0.0,,,,,,41.3,40.82,0.0,3.44,3.44,6,2004,,inf,822.52
2004-09-30,955.2799999999997,154.98000000000002,0.2536757033248082,,596.2,287.28999999999996,360.78,,-0.15,667.9799999999998,272.64,1991.53,347.99,25.74,4253.76,3775.48,8149.24,4.81,0.38,1660.18,491.65,2151.84,3435.5,5992.04,753.7300000000001,-1610.72,1532.7800000000002,73.49000000000001,0.0,0.0,0.36,1.6,0.0,0.0,7.6039292071611255,0.0,10.343626803069053,0.0,10.831952531969309,33.31,32.91,0.0,2.56,2.55,9,2004,,610.9375,977.5
2005-03-31,812.96,251.62,0.37,0.5,500.98,336.26,390.71,22.6,0.0,476.7,327.91,814.48,413.2,20.6,3340.11,3866.89,7317.96,5.75,0.38,883.66,480.35,1364.01,3435.5,5948.14,28.32,-256.82,-948.55,54.45,15.27,13.05,0.23,0.37,0.5,1.35,13.76,0.0,16.92,0.0,20.92,31.44,30.95,0.0,3.78,3.76,3,2005,340.02702702702703,680.0540540540541,251.62
2005-06-30,893.01,293.88,0.4256007332722273,0.0975685584759828,532.71,402.19000000000005,503.76000000000005,21.8,0.0,490.82,386.21,67.64,660.78,0.0,3601.11,3871.53,7587.0,5.42,0.68,941.69,470.65,1412.34,3435.5,6168.44,46.23,-734.24,-58.84000000000003,101.57000000000001,12.803138185654008,12.14,0.23,0.79,0.59,0.75,15.494021631530707,24.049135105407885,19.04967332722273,22.777720256645278,23.941388084326306,32.51,31.98,0.0,3.82,3.82,6,2005,67.37170715018812,690.506329113924,545.5
2005-09-30,791.5400000000002,254.16999999999996,0.3686985881676191,0.7490280595175891,437.6399999999999,339.78999999999996,420.45000000000005,27.75,0.0,451.75,327.11,155.71,594.6,0.0,3292.92,3947.18,7354.63,9.97,0.39,980.16,460.89,1441.05,3435.5,5906.99,742.7800000000001,-138.1400000000001,-516.5600000000001,80.66,18.814284140535865,16.14,0.24,1.16,1.34,1.16,13.819840184075929,17.684818487626146,17.214409944101938,17.08727249990621,21.498941813498067,32.57,32.02,0.0,3.36,3.36,9,2005,516.3579899607159,689.3706896551724,799.67
2005-12-31,980.8799999999997,304.15999999999997,0.4436349800240979,-0.0073526954894041294,573.5500000000002,422.80999999999995,505.3799999999999,28.5,0.0,558.0699999999999,407.8399999999999,581.09,610.62,0.0,3642.87,3891.66,7661.22,16.14,0.4,975.1,457.33,1432.44,3435.5,6221.79,269.55000000000007,160.84000000000003,-5.0,82.57,16.058810330089425,15.74,0.23,1.61,1.34,0.83,15.882683384216772,0.0,19.553005082304338,0.0,24.744360997617388,32.31,31.73,0.0,3.74,3.74,12,2005,-5.041071964017988,685.6086956521739,1103.83
2006-03-31,946.78,316.37,0.46,0.55,564.39,422.03,511.2,35.0,0.0,524.75,401.2,575.64,691.93,0.0,3906.44,3817.44,7819.34,11.66,0.4,849.17,456.17,1305.33,3435.5,6507.41,10.72,-16.18,0.0,89.17,19.0225,18.48,0.2,0.46,0.55,1.2,16.2,22.32,19.44,20.32,24.2,34.24,33.42,0.0,4.6,4.6,3,2006,378.2684782608696,687.7608695652174,316.37
2006-06-30,1134.3799999999999,394.33000000000004,0.5714927536231884,0.0017848141146818426,706.7800000000001,526.32,597.9199999999998,38.5,0.0,608.06,500.85999999999996,324.51,920.08,0.0,3981.74,3786.8,7894.95,10.16,0.41,888.74,457.29,1346.03,3435.5,6540.08,71.64,55.14,-377.9,71.60000000000001,16.842470773210255,20.22,0.21,1.03,0.55,0.53,19.974504010130858,27.187519347122553,24.124762065569158,24.812772759251445,30.050531588574643,34.99,34.15,0.0,4.48,4.48,6,2006,1.2315217391304714,690.0,710.7
2006-09-30,1159.13,389.52,0.5664612532039047,0.798110377924415,734.25,578.93,662.45,29.25,0.0,580.2,554.3900000000001,371.9,899.19,0.0,3653.33,3857.01,7640.14,7.58,0.42,792.4,453.83,1246.23,3435.5,6379.92,766.89,-168.82000000000002,-550.6800000000001,83.51999999999998,12.908208564386939,15.75,0.2,1.6,1.35,0.84,20.39260511534057,28.847039319408847,24.42864154441839,25.363302612204826,31.580214866117682,34.78,33.95,0.0,4.61,4.61,9,2006,548.8106249999998,687.6374999999999,1100.22
2006-12-31,1104.7300000000005,404.69000000000005,0.5889196696147943,-0.0009115287625170659,630.5999999999999,549.3700000000001,635.3900000000001,23.1,0.0,555.3599999999999,464.1099999999999,990.49,673.27,0.0,4130.19,4287.96,8548.53,11.06,0.42,965.13,783.45,1748.58,3435.5,6784.61,828.6400000000001,-209.06,-1.0,86.02000000000001,9.808001494971458,11.7,0.26,2.19,1.35,0.62,18.931481616840877,27.558213580878594,23.857969446677878,24.89059571668738,29.451361742562682,36.01,34.64,0.0,4.28,4.28,12,2006,-0.6263784246573323,687.1735159817352,1504.91
2007-03-31,840.86,230.92,0.34,0.0,452.18,316.02,412.75,24.9,0.0,524.85,286.6,927.4,547.76,0.0,4091.2,4376.58,8597.3,9.68,0.0,785.28,781.64,1566.92,3435.5,7015.52,164.81,-227.9,0.0,96.73,18.309999999999995,12.19,0.22,0.34,0.0,0.0,10.76,15.400000000000002,13.16,13.68,16.2,28.5,27.46,0.0,5.21,5.21,3,2007,0.0,679.1764705882352,230.92
2007-06-30,927.43,241.94000000000003,0.3530402233219135,0.8,510.78000000000003,334.01,433.36,34.5,25.68,593.4,335.16999999999996,680.16,516.23,0.0,3673.53,4316.0,8115.14,8.75,0.27,629.28,767.35,1396.63,3435.5,6706.18,45.72999999999999,258.31,-551.29,99.35000000000001,24.430643961312718,17.67,0.21,0.69,0.8,1.16,11.93173624328554,16.618473121008332,14.428600431417333,14.612795330541811,17.76457471556063,27.65,26.74,0.0,5.84,5.84,6,2007,548.2434782608697,685.304347826087,472.86
2007-09-30,1082.3600000000001,299.48,0.43428748996555927,0.5549710028586192,605.8399999999999,413.05999999999995,430.91999999999996,30.0,0.0,669.31,367.1700000000001,996.26,661.99,0.0,3719.97,4430.88,8273.5,14.18,0.16,712.01,918.78,1630.79,3435.5,6627.75,648.6,46.66,-376.2900000000001,17.859999999999985,17.27242937758782,15.55,0.25,1.12,1.35,1.21,14.486589843851153,20.721717378356683,18.069461636067018,18.426197788538726,21.807436103270582,27.85,27.09,0.0,5.22,5.22,9,2007,382.70205745341605,689.5892857142857,772.34
2007-12-31,1105.62,338.32000000000005,0.49347090918913084,-0.007869886245244036,651.8100000000002,455.23,644.78,25.5,-48.46,650.4000000000001,375.77,2238.04,678.61,0.0,4222.35,4347.8,8691.49,9.41,0.05,800.93,907.52,1708.46,3435.5,6966.08,399.7500000000001,-31.919999999999995,-1.6100000000000136,189.55,12.918086722629463,12.58,0.25,1.62,1.35,0.83,15.571748689968128,21.45684619955702,19.4220402283327,19.677914033097437,23.4429143032071,28.92,28.07,0.0,5.27,5.27,12,2007,-5.395535714285643,685.5925925925926,1110.66
2008-03-31,930.69,233.82,0.34,0.0,529.78,318.96,423.35,28.0,0.0,611.74,298.23,2459.55,588.17,0.0,4478.93,4269.85,8874.27,7.73,0.0,757.19,899.72,1656.91,3435.5,7199.9,246.92,-30.8,0.0,104.39,20.5875,13.36,0.23,0.34,0.0,0.0,10.52,14.6,13.0,13.16,15.72,25.75,25.12,0.0,5.92,5.92,3,2008,0.0,687.7058823529411,233.82
