,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2013-09-30,,,,,,,,,,,27.72,101.68,218.9,1276.08,2524.2,205.0,138.87,183.26,621.54,736.79,1358.33,414.5,1165.87,,,,,,0.0,1.17,0.67,0.0,0.0,,,,,,30.49,29.69,0.0,0.35,0.35,9,2013,,415.9701492537313,278.7
2013-12-31,325.18000000000006,101.17000000000002,0.2290420406981336,0.0,150.83999999999997,119.02999999999997,164.02999999999997,17.0,206.14999999999998,113.41000000000003,1482.92,103.05,1657.96,1453.11,4114.5,0.0,89.82,7.3,230.35,235.84,466.19,620.0,3648.31,226.27000000000004,-224.77999999999997,1453.7,45.0,18.55794677275872,2.89,0.13,0.86,0.0,0.0,9.832828072761737,0.0,11.08989601705847,0.0,13.56141943296391,30.79,30.05,12.46,7.2,7.2,12,2013,0.0,441.7093023255814,379.87
2014-03-31,343.36,108.59,0.18,0.5,161.22,138.4,192.02,17.8,204.96,126.98,778.41,129.61,1769.88,1434.36,4412.58,0.0,30.57,6.47,255.23,462.44,717.67,620.0,3694.91,176.68,-872.94,-8.26,53.62,24.722500000000004,2.99,0.19,0.18,0.5,2.78,9.84,0.0,11.76,0.0,13.32,32.8,31.63,477.24,6.93,6.93,3,2014,301.6388888888889,603.2777777777778,108.59
2014-06-30,314.71000000000004,86.24000000000001,0.13721911409947135,0.020053094720753676,138.73,111.53,167.91,17.5,203.17999999999998,103.95,507.84,122.3,1483.15,1401.48,4070.82,0.0,11.99,5.39,145.88,453.79,599.68,620.0,3471.14,50.94999999999999,-9.259999999999991,-312.25,56.38,31.882402307513917,3.13,0.17,0.31,0.5,1.61,8.481026535954422,0.0,9.932893291587538,0.0,11.278525894369452,30.68,29.61,471.57,10.17,10.17,6,2014,12.603046594982061,628.483870967742,194.83
2014-09-30,335.7299999999999,109.10999999999999,0.17590280976508518,-0.006608371346636724,167.67000000000002,135.58999999999997,185.98999999999995,16.0,200.14,130.07,620.09,143.13,1648.02,1376.61,4198.57,0.0,15.43,4.45,171.18,447.13,618.31,620.0,3580.25,171.10000000000002,-56.76999999999998,-2.090000000000032,50.400000000000006,22.737698194482636,2.77,0.17,0.49,0.5,1.02,10.396215042442586,16.470246759228797,12.191141672698558,18.394408106863196,13.741958281239718,31.65,30.58,528.11,9.63,9.63,9,2014,-4.099078341013808,620.2857142857143,303.94
2014-12-31,335.1400000000001,100.29000000000002,0.16126586349355568,0.0012916974424036648,157.76999999999998,125.30000000000001,180.64,15.0,209.84000000000003,117.49000000000001,556.29,140.78,1820.23,1382.56,4354.11,0.0,16.17,4.0,233.89,439.68,673.57,620.0,3680.54,205.03999999999996,-267.24,-1.589999999999975,55.34,23.256626782331235,2.53,0.18,0.65,0.5,0.77,9.209521312124286,11.968408084506347,10.896610345595331,10.946230611285655,12.305825891200557,31.47,30.42,573.96,7.78,7.78,12,2014,0.8032967032966667,621.8923076923077,404.23
2015-03-31,379.05,129.96,0.21,0.6,188.95,163.8,218.8,13.8,215.25,152.35,400.7,161.09,2037.26,1354.49,4527.52,0.0,27.04,3.61,286.81,430.21,717.02,620.0,3810.5,212.25,-360.57,-7.27,55.0,16.4275,2.25,0.19,0.21,0.6,2.86,11.48,14.64,13.64,13.84,15.44,35.41,34.29,1260.0,7.1,7.1,3,2015,371.31428571428575,618.8571428571429,129.96
2015-06-30,305.23999999999995,89.97,0.1431796480698404,0.009084708770972564,138.41000000000003,115.15999999999997,170.72999999999996,14.4,190.07999999999998,101.03,60.92,130.16,1676.12,1322.68,4101.29,0.0,16.29,3.15,151.24,421.58,572.82,620.0,3528.48,51.85000000000002,-18.590000000000032,-373.04,55.56999999999999,25.141492164054686,2.53,0.16,0.35,0.6,1.71,8.770776156049653,11.17619424362297,10.194390942572637,10.276207884326832,11.552552175692265,33.39,32.14,1162.33,11.08,11.08,6,2015,5.7085714285714175,628.3714285714286,219.93
2015-09-30,363.22,115.44999999999999,0.18588764983004352,-0.007049743148496923,169.8,147.76000000000005,204.13,15.6,215.45999999999998,133.24,69.75,144.01,1864.92,1299.48,4245.52,0.0,20.94,4.01,203.32,398.28,601.6,620.0,3643.93,188.06,-177.89999999999992,-1.339999999999975,56.370000000000005,20.981221741013425,2.65,0.17,0.54,0.6,1.11,10.877869878943287,13.920919553938814,12.66789909952889,12.77805474387262,14.540545053372295,33.29,32.02,1122.95,9.17,9.17,9,2015,-4.378412698412774,621.074074074074,335.38
2015-12-31,362.29999999999995,109.20999999999998,0.17686227760408463,-0.0034863582176836985,161.31,139.69999999999993,196.18000000000006,15.8,222.60000000000002,121.86000000000001,54.61,110.6,2039.08,1282.63,4446.69,0.0,37.06,3.46,283.57,409.99,693.56,620.0,3753.13,262.84999999999997,-276.49,-1.5,56.47999999999999,22.32923862283674,2.61,0.18,0.72,0.6,0.83,9.825682089115814,12.64565284869205,11.64343327560224,11.751515778582514,13.372753323286622,32.89,31.54,976.59,7.19,7.19,12,2015,-2.1527777777777715,617.4861111111111,444.59
