,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2002-09-30,112.93000000000004,-18.68,-1.4354701718907987,0.0,32.42999999999999,-12.83,-1.1400000000000006,0.94,0.0,125.74999999999997,-5.67,5.98,10.16,129.48,162.73,493.63,698.5,41.91,173.74,43.42,279.77,402.51,682.28,130.0,15.9,-2.5,-10.579999999999998,7.259999999999998,11.689999999999998,-0.16412740899357603,7.67,42.91,-1.52,-10.690475227502528,-1.2088169868554095,-469.92760364004045,-250.18734074823055,-2.0398786653185037,-5.8,-5.73,0.58,0.12,9,2002,0.0,13.013157894736842,-19.78
2002-12-31,135.44,-5.079999999999998,-0.390297666934835,0.0,37.18000000000001,0.51,13.57,0.94,0.0,134.94,-1.5099999999999998,24.32,5.89,128.82,170.85,490.02,707.4,29.14,208.61,55.61,308.88,387.39,696.27,130.0,10.82,41.949999999999996,-8.189999999999998,-26.53,13.060000000000002,-0.5994783464566931,11.28,64.35,-1.91,-2.868994368463394,-0.20434432823813348,-187.8006114239742,-87.39398230088493,-0.3596460176991149,-5.23,-5.17,0.55,0.14,12,2002,0.0,13.015706806282722,-24.86
2003-03-31,119.41,-4.12,-0.32,0.0,36.19,0.86,12.11,0.94,0.0,118.55,-1.45,5.19,5.74,121.03,142.1,485.46,674.6,46.44,164.39,51.6,279.93,387.67,667.6,130.0,6.7,-28.5,-6.72,-1.73,11.25,-0.7325,18.21,99.64,-0.32,-2.44,0.48,-245.96,-82.04,0.88,-3.52,-3.45,0.51,0.08,3,2003,0.0,12.875,-4.12
2003-06-30,115.52000000000001,-2.5700000000000003,-0.19591928251121077,0.0,18.85,2.35,13.52,1.65,0.0,113.17,-1.28,5.36,4.52,119.44,141.22,482.52,671.01,53.36,161.38,52.96,286.36,380.22,666.58,130.0,4.13,2.2699999999999996,-8.990000000000002,-3.0500000000000003,11.170000000000002,-2.1085214007782103,52.05,161.4,-0.51,-1.5366218236173392,0.7068460388639761,-248.91736920777282,-53.10565022421525,1.2753961136023917,-2.94,-2.85,0.49,0.08,6,2003,0.0,13.11764705882353,-6.69
2003-09-30,129.86,3.4400000000000004,0.26461538461538464,0.0,26.779999999999994,7.840000000000001,19.710000000000004,2.06,0.0,122.02000000000001,-2.23,4.61,4.64,124.52,143.22,476.33,667.19,42.64,156.49,53.13,270.27,389.04,659.31,130.0,7.58,16.58,-5.629999999999999,8.93,11.869999999999997,1.9414970930232558,35.26,86.98,-0.25,2.0745846153846155,-6.858830769230771,181.5473230769231,117.19286153846154,-11.770092307692307,-0.94,-0.89,0.53,0.07,9,2003,0.0,13.0,-3.25
2003-12-31,148.3,-38.47,-2.9599400767018214,0.0,30.14,-34.61,-22.67,0.71,0.0,182.89999999999998,-38.269999999999996,9.85,4.04,42.41,63.41,416.6,542.44,38.62,73.19,22.04,151.72,421.33,573.05,130.0,-30.9,14.23,-4.210000000000001,1.63,11.939999999999998,-0.059646477774889524,-2.99,-18.55,-3.21,-28.36378715244487,-13.905263662511985,498.00761265580064,1532.6772579098756,-22.241045062320232,-8.48,-8.13,0.42,0.14,12,2003,0.0,12.996884735202492,-41.72
2004-03-31,121.14,-5.97,-0.46,0.0,25.69,-2.18,9.58,0.65,0.0,123.32,-3.89,4.36,3.68,42.14,57.52,408.47,528.53,59.34,57.25,22.09,157.33,407.78,565.11,130.0,-36.87,-17.2,-3.69,15.4,11.76,-0.35250000000000004,-2.29,-15.33,-0.46,-4.52,-1.44,64.76,158.32,-2.36,-5.0,-4.93,0.37,0.1,3,2004,0.0,12.978260869565217,-5.97
2004-06-30,117.02999999999999,-15.040000000000003,-1.1596763445978107,0.0,25.419999999999998,-11.040000000000001,0.7200000000000006,0.4,0.0,128.07,-5.139999999999999,6.45,3.46,39.94,57.72,400.94,520.82,61.49,62.27,24.58,167.36,405.08,572.44,130.0,-51.9,7.649999999999999,-2.6700000000000004,-2.8900000000000006,11.76,-0.08730884308510638,-1.01,-11.03,-1.62,-11.539495478343648,-6.356744407425037,115.91036649214661,251.86452165635413,-10.70910994764398,-8.89,-8.82,0.34,0.11,6,2004,0.0,12.969135802469136,-21.01
2004-09-30,112.99000000000004,-10.91,-0.8408082706766917,0.0,25.489999999999995,-6.679999999999998,4.9399999999999995,0.52,0.0,119.67000000000002,-4.92,4.7,4.04,42.73,58.18,404.04,523.74,68.59,78.41,26.87,192.32,393.96,586.28,130.0,-62.82,10.4,-14.150000000000002,2.01,11.620000000000001,-0.15360219981668194,-1.08,-9.33,-2.46,-8.326052631578946,-4.566340852130326,69.46580200501253,158.00359649122805,-8.203007518796992,-8.95,-9.09,0.3,0.08,9,2004,0.0,12.975609756097562,-31.92
2004-12-31,147.73999999999995,5.870000000000001,0.45067178502879085,0.0,30.310000000000002,10.249999999999998,22.0,0.52,0.0,137.5,-1.5,10.04,5.17,46.09,66.06,400.07,526.63,54.48,104.82,28.25,206.85,376.45,583.3,130.0,-56.95,34.19,-4.009999999999998,-24.67,11.75,0.28845826235093697,-1.19,-10.24,-2.0,4.46165067178503,1.631431861804223,-41.227454894433784,-53.458687140115174,2.7220575815738965,-5.29,-5.22,0.32,0.1,12,2004,0.0,13.025,-26.05
2005-03-31,124.8,-6.98,-0.54,0.0,28.51,-2.33,9.39,0.48,0.0,127.13,-2.78,3.62,5.14,54.84,69.23,391.79,521.29,77.45,93.92,30.94,224.4,360.53,584.94,130.0,-63.93,-19.52,-2.85,15.95,11.72,-0.2225,-0.98,-9.15,-0.54,-5.36,-1.76,43.68,55.4,-3.12,-5.62,-5.59,0.31,0.06,3,2005,0.0,12.925925925925926,-6.98
2005-06-30,128.04000000000002,-15.98,-1.2319076655052266,0.0,28.26,-10.75,1.1399999999999988,0.38,0.0,138.8,-3.2600000000000002,5.32,5.85,49.14,67.35,384.97,512.59,79.46,94.21,32.94,225.39,366.82,592.22,130.0,-79.92,5.639999999999999,-3.48,-0.4599999999999991,11.889999999999999,-0.07902377972465582,-0.62,-7.41,-1.77,-12.47219512195122,-7.043449477351915,79.98351916376306,96.99358885017422,-12.667073170731706,-9.19,-9.08,0.3,0.08,6,2005,0.0,12.971751412429379,-22.96
2005-09-30,144.18999999999997,-1.879999999999999,-0.1445571658615136,0.0,30.71999999999999,3.540000000000001,15.49,0.21,0.0,140.64,-1.63,9.23,7.88,45.9,69.09,374.66,504.21,73.91,100.52,30.07,220.72,364.98,585.71,130.0,-81.79,9.98,1.9500000000000002,-8.030000000000001,11.950000000000003,-0.36335106382978744,-0.34,-7.16,-1.91,-1.4924959742351038,-0.5630917874396132,9.194138486312395,10.399033816425117,-1.020225442834138,-6.37,-6.26,0.31,0.11,9,2005,0.0,13.005235602094242,-24.84
2005-12-31,177.85000000000002,11.2,0.8621700879765395,0.0,32.14,17.0,28.930000000000003,0.2,0.0,160.83999999999997,-3.67,16.44,8.33,47.5,77.24,365.2,521.15,59.93,121.87,36.83,236.58,354.87,591.45,130.0,-70.59,31.13,-1.9100000000000001,-22.0,11.93,0.057848214285714294,-0.36,-8.38,-1.05,8.605278592375365,-4.663929618768328,-63.455718475073304,-70.25454545454545,-8.605278592375365,-2.49,-2.37,0.33,0.13,12,2005,0.0,12.99047619047619,-13.64
2006-03-31,151.23,1.14,0.09,0.0,31.3,6.93,18.19,0.36,0.0,144.29,-3.98,7.41,6.89,47.95,68.87,356.12,483.25,57.28,83.62,41.92,210.2,342.25,552.45,130.0,-69.46,-24.82,18.42,-3.02,11.26,0.9925000000000002,-0.67,-7.95,0.09,0.96,5.52,-6.56,-6.84,10.16,0.81,0.75,0.33,0.1,3,2006,0.0,12.666666666666666,1.14
2006-06-30,160.43000000000004,-9.47,-0.7275870348139256,0.0,30.66,-3.6999999999999997,-0.3500000000000014,0.45,0.0,164.14000000000001,-14.39,43.96,8.9,43.46,132.1,347.67,535.72,196.51,134.76,17.37,376.6,237.84,614.44,130.0,-78.92,6.710000000000001,8.09,21.74,3.3499999999999996,-0.15393347412882785,-0.74,-7.79,-0.64,-7.048499399759905,2.8193997599039617,47.975270108043226,47.702424969987995,9.23126050420168,-2.88,-2.67,0.35,0.24,6,2006,0.0,13.015625,-8.33
2006-09-30,231.21999999999997,78.89999999999999,0.4807566954796656,0.0,37.35,-18.09,-14.82,1.58,0.0,249.31,-20.26,10.07,0.96,0.0,29.09,11.91,243.01,0.0,0.0,0.0,5.31,5.8,11.11,300.0,231.9,-64.55,-117.33,227.52,3.2699999999999996,0.818397338403042,2.04,0.05,0.43,129.8713901091115,-17.799178121014595,136.08768598554627,420.4720419441689,-27.950970667422418,13.67,13.0,5.48,5.48,9,2006,0.0,164.11627906976742,70.57
