,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2012-06-30,,,,,,,,,0.0,,,408.61,699.98,1208.82,227.77,1550.43,0.0,473.56,0.0,986.5,16.53,1003.04,274.0,547.39,,,,,,0.0,1.83,0.8,0.0,0.0,,,,,,24.59,24.46,1.23,1.23,6,2012,,199.86249999999998,159.89
2012-09-30,737.7900000000001,253.10000000000002,1.078612072931548,0.0,424.47,333.66999999999996,360.05999999999995,,0.0,404.12000000000006,330.58000000000004,291.12,726.08,1124.86,272.43,1503.89,0.0,136.8,0.0,686.52,17.23,703.76,274.0,800.14,-47.81,-69.62,0.0,26.39,0.0,0.0,0.88,1.76,0.0,0.0,67.31519891522798,0.0,126.5162933727209,0.0,164.04709072858907,29.82,29.68,1.64,1.64,9,2012,0.0,234.6534090909091,412.99
2012-12-31,775.1600000000001,270.65,1.0570409864841144,1.2,439.04999999999995,347.76,375.87,92.5,0.03,427.3899999999999,389.70000000000005,971.03,733.25,1762.41,353.16,2226.62,0.0,101.83,0.0,615.56,17.93,633.49,300.0,1593.13,270.48,-112.83999999999999,522.26,28.11,21.87445926473305,17.42,0.4,2.67,1.2,0.45,48.61596746825815,0.0,67.95150371540575,0.0,87.95214440348721,31.85,31.55,2.86,2.86,12,2012,307.25393258426965,256.0449438202247,683.64
2013-03-31,2871.84,907.99,3.4,1.2,1548.46,1188.98,1288.7,131.5,0.45,1682.86,1236.66,1253.82,669.27,1995.06,473.44,2573.0,0.0,177.88,0.0,736.85,21.55,758.4,300.0,1814.6,564.65,-308.18,616.26,99.72,9.67,21.74,0.42,3.4,1.2,0.35,141.16,0.0,200.16,0.0,259.0,32.0,31.62,2.71,2.71,3,2013,320.4670588235294,267.0558823529412,907.99
2013-06-30,-2010.42,-600.1700000000001,-1.8132613215515565,0.43179012180533294,-1066.8600000000001,-804.1500000000001,-882.04,119.0,0.0,-1206.27,-863.5900000000001,1171.58,904.34,2112.94,569.55,2993.23,0.0,181.67,0.0,841.46,22.63,864.09,300.0,2129.14,-354.05999999999995,15.090000000000032,-616.26,-77.89,-16.407287601846143,16.77,0.41,0.93,1.4,1.51,-80.17344681956988,-132.1146098369177,-112.77315574036777,-179.3763887986486,-139.4456448573842,36.25,35.73,2.51,2.51,6,2013,142.91788741302963,330.9892473118279,307.82
2013-09-30,860.2800000000001,327.8,0.09798621818067399,1.261484629519294,508.9599999999999,409.32,426.87999999999994,11.8,0.0,450.96,404.07,652.92,900.82,2072.5,735.26,2948.1,0.0,233.04,0.0,887.38,23.71,911.1,330.0,2037.0,364.73,-463.43,-420.0,17.560000000000002,30.108570927394755,19.12,0.45,0.19,1.4,7.37,44.47542871527013,73.60312136181996,64.36147383656902,92.43710393002108,79.50292313017212,37.34,36.92,2.34,2.34,9,2013,4220.130843237125,3345.3684210526317,635.62
2013-12-31,816.7299999999998,317.28,0.09322950991709518,0.20379638886280663,490.57000000000016,395.67999999999995,416.44000000000005,9.8,0.0,421.04999999999995,386.2199999999999,326.19,780.89,1626.42,918.36,2666.42,0.0,232.85,0.0,881.1,24.79,905.89,343.2,1760.53,435.06999999999994,-167.94000000000005,-593.94,20.759999999999998,26.279232854261224,19.1,0.51,0.28,1.58,5.64,47.60032406338545,64.76787238954769,72.09304816874803,75.68904355126456,88.76781194249133,38.0,37.54,1.85,1.85,12,2013,693.5627819548872,3403.2142857142853,952.9
2014-03-31,3195.64,1145.73,0.33,1.5800000000000003,1807.11,1419.3,1509.69,11.4,0.0,1776.34,1381.25,503.46,606.99,1630.16,922.69,2740.85,0.0,150.76,0.0,761.71,25.87,787.58,343.2,1953.27,1341.69,-1078.44,-1013.94,90.39,8.6375,20.03,0.4,0.33,1.58,4.79,167.2,213.68,234.64,243.28,286.84,36.38,35.85,2.14,2.14,3,2014,5485.616363636364,3471.909090909091,1145.73
2014-06-30,-2415.84,-888.45,-0.2417269123134329,-1.4925106710764366,-1386.37,-1097.3799999999999,-1154.08,12.9,0.0,-1318.46,-1065.73,151.25,718.62,1396.55,887.26,3170.84,200.0,110.77,0.0,931.11,29.05,960.16,343.2,2210.68,-1204.97,389.5200000000001,1213.94,-56.7,-13.341811919635319,20.03,0.43,0.07,0.0,0.0,-112.02315764925373,-144.34549906716418,-160.78292910447763,-163.82178171641792,-198.49232742537313,33.76,32.99,1.5,1.5,6,2014,-5485.616363636364,3675.4285714285706,257.28
2014-09-30,807.79,264.4200000000001,0.0760264519838988,0.13,434.16999999999996,331.34,369.93999999999994,13.9,0.0,476.45000000000005,319.74,212.12,740.35,1318.55,1168.94,3366.53,220.0,458.44,0.0,1307.05,30.11,1337.15,343.2,2029.38,297.1,189.50999999999993,-425.75,38.60000000000001,45.7094196732471,23.51,0.66,0.15,0.13,0.87,31.424266820011507,41.94632777458311,52.123735480161024,52.02236687751583,64.30824151811387,33.5,32.86,1.01,1.01,9,2014,452.1400000000001,3478.0000000000005,521.7
2014-12-31,861.51,300.8399999999999,0.08777883142461154,-0.001925012765336664,421.93999999999994,375.1200000000001,420.3700000000001,11.8,0.0,486.39,302.98,197.51,730.24,1270.43,1207.49,3362.07,240.0,158.11,0.0,1002.86,28.95,1031.82,343.2,2330.26,243.83999999999997,-278.48999999999995,20.0,45.25,33.609469984044686,17.38,0.44,0.24,0.13,0.54,35.799133416004075,49.9168954701291,51.64321248814646,58.82644685972718,63.7713210299803,35.05,33.59,1.27,1.27,12,2014,-6.597500000000082,3427.25,822.54
2015-03-31,3077.93,837.58,0.12,0.28,1638.14,1065.12,1225.42,5.45,0.0,2012.81,1221.11,187.04,519.1,1042.46,1262.44,3286.45,530.0,150.52,0.0,1433.31,24.09,1457.4,686.4,1829.05,1069.55,-954.02,-431.95,160.3,11.355,20.45,0.8,0.12,0.28,2.34,101.96,141.36,183.16,177.16,229.92,28.27,27.21,0.73,0.73,3,2015,1954.3533333333337,6979.833333333334,837.58
