,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2010-03-31,128.68,2.64,0.02,0.04,31.44,4.1,6.11,1.02,0.0,124.58,5.42,20.66,93.87,104.77,225.43,26.32,280.66,62.6,70.69,0.15,161.33,0.0,161.33,75.0,119.33,-21.98,-3.26,18.43,2.01,12.75,1.28,1.35,0.02,0.04,1.9,3.76,6.48,8.84,9.04,13.76,2.07,2.05,0.0,1.4,0.75,3,2010,5.28,132.0,2.64
2010-06-30,105.15,-5.970000000000001,-0.03585585585585586,0.008288288288288287,18.41,-5.85,-3.6100000000000003,0.99,0.0,111.00000000000001,-4.21,3.91,63.54,117.75,192.74,26.2,249.22,61.39,63.4,0.06,135.85,0.0,135.85,75.0,113.37,-5.449999999999999,-4.140000000000001,-7.140000000000001,2.24,-6.902638190954773,1.31,1.2,-0.02,0.04,-1.9,-9.609369369369372,-5.45009009009009,-21.083243243243246,-20.86810810810811,-11.043603603603605,-1.44,-1.42,0.0,1.42,0.55,6,2010,1.38,166.5,-3.33
2010-09-30,91.56999999999996,-8.33,-0.057152658662092626,-0.005694682675814752,17.109999999999992,-7.25,-5.029999999999999,0.84,0.0,98.81999999999996,-7.31,9.32,59.37,112.05,184.85,25.54,242.82,52.56,69.75,0.0,137.83,0.0,137.83,75.0,104.98,16.33,-2.5299999999999994,-8.389999999999999,2.2199999999999998,-3.67436974789916,1.2,1.31,-0.08,0.04,-0.48,-13.716638078902228,-11.401955403087479,-31.74830188679245,-30.148027444253863,-24.48991423670669,-3.64,-3.58,0.0,1.34,0.53,9,2010,-0.8300000000000001,145.75,-11.66
2010-12-31,106.65000000000003,-3.2200000000000006,-0.021639784946236564,0.0008198924731182847,27.05000000000001,-2.6999999999999993,-0.3600000000000003,0.79,0.0,109.35000000000002,-1.0100000000000007,10.55,55.54,92.44,162.63,23.6,218.25,42.36,56.97,0.0,116.43,0.0,116.43,75.0,101.82,11.959999999999999,-0.10999999999999943,-10.62,2.3400000000000007,-9.12670807453416,1.16,1.14,-0.1,0.04,-0.38,-5.903333333333334,-4.492419354838711,-12.646290322580647,-11.486397849462367,-9.945645161290324,-3.5,-3.44,0.0,1.4,0.6,12,2010,0.12200000000000077,148.8,-14.88
2011-03-31,83.05,-4.35,-0.03,0.0,21.88,-3.5,-1.19,0.66,0.0,86.55,-2.77,5.69,54.75,86.83,151.87,22.2,207.59,32.02,57.23,0.0,109.95,1.57,111.53,75.0,96.06,6.29,-0.81,-10.34,2.31,-5.5,1.03,1.16,-0.03,0.0,0.0,-8.4,-5.72,-18.12,-16.16,-14.32,-5.36,-5.24,0.0,1.38,0.59,3,2011,0.0,145.0,-4.35
2011-06-30,91.95,-0.040000000000000036,-0.00027334851936218707,0.0,23.2,0.9199999999999999,3.19,0.69,0.0,91.03000000000002,3.4699999999999998,2.9,63.57,88.32,160.33,19.57,211.94,35.21,57.99,0.0,114.27,1.74,116.01,75.0,95.93,-6.79,1.0,3.0,2.27,-631.0624999999994,1.08,1.21,-0.03,0.0,0.0,-0.07544419134396362,-0.0408200455580866,-0.16692482915717555,-0.15271070615034185,-0.09621867881548984,-2.54,-2.51,0.0,1.4,0.63,6,2011,0.0,146.33333333333331,-4.39
2011-09-30,113.0,4.81,0.0,,33.730000000000004,6.58,8.84,0.7,0.0,106.41999999999999,7.21,10.13,83.2,76.76,173.99,17.84,223.78,31.88,64.95,0.0,121.54,1.9,123.44,75.0,100.34,11.04,-0.46,-3.3499999999999996,2.26,0.0,1.05,1.23,0.0,0.0,0.0,8.703809523809523,78.3342857142857,19.24,18.78190476190476,179.11523809523808,0.15,0.15,0.0,1.43,0.8,9,2011,,inf,0.42
2011-12-31,92.94,-5.91,-0.04306010928961749,,23.049999999999997,-5.39,-3.24,0.81,0.0,98.32999999999998,-0.7300000000000004,14.31,51.18,78.98,149.15,16.13,199.49,34.31,50.17,0.0,103.26,2.06,105.31,75.0,94.18,4.670000000000002,-3.02,2.5299999999999994,2.1500000000000004,-4.702728426395939,1.29,1.12,-0.04,0.0,0.0,-11.841530054644808,-2.8850273224043717,-25.104043715846995,-24.11366120218579,-6.200655737704917,-1.45,-1.44,0.0,1.44,0.68,12,2011,,137.25,-5.49
2012-03-31,104.53,3.39,0.02,0.0,26.79,5.31,7.22,0.92,0.0,99.22,7.08,8.45,71.81,73.61,156.76,15.28,203.64,30.13,67.35,0.0,103.46,2.22,105.68,75.0,97.96,-0.08,-1.0,-4.78,1.91,11.5,1.41,1.08,0.02,0.0,0.0,6.64,10.32,13.84,13.96,21.2,3.3,3.24,8.85,1.52,0.8,3,2012,0.0,169.5,3.39
2012-06-30,99.19,0.6999999999999997,0.005134474327628359,0.0,30.490000000000002,1.9100000000000001,3.71,0.91,0.0,97.28,1.8100000000000005,8.53,70.1,75.71,156.57,12.77,201.23,35.51,58.53,0.11,100.52,2.4,102.92,75.0,98.31,-3.29,-1.23,4.6000000000000005,1.8,44.3034642857143,1.39,1.05,0.03,0.0,0.0,1.3897310513447427,2.3892420537897303,2.847921760391197,2.8821515892420533,4.908557457212712,2.07,2.01,5.51,1.56,0.8,6,2012,0.0,136.33333333333334,4.09
