,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,total_asset,total_liability,cash_flow_operation,cash_flow_financing,DPS,month,year,EPS,cash_flow_investment,depreciation,dividend,P/E,ROA%,ROAA%,ROE%,ROAE%,ROCE%,number_of_shares,return_old
2013-12-31,,,,,,,,9.35,,,927.71,20.47,10731.29,864.53,,,0.0,12,2013,,,,,,,,,,,,
2014-03-31,321.18,,,,,,,9.55,147.47,-0.48,552.93,20.51,10370.98,330.51,-374.78,0.0,0.0,3,2014,,,,,,,,,,,,
2014-06-30,330.07,,,,,,,9.75,148.34,-0.31000000000000005,577.94,0.0,10355.77,368.84,260.27,-235.27,0.23,6,2014,,,,,,,,,,,,
2014-09-30,329.44000000000005,,,,,,,9.5,137.62,-3.26,106.2,0.0,10371.96,382.2,-280.26,-191.47,0.42,9,2014,,,,,,,,,,,,
2014-12-31,335.76,,,,,,,9.4,155.95999999999998,-3.38,158.4,0.0,10355.03,386.48,253.23,-201.03999999999996,0.62,12,2014,,,,,,,,,,,,
2015-03-31,336.38,,,,,,,9.3,140.43,-1.16,407.51,0.0,10354.9,374.16,432.84,-183.73,0.19,3,2015,,,,,,,,,,,,
2015-06-30,343.78999999999996,,,,,,,10.0,146.20999999999998,-1.3499999999999999,578.14,0.0,10403.3,424.74,370.41,-199.78,0.39,6,2015,,,,,,,,,,,,
2015-09-30,344.7600000000001,,,,,,,10.2,146.14,-1.4600000000000004,140.11,0.0,10355.46,400.32,-236.60000000000002,-201.43000000000006,0.59,9,2015,,,,,,,,,,,,
2015-12-31,341.3899999999999,,,,,,,10.5,148.91000000000008,-3.2099999999999995,145.36,0.0,10377.17,411.25,187.04000000000008,-181.78999999999996,0.78,12,2015,,,,,,,,,,,,
2016-03-31,340.1,,,,,,,14.0,142.18,-1.66,107.95,0.0,10374.66,407.05,158.89,-196.3,0.2,3,2016,,,,,,,,,,,,
2016-06-30,345.89,,,,,,,14.0,145.05,-0.9000000000000001,185.53,0.0,10392.55,425.84,279.3,-201.71999999999997,0.4,6,2016,,,,,,,,,,,,
2016-09-30,352.29999999999995,,,,,,,15.3,155.19,-1.7600000000000002,175.26,0.0,10332.96,409.41,194.33999999999997,-204.61,0.61,9,2016,,,,,,,,,,,,
2016-12-31,345.47,,,,,,,15.0,136.93,-2.3,178.01,0.0,10381.89,415.02,168.01999999999998,-165.26,0.78,12,2016,,,,,,,,,,,,
2017-03-31,352.77,,,,,,,14.2,151.82,-1.14,176.72,0.0,10381.18,425.53,210.87,-212.16,0.22,3,2017,,,,,,,,,,,,
2017-06-30,357.13,,,,,,,12.1,137.14,-3.9000000000000004,227.47,0.0,10434.64,440.8,232.55,-181.79999999999998,0.4,6,2017,,,,,,,,,,,,
2017-09-30,350.30000000000007,,,,,,,13.0,137.07,-1.3399999999999999,242.62,0.0,10436.99,428.36,213.57,-198.42000000000002,0.61,9,2017,,,,,,,,,,,,
