,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,account_payable,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2014-03-31,193.99,25.13,0.12,0.0,47.99,31.79,48.21,,162.2,31.7,27.15,239.17,1.14,362.16,131.84,532.25,73.59,101.26,9.18,110.43,210.0,421.82,14.69,-24.22,0.0,16.42,0.0,0.0,0.26,0.12,0.0,0.0,18.88,0.0,23.84,0.0,29.519999999999996,13.0,12.95,3.58,3.57,3,2014,0.0,209.41666666666666,25.13
2014-06-30,190.73000000000002,22.540000000000003,0.09929515418502202,0.0,41.339999999999996,28.439999999999998,45.49999999999999,7.2,162.29000000000002,26.790000000000003,255.88,195.86,2.88,614.22,284.36,934.97,80.72,103.39,12.79,116.19,280.0,818.78,20.440000000000005,-165.25,373.52,17.059999999999995,18.130038819875775,2.46,0.14,0.21,0.0,0.0,9.645814977973568,0.0,11.007577092511015,0.0,13.693274596182087,12.47,12.39,5.94,5.91,6,2014,0.0,227.00000000000003,47.67
2014-09-30,211.29999999999995,20.569999999999993,0.0844021101992966,0.11,40.05999999999999,26.550000000000004,57.42999999999999,7.15,184.75,23.35,190.32,240.37,5.26,616.05,260.4,911.42,68.0,89.76,13.11,102.87,280.0,808.55,-26.090000000000003,-8.710000000000008,-30.75,30.880000000000003,21.18193485658727,2.48,0.13,0.28,0.11,0.39,9.031025791324735,0.0,10.176483001172329,0.0,12.732661195779599,11.57,11.45,6.86,6.8,9,2014,26.808571428571423,243.71428571428567,68.24
2014-12-31,194.40999999999997,-2.25,-0.008864979542354903,0.004374472322646312,5.350000000000023,-1.3599999999999994,29.24000000000001,6.05,195.77999999999997,-12.430000000000007,243.8,209.67,18.05,636.38,236.01,903.95,64.68,84.15,13.42,97.57,280.0,806.38,54.970000000000006,-1.4399999999999977,-0.03999999999996362,30.599999999999994,-170.6208111111111,2.1,0.12,0.26,0.11,0.42,-0.9956053947567813,-0.0,-1.1156235793302016,-0.0,-1.4211244127898168,8.53,8.35,7.56,7.35,12,2014,1.1102747252747314,253.8076923076923,65.99
2015-03-31,219.1,16.3,0.06,0.05,37.5,21.79,51.33,5.6,197.3,21.02,205.01,290.01,17.85,677.04,211.22,918.58,57.03,82.3,13.67,95.97,280.0,822.61,-38.87,0.08,0.0,29.54,23.3325,1.91,0.12,0.06,0.05,0.83,7.08,12.0,7.92,10.48,10.44,7.49,7.44,8.23,8.01,3,2015,13.583333333333336,271.6666666666667,16.3
2015-06-30,232.94000000000003,18.56,0.06388984509466437,0.0032415375788869697,37.5,21.93,51.43000000000001,6.9,211.01999999999998,20.8,191.66,313.22,16.86,714.43,186.73,931.55,59.97,90.16,14.03,104.19,280.0,827.35,3.75,-3.08,-13.99,29.5,26.999595905172416,2.34,0.13,0.12,0.05,0.42,7.964934021801492,9.96681583476764,8.965874928284565,9.029764773379231,11.074239816408491,7.76,7.71,7.92,7.74,6,2015,0.9416666666666647,290.5,34.86
2015-09-30,228.90000000000003,15.380000000000003,0.05510350318471338,0.06795979299363059,34.540000000000006,18.020000000000003,47.760000000000005,5.65,210.88000000000005,18.32,221.47,396.29,12.68,734.08,165.8,930.13,61.34,92.3,14.4,106.7,280.0,823.44,53.519999999999996,-4.04,-19.549999999999997,29.740000000000002,25.634486345903767,1.92,0.13,0.18,0.12,0.67,6.612420382165606,8.216544585987261,7.469585987261147,7.543057324840766,9.02472929936306,7.42,7.38,7.95,7.82,9,2015,18.96833333333334,279.11111111111114,50.24
2015-12-31,315.3599999999999,15.990000000000002,0.05794353012230107,-0.0013709799184659665,31.769999999999996,18.919999999999995,48.44999999999999,4.9,296.43999999999994,14.739999999999995,263.4,329.71,16.8,811.11,176.06,1018.56,135.16,164.18,15.52,179.71,280.0,838.85,69.07,-27.22,0.0,29.53,21.144724828017512,1.64,0.21,0.24,0.12,0.5,6.277215763249283,8.102436962101768,7.629231466102975,7.774090291408728,9.116448739242037,6.7,6.65,4.94,4.84,12,2015,-0.3783333333333374,275.95833333333337,66.23
2016-03-31,210.38,17.56,0.060000000000000005,0.09,32.71,22.14,46.71,4.66,188.24,18.05,276.2,281.96,17.66,773.84,156.56,962.46,64.18,90.07,16.01,106.08,280.0,856.37,8.46,4.24,0.0,24.57,19.4175,1.52,0.12,0.06,0.09,1.5,7.28,9.4,8.2,8.36,10.16,8.52,8.35,8.59,8.4,3,2016,26.339999999999996,292.66666666666663,17.56
2016-06-30,243.67000000000002,20.250000000000004,0.07498016397778368,-0.007529754033324514,40.279999999999994,25.189999999999998,46.63999999999999,5.65,218.48000000000002,23.59,272.95,266.07,12.35,793.26,137.71,975.07,79.17,107.14,16.5,123.64,280.0,851.43,8.119999999999997,13.78,-25.16,21.450000000000003,18.839649382716047,1.86,0.15,0.14,0.09,0.64,8.31208674953716,10.625760380851627,9.5117693731817,9.640306797143614,11.675482676540598,8.43,8.33,7.4,7.29,6,2016,-2.0335714285714275,270.07142857142856,37.81
