,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,total_asset,total_liability,cash_flow_operation,cash_flow_financing,DPS,month,year,EPS,cash_flow_investment,depreciation,dividend,P/E,ROA%,ROAA%,ROE%,ROAE%,ROCE%,number_of_shares,return_old
2005-06-30,,,,,,,,9.95,,,10.71,0.0,1833.71,56.21,,,0.0,6,2005,,,,,,,,,,,,
2005-09-30,45.62,,,,,,,9.9,10.639999999999999,-0.18,96.26,0.0,1842.08,55.86,111.79999999999995,-26.25,0.15,9,2005,,,,,,,,,,,,
2005-12-31,45.540000000000006,,,,,,,10.0,12.45,-0.9099999999999999,95.66,0.0,1988.22,56.56,34.40000000000009,-35.0,0.35,12,2005,,,,,,,,,,,,
2006-03-31,44.5,,,,,,,10.1,9.66,-0.46,92.15,0.0,1985.51,88.15,30.62,-34.12,0.4,3,2006,,,,,,,,,,,,
2006-06-30,91.63999999999999,,,,,,,9.75,17.54,-0.76,209.44,0.0,4144.0,122.52,-1897.7099999999998,2015.0,0.4,6,2006,,,,,,,,,,,,
2006-09-30,93.10000000000002,,,,,,,9.5,18.930000000000003,-1.57,330.86,0.0,4136.92,117.46,197.41999999999985,-76.0,0.6,9,2006,,,,,,,,,,,,
2006-12-31,97.67000000000002,,,,,,,9.35,21.990000000000002,-0.020000000000000018,290.7,0.0,4211.92,114.7,43.430000000000064,-83.60000000000014,0.82,12,2006,,,,,,,,,,,,
2007-03-31,96.12,,,,,,,10.0,19.66,-1.33,78.71,0.0,4208.65,118.57,-128.39,-83.6,0.22,3,2007,,,,,,,,,,,,
2007-06-30,96.69999999999999,,,,,,,10.5,21.62,-0.8300000000000001,7.58,0.0,4212.94,123.86,4.879999999999981,-76.0,0.42,6,2007,,,,,,,,,,,,
2007-09-30,94.94999999999999,,,,,,,10.8,20.29,-0.94,86.52,0.0,4222.27,200.42,154.94,-76.0,0.82,9,2007,,,,,,,,,,,,
2007-12-31,128.69,,,,,,,10.8,29.360000000000007,-1.1400000000000001,5.17,0.0,6305.6,177.15,-1975.6000000000001,1894.25,0.82,12,2007,,,,,,,,,,,,
2008-06-30,-127.34999999999997,,,,,,,10.8,-26.220000000000013,-2.33,112.0,0.0,6487.41,199.55,2276.9900000000002,-1884.65,0.4,6,2008,,,,,,,,,,,,
2008-09-30,146.76999999999998,,,,,,,10.8,30.38000000000001,-1.25,103.91,0.0,6518.81,202.88,104.92000000000002,-113.0,0.6,9,2008,,,,,,,,,,,,
2008-12-31,155.95000000000005,,,,,,,10.1,38.389999999999986,5.61,176.75,0.0,8490.94,259.57,-1730.22,1803.05,0.95,12,2008,,,,,,,,,,,,
2009-03-31,195.94,,,,,,,8.05,39.96,-1.95,108.28,0.0,8584.91,239.64,-22.86,-45.61,0.06,3,2009,,,,,,,,,,,,
2009-06-30,184.93,,,,,,,8.5,34.970000000000006,-1.03,109.36,0.0,8506.74,236.23,152.86,-151.77999999999997,0.26,6,2009,,,,,,,,,,,,
2009-09-30,178.14999999999998,,,,,,,9.7,35.50999999999999,-0.48,104.77,0.0,8451.09,235.84,147.45,-152.04000000000002,0.46,9,2009,,,,,,,,,,,,
2009-12-31,176.33000000000004,,,,,,,10.3,36.59,-1.75,96.93,0.0,8475.74,229.89,144.2,-152.04000000000002,0.66,12,2009,,,,,,,,,,,,
2010-03-31,177.8,,,,,,,10.8,36.98,-1.58,224.88,0.0,8476.74,238.71,280.0,-152.04,0.2,3,2010,,,,,,,,,,,,
2010-06-30,178.49,,,,,,,10.6,37.82,-3.2,205.7,3.56,8469.68,240.95,132.85000000000002,-152.04,0.4,6,2010,,,,,,,,,,,,
2010-09-30,192.49999999999994,,,,,,,10.9,41.769999999999996,-1.0299999999999994,342.67,5.95,8528.43,393.44,289.02,-152.04000000000002,0.8,9,2010,,,,,,,,,,,,
2010-12-31,236.33000000000004,,,,,,,11.7,58.56,-0.5100000000000007,109.6,0.0,10356.13,303.88,-1796.96,1563.88,0.8,12,2010,,,,,,,,,,,,
2011-03-31,238.28,,,,,,,11.6,48.93,-0.53,254.64,8.74,10362.76,306.02,329.93,-184.88,0.2,3,2011,,,,,,,,,,,,
2011-06-30,235.53,,,,,,,11.8,47.529999999999994,-0.6099999999999999,216.76,7.81,10435.32,312.74,147.0,-184.88,0.4,6,2011,,,,,,,,,,,,
2011-09-30,233.36999999999995,,,,,,,12.1,52.730000000000004,-0.6200000000000001,227.49,8.7,10437.52,318.79,195.59999999999997,-184.88,0.6,9,2011,,,,,,,,,,,,
2011-12-31,134.24,,,,,,,10.5,45.150000000000006,-4.71,168.15,0.0,10176.69,349.35,125.55000000000007,-184.88,0.8,12,2011,,,,,,,,,,,,
2012-03-31,160.08,,,,,,,10.4,61.26,-2.07,166.82,0.0,10915.76,384.65,-606.95,605.62,0.17,3,2012,,,,,,,,,,,,
2012-06-30,230.56999999999996,,,,,,,10.5,61.39000000000001,-3.64,542.96,0.0,11134.36,388.26,376.14000000000004,0.0,0.17,6,2012,,,,,,,,,,,,
2012-09-30,229.22000000000003,,,,,,,10.7,57.31,-11.36,45.84,0.0,11126.57,356.14,-337.31,-159.81,0.33,9,2012,,,,,,,,,,,,
2012-12-31,284.41999999999996,,,,,,,11.4,63.47999999999999,-9.45,206.46,53.48,12532.67,393.16,-1094.8000000000002,1255.42,0.65,12,2012,,,,,,,,,,,,
2013-03-31,275.7,,,,,,,12.8,46.27,0.76,113.2,0.0,12756.98,382.46,-93.26,0.0,0.0,3,2013,,,,,,,,,,,,
2013-06-30,254.62000000000006,,,,,,,12.1,43.18,-1.18,317.5,0.0,12801.9,389.07,445.71,-241.4,0.21,6,2013,,,,,,,,,,,,
