,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,total_asset,total_liability,cash_flow_operation,cash_flow_financing,DPS,month,year,EPS,cash_flow_investment,depreciation,dividend,P/E,ROA%,ROAA%,ROE%,ROAE%,ROCE%,number_of_shares,return_old
2013-09-30,,,,,,,,10.2,,,19.06,1.74,4353.13,133.42,,,0.0,9,2013,,,,,,,,,,,,
2013-12-31,97.69000000000001,,,,,,,9.65,27.110000000000003,-7.109999999999999,103.54,3.59,4372.25,144.18,161.34999999999945,-76.86999999999989,0.2,12,2013,,,,,,,,,,,,
2014-03-31,102.91,,,,,,,9.35,23.21,-2.36,51.24,3.6,4380.13,143.44,17.39,-69.69,0.18,3,2014,,,,,,,,,,,,
2014-06-30,101.80000000000001,,,,,,,9.9,23.25,-1.9,93.48,2.98,4360.84,137.2,120.30999999999999,-78.08000000000001,0.38,6,2014,,,,,,,,,,,,
2014-09-30,102.83000000000001,,,,,,,9.9,23.190000000000005,-1.79,37.31,1.46,4352.18,139.68,19.04000000000002,-75.19,0.57,9,2014,,,,,,,,,,,,
2014-12-31,100.63999999999999,,,,,,,9.7,27.97999999999999,-6.920000000000001,32.46,0.26,4350.05,146.82,70.32999999999998,-75.20000000000002,0.76,12,2014,,,,,,,,,,,,
2015-03-31,101.2,,,,,,,9.6,23.28,-2.22,64.89,0.28,4377.37,149.23,101.66,-69.22,0.18,3,2015,,,,,,,,,,,,
2015-06-30,102.10000000000001,,,,,,,10.0,23.07,-1.27,38.3,0.13,4393.32,148.26,48.68000000000001,-75.28,0.37,6,2015,,,,,,,,,,,,
2015-09-30,102.90999999999997,,,,,,,10.4,24.270000000000003,-1.58,19.26,0.58,4407.22,146.61,57.00999999999999,-76.03999999999999,0.57,9,2015,,,,,,,,,,,,
2015-12-31,103.22000000000003,,,,,,,10.3,27.97,-6.83,48.55,0.53,4404.53,148.69,106.42999999999998,-77.15,0.76,12,2015,,,,,,,,,,,,
2016-03-31,99.55,,,,,,,11.4,21.84,-1.12,80.63,0.7,4425.74,144.89,115.93,-83.85,0.22,3,2016,,,,,,,,,,,,
2016-06-30,97.36999999999999,,,,,,,12.2,22.23,-1.1399999999999997,19.98,1.94,4442.17,145.49,16.569999999999993,-77.22,0.41,6,2016,,,,,,,,,,,,
2016-09-30,98.85999999999999,,,,,,,12.0,20.869999999999997,-0.31000000000000005,73.21,0.52,4443.13,138.19,128.5,-75.27000000000001,0.61,9,2016,,,,,,,,,,,,
2016-12-31,98.35000000000002,,,,,,,11.1,21.08,-0.28000000000000025,69.53,0.26,4436.89,130.37,73.45999999999998,-77.14000000000001,0.8,12,2016,,,,,,,,,,,,
2017-03-31,96.68,,,,,,,11.3,21.34,-1.24,44.11,1.06,4394.5,128.47,49.85,-75.27,0.19,3,2017,,,,,,,,,,,,
2017-06-30,94.85999999999999,,,,,,,11.2,21.48,-1.09,47.0,1.47,4394.7,131.31,78.17000000000002,-75.27,0.39,6,2017,,,,,,,,,,,,
2017-09-30,94.76000000000002,,,,,,,11.4,22.089999999999996,-1.2999999999999998,41.24,1.44,4341.28,130.0,69.50999999999999,-75.27000000000001,0.58,9,2017,,,,,,,,,,,,
