,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2014-09-30,177.01000000000005,6.779999999999999,0.01933000712758375,0.0,7.780000000000001,10.16,12.280000000000001,3.2,0.0,166.84999999999997,-9.7,21.44,166.51,405.18,852.7,262.95,1146.63,212.14,174.99,0.0,441.93,62.63,504.55,383.74,642.08,-62.629999999999995,-0.9199999999999875,11.630000000000003,2.119999999999999,41.38643067846608,1.91,0.79,0.04,0.0,2.358260869565217,4.445901639344261,4.233271560940841,4.117291518175338,7.229422665716322,2.86,2.62,0.0,1.93,1.01,9,2014,0.0,350.75,14.03
2014-12-31,167.62,30.119999999999997,0.006822197055492638,0.0,18.41,36.0,38.18,37.0,-46.5,131.63000000000005,7.699999999999999,170.31,223.25,386.05,1063.6,287.59,1390.07,212.51,167.36,0.0,505.62,65.43,571.05,385.38,819.02,-33.900000000000006,-15.710000000000008,198.75,2.1800000000000006,1355.8681938911025,17.41,0.7,0.01,0.0,8.677834654586636,13.698971687429216,14.708656851642127,16.646160815402038,19.238595696489238,6.54,6.29,0.0,2.1,1.34,12,2014,0.0,4415.0,44.15
2015-03-31,129.13,9.14,0.0,,15.23,13.88,16.06,1.2,0.0,115.26,3.0,1330.7,214.02,393.4,2237.04,284.96,2561.84,192.49,120.86,0.55,372.16,68.5,440.66,1274.24,2121.18,-39.68,-2.75,1203.02,2.18,0.0,7.21,0.21,0.0,0.0,1.44,3.0,1.72,2.68,2.52,7.4,7.08,0.0,6.01,4.95,3,2015,,inf,9.14
2015-06-30,107.84,8.189999999999998,0.0,,12.54,8.979999999999999,11.16,0.66,0.0,98.86,7.880000000000001,1149.23,146.79,396.25,1987.97,283.18,2369.93,86.34,76.09,0.56,170.55,68.48,239.03,1304.73,2130.9,13.259999999999998,-47.68,-147.18000000000006,2.18,0.0,4.04,0.11,0.0,0.0,1.3799653779572991,2.495279861511829,1.5311944604731678,2.3629544143104435,1.9659780727062892,7.78,7.31,0.0,11.66,9.33,6,2015,,inf,17.33
2015-09-30,166.85999999999999,5.560000000000002,0.0,,15.23,5.27,12.36,0.42,0.0,161.57999999999998,-13.59,415.46,285.96,747.68,1500.2,1010.41,2649.16,83.32,245.66,1.82,346.54,67.88,414.42,1306.26,2136.99,-48.019999999999996,-781.6600000000001,96.3900000000001,7.089999999999999,0.0,2.57,0.19,0.0,0.0,0.8355788553953695,1.4379729139362174,1.039615552643076,1.6031454783748367,1.1853560506771519,6.2,5.67,0.0,4.33,2.17,9,2015,,inf,22.89
2015-12-31,240.90000000000003,-10.09,-0.0,,7.25,-7.0,7.469999999999999,0.2,0.0,247.89000000000004,-16.73,567.87,334.49,747.88,1722.82,1063.78,2934.89,360.49,255.96,0.76,635.13,69.06,704.19,1316.21,2136.32,-40.290000000000006,-98.12,295.01,14.470000000000002,-0.0,1.23,0.33,0.0,0.0,-1.3873749999999998,-3.0900624999999997,-1.8918749999999998,-2.7432187499999996,-2.9008749999999996,2.14,1.99,0.0,2.71,1.54,12,2015,,inf,12.8
2016-03-31,354.77,-17.76,0.0,,15.53,-10.04,7.58,0.19,0.0,364.81,-16.27,523.06,400.53,694.44,1651.85,1444.91,3793.46,261.87,429.58,1.14,711.61,873.32,1584.93,1316.21,2118.6,36.54,-779.61,700.03,17.62,0.0,1.18,0.75,0.0,0.0,-1.88,-1.28,-3.36,-3.36,-1.3199999999999998,-5.11,-5.01,0.0,2.32,1.35,3,2016,,-inf,-17.76
2016-06-30,256.06000000000006,-29.87,0.0,,10.69,-17.78,3.66,0.18,0.0,273.84,-22.8,414.07,455.65,713.96,1622.53,1428.83,3746.96,252.31,444.07,1.15,725.9,872.42,1598.32,1316.25,2062.41,-68.91,-31.83000000000004,0.0,21.44,0.0,1.15,0.77,0.0,0.0,-3.18579886626076,-2.282737770312828,-5.794642032332563,-5.694301910560571,-2.307822800755826,-7.98,-7.8,0.0,2.24,1.25,6,2016,,-inf,-47.63
2016-09-30,266.7099999999999,-16.449999999999996,0.0,,13.439999999999998,-1.509999999999998,24.629999999999995,0.17,0.0,268.21000000000004,-20.86,347.88,376.85,378.92,1470.15,1335.03,3602.68,251.44,298.03,1.17,587.65,883.4,1471.05,1316.25,2048.57,7.359999999999996,-39.3599999999999,-26.319999999999936,26.14,0.0,1.09,0.72,0.0,0.0,-1.8277777777777775,-0.9652309612983767,-3.2140137328339566,-3.142134831460673,-0.9960362047440697,-7.6,-7.3,0.0,2.5,1.86,9,2016,,-inf,-64.08
2016-12-31,266.35000000000014,28.67,-0.0,,82.07000000000001,9.399999999999999,61.15,0.17,0.0,256.9599999999999,1.9500000000000028,454.72,477.68,419.39,1382.98,1407.81,3601.56,243.31,266.09,9.36,537.37,916.55,1453.92,1316.25,2073.9,43.71,70.21999999999991,-4.550000000000068,51.75,-0.0,1.08,0.7,0.0,0.0,3.1738604913866144,1.9755662242304437,5.538062694154195,5.440903699519911,2.1051115504094895,-3.22,-3.1,0.0,2.57,1.79,12,2016,,-inf,-35.41
2017-03-31,347.19,-13.22,0.0,,32.22,-3.13,30.6,0.17,0.0,350.32,-14.21,222.76,574.93,465.47,1306.62,1446.49,3589.9,125.09,380.98,810.27,1345.85,114.32,1460.16,1316.25,2060.69,-1.11,-109.21,-121.64,33.73,0.0,1.09,0.71,0.0,0.0,-1.48,-0.32,-2.56,-2.52,-0.56,-3.94,-3.81,0.0,0.97,0.62,3,2017,,-inf,-13.22
2017-06-30,304.05,-23.560000000000002,0.0,,9.480000000000004,-17.85,12.25,0.14,0.0,321.89000000000004,-25.869999999999997,239.09,523.54,493.9,1308.07,1477.81,3600.17,124.14,425.86,807.71,1382.49,116.52,1499.01,1316.25,2037.11,74.22,-56.57000000000001,-1.3100000000000023,30.1,0.0,0.9,0.74,0.0,0.0,-2.6135073409461667,-1.460489396411093,-4.637694399129963,-4.586449157150626,-2.4341489940184884,-5.85,-5.65,0.0,0.95,0.59,6,2017,,-inf,-36.78
2017-09-30,300.65,-35.36,-0.00490158026060438,,-8.43,-27.38,10.11,0.12,0.0,328.03999999999996,-40.86,156.3,543.93,611.46,1371.99,1468.28,3641.24,125.12,462.66,807.89,1470.58,110.23,1580.81,1316.25,2001.66,-101.57,-26.629999999999995,45.400000000000006,37.489999999999995,-6.120475113122173,0.79,0.79,-0.01,0.0,-3.8820515663986694,-2.627247019683948,-7.058275575270308,-6.979850291100638,-4.372209592459107,-7.89,-7.58,0.0,0.93,0.52,9,2017,,7214.0,-72.14
