,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2012-03-31,128.54,1.48,0.01,0.0,6.62,4.29,5.38,,0.0,124.25,-1.56,31.57,251.27,306.35,609.24,190.69,823.19,82.94,199.74,0.0,337.99,28.1,366.09,250.5,457.11,52.51,-1.19,-22.46,1.09,0.0,0.0,0.8,0.01,0.0,0.72,0.0,1.28,0.0,3.52,1.21,1.15,1.69,1.8,0.9,3,2012,0.0,148.0,1.48
2012-06-30,165.82000000000002,6.92,0.024714285714285713,0.0,16.23,11.350000000000001,12.490000000000002,,0.0,154.47000000000003,7.369999999999999,231.05,239.48,300.12,798.79,190.6,1009.42,100.41,194.55,0.0,348.18,28.39,376.57,350.0,632.85,17.880000000000003,-0.81,182.41,1.14,0.0,0.0,0.6,0.03,0.0,2.7350476190476187,0.0,4.382666666666666,0.0,7.809714285714286,2.95,2.85,3.22,2.29,1.43,6,2012,0.0,280.0,8.4
2012-09-30,106.38999999999999,10.360000000000001,0.03865671641791045,0.0,17.0,15.36,16.529999999999998,2.9,0.0,91.03999999999996,8.260000000000002,136.03,256.32,378.78,791.17,190.66,1001.83,115.08,200.55,0.0,330.36,28.68,359.04,350.0,642.8,-59.43,-7.789999999999999,-27.799999999999983,1.17,18.75547297297297,1.58,0.56,0.07,0.0,4.130746268656717,0.0,6.450149253731343,0.0,10.20537313432836,4.89,4.68,4.57,2.39,1.25,9,2012,0.0,268.0,18.76
2012-12-31,173.32000000000005,3.229999999999997,0.011750795816280116,0.0,9.839999999999996,6.630000000000003,7.910000000000004,4.5,0.0,166.68000000000006,-0.05000000000000071,57.71,242.4,389.76,790.92,246.76,1058.87,86.07,184.16,0.0,343.2,29.32,372.52,350.0,686.35,-20.28,-93.46000000000001,34.81,1.2799999999999998,95.73819659442734,2.29,0.54,0.08,0.0,1.222082764893132,0.0,1.8801273306048185,0.0,3.0904592996816707,3.99,3.83,0.0,2.3,1.17,12,2012,0.0,274.875,21.99
2013-03-31,212.51,4.82,0.01,0.0,13.85,9.07,10.69,3.2,0.0,203.44,2.61,239.46,218.1,415.42,978.15,253.13,1253.43,185.74,230.91,0.0,531.5,62.48,593.97,350.15,659.46,47.32,-9.1,142.51,1.62,80.0,1.7,0.9,0.01,0.0,1.52,3.48,2.92,3.44,5.039999999999999,2.34,2.27,0.0,1.84,1.06,3,2013,0.0,482.0,4.82
2013-06-30,191.48000000000002,6.299999999999999,0.016996402877697842,0.0,16.340000000000003,11.989999999999998,13.81,3.34,0.0,179.49,7.17,124.84,187.73,434.28,931.7,256.11,1210.25,215.85,152.46,0.0,479.99,62.95,542.94,351.7,667.3,-66.21000000000001,-78.4,29.640000000000015,1.8199999999999998,49.12657142857143,1.76,0.81,0.03,0.0,2.0848920863309353,4.305755395683453,3.784532374100719,3.875179856115108,6.52661870503597,2.83,2.75,0.0,1.94,1.04,6,2013,0.0,370.66666666666663,11.12
2013-09-30,164.20000000000005,5.450000000000001,0.016445383222691616,0.0,20.249999999999996,10.700000000000003,12.619999999999997,2.66,0.0,153.49999999999994,4.92,97.3,155.67,424.14,707.85,261.07,1149.36,216.2,124.62,0.0,414.11,62.49,476.6,351.7,672.75,-57.69,69.09,-39.28999999999999,1.9200000000000004,40.43688073394495,1.39,0.71,0.05,0.0,1.894508147254074,3.8811104405552213,3.23645141822571,3.3153892576946293,5.683524441762222,3.01,2.92,0.0,1.71,0.69,9,2013,0.0,331.4,16.57
2013-12-31,148.64,-76.75,-0.21680790960451976,0.0,0.9000000000000057,-74.09,-72.07,2.26,0.0,222.73000000000002,-80.33,59.49,99.96,357.47,794.71,266.91,1092.92,289.93,102.06,0.0,402.16,62.64,464.8,383.67,628.12,24.43,-109.21000000000001,47.79999999999998,2.0199999999999996,-2.605186319218241,1.38,0.74,-0.17,0.0,-28.108507809903625,-20.048354935194418,-48.87105350614822,-46.72848122299768,-31.271352608840147,-8.68,-8.4,0.0,1.98,1.09,12,2013,0.0,354.0,-60.18
2014-03-31,164.19,-6.18,-0.02,0.0,9.06,-1.23,0.85,1.87,0.0,165.43,-9.5,66.58,101.3,368.51,829.07,265.5,1125.66,298.19,131.08,0.0,440.11,63.1,503.2,383.67,622.45,-1.55,-0.54,10.01,2.08,-23.374999999999996,1.15,0.81,-0.02,0.0,-2.2,-0.4,-3.96,-3.8400000000000003,-0.72,-3.96,-3.76,0.0,1.88,1.05,3,2014,0.0,309.0,-6.18
2014-06-30,193.51,13.43,0.03704827586206896,0.0,10.67,17.44,19.549999999999997,1.98,0.0,176.06,0.5700000000000003,72.44,113.29,386.18,794.88,264.02,1090.03,241.17,138.1,0.0,391.28,63.5,454.78,383.69,635.25,-36.540000000000006,100.64,-59.94,2.1100000000000003,13.360945644080417,1.2,0.72,0.02,0.0,4.964468965517241,10.447613793103448,8.447006896551724,8.224717241379311,17.190399999999997,2.18,2.03,0.0,2.03,1.04,6,2014,0.0,362.5,7.25
