,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2013-09-30,,,,,,,,,9.68,,,28.47,0.0,411.4,5.79,836.94,248.33,47.4,129.82,701.42,5.87,707.28,75.0,129.66,,,,,,0.0,5.45,0.21,0.0,0.0,,,,,,0.0,26.73,0.59,0.59,9,2013,,148.0,31.08
2013-12-31,47.120000000000005,11.730000000000004,0.07672039243167487,0.0,154.72,24.090000000000003,24.47,2.0,16.93,23.03,156.31,9.74,414.09,436.12,5.41,936.88,0.0,16.06,317.34,558.84,105.69,664.54,100.0,272.34,-134.35,0.0,115.62,0.38,6.5145652173913025,0.73,2.44,0.28,0.0,0.0,5.008745620182203,0.0,17.229208128941842,0.0,26.567175893482833,27.67,26.2,0.78,0.78,12,2013,0.0,152.89285714285714,42.81
2014-03-31,45.18,15.96,0.08,0.07,43.55,29.18,29.57,2.22,2.28,16.0,29.82,17.39,447.53,474.93,5.5,940.29,0.0,28.99,310.23,546.13,105.85,651.98,100.0,288.31,40.42,-0.48,-32.29,0.39,6.9375,0.77,2.26,0.08,0.07,0.92,6.8,0.0,22.16,0.0,29.6,36.65,35.33,0.87,0.87,3,2014,13.965000000000002,199.5,15.96
2014-06-30,45.440000000000005,16.189999999999998,0.08057231726283047,0.0005007776049766673,-43.55,29.46,29.96,3.54,3.91,15.98,-57.879999999999995,47.48,0.0,487.34,7.31,914.46,0.0,24.55,335.35,543.71,81.01,624.72,100.0,289.74,62.34,-2.32,-29.93,0.5,10.986403644224831,1.22,2.16,0.16,0.07,0.46,7.090363919129081,0.0,22.358818040435455,0.0,31.866351477449452,0.0,35.48,0.9,0.9,6,2014,0.10062499999999908,200.9375,32.15
2014-09-30,43.859999999999985,13.25,0.06712555066079295,0.05874242841409691,126.09,25.08,25.61,5.1,7.57,18.779999999999998,110.96000000000001,18.24,454.26,479.96,6.99,903.29,0.0,35.36,315.35,532.11,80.19,612.3,100.0,290.99,0.5899999999999892,-0.20000000000000018,-29.629999999999995,0.5299999999999999,18.990905660377358,1.75,2.1,0.23,0.13,0.58,5.872026431718062,11.230396475770926,18.211453744493394,25.204185022026433,26.336563876651983,36.01,33.76,0.9,0.9,9,2014,11.595244565217389,197.39130434782606,45.4
2014-12-31,51.74000000000001,14.020000000000003,0.07078424772803771,0.00044327045497786707,47.09,27.159999999999997,27.679999999999993,3.76,15.04,24.580000000000005,29.97999999999999,98.62,464.05,574.06,6.51,1057.71,186.38,50.21,165.7,440.74,311.96,752.7,100.0,305.01,-22.89999999999999,-0.040000000000000036,103.33,0.52,13.27625891583452,1.23,2.47,0.3,0.13,0.45,5.304099629754293,10.494944463143725,18.385028609895663,19.423197576573546,16.959905755637834,34.31,31.91,1.3,1.3,12,2014,0.08779710144928288,198.0666666666667,59.42
2015-03-31,46.46,17.65,0.09,0.10000000000000002,0.0,30.94,31.46,3.88,0.95,15.52,-14.58,32.78,0.0,508.95,6.27,939.5,131.92,17.74,140.74,304.18,312.94,617.12,100.0,322.38,29.59,-0.23,-95.2,0.52,10.7775,1.2,1.91,0.09,0.1,1.11,7.52,13.159999999999998,21.88,23.12,19.48,0.0,37.99,1.67,1.67,3,2015,19.611111111111114,196.11111111111111,17.65
2015-06-30,43.63,12.09,0.06097848016139879,0.0010872001793319791,83.9,24.959999999999997,25.490000000000002,3.62,2.29,18.669999999999998,66.58,131.03,459.55,733.6,5.79,1118.11,148.51,8.95,409.6,589.54,214.09,803.63,100.0,314.47,53.50999999999999,-120.06,164.81,0.53,14.839251447477253,1.15,2.56,0.15,0.1,0.67,4.325406859448555,8.943510423671823,15.382837928715539,16.00075319435104,17.20406186953598,35.45,33.01,1.24,1.24,6,2015,0.21555555555555372,198.26666666666665,29.74
2015-09-30,40.620000000000005,11.210000000000004,0.05474969474969477,0.05316646316646315,36.97999999999999,23.990000000000002,24.53,3.12,4.5,16.620000000000005,22.560000000000002,30.62,477.55,609.34,5.26,962.06,34.9,34.18,359.96,431.92,214.46,646.38,100.0,315.68,33.480000000000004,41.290000000000006,-175.2,0.54,14.246654772524527,0.99,2.05,0.2,0.15,0.75,4.664673992673994,9.384097680097684,14.202070818070823,14.782417582417589,16.501557997558002,33.88,31.33,1.41,1.41,9,2015,10.88583333333333,204.75,40.95
2015-12-31,46.650000000000006,14.259999999999998,0.07232023184205759,-0.005759826118456803,39.18000000000001,26.010000000000005,26.549999999999997,2.84,9.21,20.64999999999999,23.25,141.49,435.7,601.71,4.74,978.94,0.0,27.03,308.64,342.8,306.4,649.2,100.0,329.74,27.39,78.69,4.799999999999997,0.5399999999999998,9.814680925666202,0.86,1.97,0.28,0.15,0.54,5.8269443941314965,10.744720159391413,17.294866871943483,17.97674334359717,17.201883716717983,34.49,31.13,1.76,1.76,12,2015,-1.1357142857142861,197.17857142857142,55.21
2016-03-31,37.95,10.98,0.05,0.15,34.85,22.07,22.6,2.68,0.86,15.88,19.83,21.96,441.9,655.69,4.45,989.24,0.0,4.13,308.3,341.79,306.73,648.52,100.0,340.72,55.92,-175.25,-0.2,0.53,13.4,0.79,1.9,0.05,0.15,3.0,4.44,9.16,12.88,13.240000000000002,13.64,31.51,28.93,1.92,1.92,3,2016,32.94,219.6,10.98
2016-06-30,36.16,9.82,0.047211538461538465,-0.008365384615384608,32.830000000000005,19.32,19.78,3.18,2.24,16.839999999999996,17.370000000000005,30.85,473.83,557.03,4.16,866.88,0.0,15.06,8.98,39.81,506.52,546.33,100.0,320.55,14.25,124.83,-130.19,0.45999999999999996,16.83910386965377,0.99,1.7,0.1,0.15,1.5,4.532307692307692,7.874884615384615,12.256115384615384,12.369423076923077,9.442307692307692,30.73,28.07,13.99,13.99,6,2016,-1.7399999999999984,208.0,20.8
2016-09-30,35.47,9.71,0.04773844641101278,0.03660766961651918,31.269999999999996,19.130000000000003,19.61,2.66,4.99,16.340000000000003,35.11999999999999,32.13,406.32,562.15,3.74,879.15,0.0,0.0,0.49,49.81,507.08,556.89,100.0,322.25,17.83,-0.05999999999999517,-16.49000000000001,0.48,13.927453656024717,0.83,1.73,0.15,0.19,1.27,4.417397574565716,8.363775811209441,12.055549000327762,12.182851524090463,9.293084234677156,30.83,27.84,11.29,11.29,9,2016,7.4460000000000015,203.4,30.51
2016-12-31,43.05,10.77,0.054789244186046505,-0.0066002906976744035,34.749999999999986,20.229999999999997,20.699999999999996,2.86,9.78,22.819999999999993,1.220000000000013,77.16,364.55,513.47,4.97,886.82,0.0,26.26,0.0,46.96,506.85,553.8,100.0,333.02,-5.299999999999997,50.5,-0.1599999999999966,0.47,13.050919220055711,0.86,1.66,0.21,0.19,0.9,4.852761627906977,9.037616279069766,12.940697674418603,13.003313953488373,10.029040697674416,30.88,27.05,10.93,10.93,12,2016,-1.2974285714285685,196.57142857142858,41.28
2017-03-31,39.21,8.91,0.04,0.11,33.4,17.8,18.36,3.14,3.49,21.41,15.48,38.45,396.11,499.46,4.83,896.11,0.0,30.15,0.47,46.95,507.24,554.19,100.0,341.93,1.91,-40.42,-0.21,0.56,19.625,0.92,1.62,0.04,0.11,2.75,3.96,7.56,10.44,10.44,8.4,26.68,22.72,10.64,10.64,3,2017,24.5025,222.75,8.91
2017-06-30,42.88,8.399999999999999,0.043674176776429804,-0.017396013864818035,36.02,17.51,18.08,4.16,9.35,25.37,16.509999999999998,53.63,645.49,825.36,5.81,998.26,70.0,73.05,200.11,364.07,304.6,668.67,100.0,329.59,-71.17999999999999,38.61,47.76,0.5699999999999998,23.811553571428572,1.26,2.03,0.09,0.11,1.22,3.358058925476603,7.356672443674176,10.190641247833621,10.345927209705373,10.811785095320623,24.94,21.09,2.27,2.27,6,2017,-3.345833333333335,192.33333333333331,17.31
