,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,total_asset,total_liability,cash_flow_operation,cash_flow_financing,DPS,month,year,EPS,cash_flow_investment,depreciation,dividend,P/E,ROA%,ROAA%,ROE%,ROAE%,ROCE%,number_of_shares,return_old
2006-12-31,,,,,,,,10.0,,,2.69,9628.72,59.32,,,0.0,12,2006,,,,,,,,,,,,
2007-03-31,227.25,,,,,,,9.4,24.72,-0.31,0.08,11545.8,50.64,-2.61,0.0,0.0,3,2007,,,,,,,,,,,,
2007-06-30,200.19,,,,,,,9.2,26.29,-0.41,0.05,11401.98,50.66,296.75,-296.78,0.31,6,2007,,,,,,,,,,,,
2007-09-30,223.29000000000002,,,,,,,9.25,26.410000000000004,-0.31000000000000005,0.42,11389.64,52.94,190.94,-190.57000000000005,0.51,9,2007,,,,,,,,,,,,
2007-12-31,185.89999999999998,,,,,,,8.85,26.179999999999993,-0.4099999999999999,1.57,11312.89,50.57,214.70999999999998,-213.55999999999995,0.74,12,2007,,,,,,,,,,,,
2008-03-31,247.53,,,,,,,8.95,25.09,-0.5,1.92,11333.48,53.75,176.19,-175.84,0.19,3,2008,,,,,,,,,,,,
2008-06-30,207.09,,,,,,,8.65,25.720000000000002,-0.49,3.76,11250.47,54.75,239.91000000000003,-238.08,0.44,6,2008,,,,,,,,,,,,
2008-09-30,231.64999999999998,,,,,,,6.8,25.519999999999996,-0.5,2.16,11244.16,56.69,195.52999999999997,-197.11999999999995,0.64,9,2008,,,,,,,,,,,,
2008-12-31,180.19000000000005,,,,,,,4.94,26.570000000000007,1.49,1.92,11160.6,56.43,221.77999999999997,-222.01999999999998,0.88,12,2008,,,,,,,,,,,,
2009-03-31,229.52,,,,,,,6.15,24.69,0.0,31.15,11139.31,55.57,198.7,-169.48,0.18,3,2009,,,,,,,,,,,,
2009-06-30,211.47,,,,,,,7.05,25.02,0.0,153.66,11073.79,57.09,350.51000000000005,-228.00000000000003,0.42,6,2009,,,,,,,,,,,,
2009-09-30,233.33000000000004,,,,,,,7.45,25.1,0.0,174.94,11058.11,57.68,220.77999999999997,-199.5,0.63,9,2009,,,,,,,,,,,,
2009-12-31,207.38,,,,,,,8.35,18.17,0.0,11.09,10995.12,59.58,64.14999999999998,-228.0,0.87,12,2009,,,,,,,,,,,,
2010-03-31,265.4,,,,,,,8.8,9.67,0.0,43.42,10639.32,57.74,222.33,-190.0,0.2,3,2010,,,,,,,,,,,,
2010-06-30,211.02000000000004,,,,,,,9.0,9.049999999999999,0.0,25.98,10542.34,50.61,248.56999999999996,-266.0,0.2,6,2010,,,,,,,,,,,,
2010-09-30,232.27000000000004,,,,,,,9.85,8.950000000000003,0.0,0.05,10558.0,56.85,164.06000000000006,-190.0,0.37,9,2010,,,,,,,,,,,,
2010-12-31,211.88,,,,,,,9.7,9.04,0.0,65.14,10588.41,118.64,288.3499999999999,-223.25,0.61,12,2010,,,,,,,,,,,,
2011-03-31,269.86,,,,,,,9.55,8.83,0.0,11.44,10567.22,57.92,145.8,-199.5,0.21,3,2011,,,,,,,,,,,,
2011-06-30,222.62,,,,,,,9.55,9.17,0.0,10.28,10492.34,60.09,255.33999999999997,-256.5,0.48,6,2011,,,,,,,,,,,,
2011-09-30,253.26,,,,,,,9.15,9.55,0.0,23.35,10491.72,58.76,222.07000000000005,-209.0,0.7,9,2011,,,,,,,,,,,,
2011-12-31,233.39999999999998,,,,,,,9.75,9.59,0.0,5.51,10444.01,59.74,219.65999999999997,-237.5,0.95,12,2011,,,,,,,,,,,,
2012-03-31,296.82,,,,,,,10.6,9.29,0.0,66.03,10486.08,59.78,298.02,-237.5,0.25,3,2012,,,,,,,,,,,,
2012-06-30,271.92,,,,,,,11.4,9.830000000000002,0.0,136.95,10432.16,61.76,355.9200000000001,-285.0,0.55,6,2012,,,,,,,,,,,,
2012-09-30,302.90999999999997,,,,,,,14.4,9.52,0.0,3.43,10434.13,60.84,122.9799999999999,-256.5,0.82,9,2012,,,,,,,,,,,,
2012-12-31,264.16999999999996,,,,,,,16.8,8.920000000000002,0.0,13.44,10365.29,61.51,299.7500000000001,-289.75,1.13,12,2012,,,,,,,,,,,,
2013-03-31,326.42,,,,,,,18.3,9.27,0.0,15.91,10532.38,60.45,268.47,-266.0,0.28,3,2013,,,,,,,,,,,,
2013-06-30,288.21,,,,,,,17.6,9.510000000000002,0.0,13.92,10522.37,61.24,311.52,-313.5,0.61,6,2013,,,,,,,,,,,,
2013-09-30,330.23,,,,,,,16.9,9.739999999999998,0.0,18.72,10583.04,59.92,280.28999999999996,-275.5,0.9,9,2013,,,,,,,,,,,,
2013-12-31,284.9599999999999,,,,,,,16.0,9.830000000000002,0.0,3.49,10551.65,61.64,303.02,-318.25,1.24,12,2013,,,,,,,,,,,,
2014-03-31,336.83,,,,,,,16.0,9.76,0.0,12.01,10536.08,60.25,288.78,-280.25,0.3,3,2014,,,,,,,,,,,,
2014-06-30,288.03000000000003,,,,,,,16.9,9.94,0.0,46.07,10518.8,61.88,357.06000000000006,-323.0,0.64,6,2014,,,,,,,,,,,,
2014-09-30,320.78,,,,,,,17.6,9.96,0.0,3.33,10570.49,60.25,232.75,-275.5,0.93,9,2014,,,,,,,,,,,,
2014-12-31,279.37,,,,,,,17.3,9.959999999999997,0.0,2.62,10541.98,61.07,308.0400000000001,-308.75,1.25,12,2014,,,,,,,,,,,,
2015-03-31,328.07,,,,,,,17.2,9.74,0.0,10.82,10521.25,60.27,288.45,-280.25,0.3,3,2015,,,,,,,,,,,,
2015-06-30,307.46,,,,,,,18.1,9.94,0.0,199.54,10478.48,61.46,502.21999999999997,-313.5,0.63,6,2015,,,,,,,,,,,,
2015-09-30,347.55000000000007,,,,,,,19.4,9.95,0.0,84.94,10579.59,139.99,170.4000000000001,-285.0,0.93,9,2015,,,,,,,,,,,,
2015-12-31,305.2499999999999,,,,,,,19.9,10.430000000000003,0.0,1.46,10432.61,61.69,249.02999999999986,-332.5,1.28,12,2015,,,,,,,,,,,,
2016-03-31,393.84,,,,,,,23.8,9.89,0.0,13.93,10779.58,60.2,306.96,-294.5,0.31,3,2016,,,,,,,,,,,,
2016-06-30,329.40000000000003,,,,,,,24.6,10.169999999999998,0.0,12.7,10688.85,62.26,378.77000000000004,-380.0,0.71,6,2016,,,,,,,,,,,,
2016-09-30,387.4000000000001,,,,,,,27.5,10.330000000000002,0.0,10.02,10710.92,60.5,315.5799999999999,-318.25,1.05,9,2016,,,,,,,,,,,,
2016-12-31,332.28,,,,,,,25.0,10.5,0.0,12.57,10623.06,62.12,377.79999999999995,-375.25,1.44,12,2016,,,,,,,,,,,,
2017-03-31,401.48,,,,,,,23.8,10.74,0.0,9.92,12361.44,60.74,320.34,-323.0,0.34,3,2017,,,,,,,,,,,,
2017-06-30,349.39,,,,,,,23.0,11.770000000000001,0.0,1.39,12281.78,73.95,380.96999999999997,-389.5,0.75,6,2017,,,,,,,,,,,,
2017-09-30,404.37,,,,,,,23.7,11.609999999999996,0.0,10.21,12305.75,76.92,336.58000000000015,-327.75,1.1,9,2017,,,,,,,,,,,,
