,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,property_plant_equipment,total_asset,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,TIE,month,year,dividend,ROCE%,number_of_shares,return_old
2000-03-31,12454.9,305.53,0.13,0.0,0.0,640.34,2093.92,34.25,0.0,10443.09,0.0,8941.38,19392.34,746031.57,714414.03,23530.95,31358.32,-12437.06,6779.34,-12.71,1453.58,65.865,1.24,22.78,0.13,0.0,0.0,0.16,0.0,3.88,0.0,0.0,3,2000,0.0,,2350.230769230769,305.53
2000-06-30,13034.519999999999,2229.29,0.9498241295239898,0.0,0.0,2372.3399999999997,3083.7200000000003,27.5,0.0,8818.439999999999,0.0,8165.65,18976.18,743785.41,718919.38,23530.95,24595.68,5995.099999999999,-6770.83,0.0,711.3800000000001,7.237339825684412,0.99,29.23,1.08,0.0,0.0,1.1960748297709503,0.0,36.269210279230876,0.0,0.0,6,2000,0.0,,2347.0555555555557,2534.82
2000-09-30,12749.39,-1278.3500000000001,-0.5392293488901447,0.0,0.0,-1190.1899999999998,27.579999999999927,20.0,243.8,12401.84,0.0,9611.36,23607.38,763118.78,737689.29,23530.95,25189.1,4070.58,-2624.8700000000003,0.0,1217.77,-9.273512301013024,0.71,29.29,0.53,0.0,0.0,-0.6511448741314955,-0.0,-20.307580761976016,-0.0,0.0,9,2000,0.0,,2370.698113207547,1256.47
2000-12-31,12404.75,8.139999999999873,0.0034758542159242234,0.0,0.0,321.2099999999998,1749.3899999999994,19.5,712.49,10821.2,0.0,11959.15,23539.46,766630.18,740810.15,23530.95,25579.76,583.98,1763.8000000000002,0.0,1428.1799999999998,1402.4897757985475,0.68,28.96,0.54,0.0,0.0,0.004119530922576857,0.0,0.12719051723456046,0.0,0.0,12,2000,0.0,,2341.87037037037,1264.61
2001-03-31,13596.78,58.67,0.02,0.0,0.0,127.88,459.91,21.25,628.16,13862.38,0.0,10225.12,23459.24,786189.78,760442.34,23530.95,25435.6,-5346.61,3527.23,85.36,332.03,265.625,0.74,29.9,0.02,0.0,0.0,0.04,0.08,0.9200000000000002,0.84,0.0,3,2001,0.0,,2933.5,58.67
2001-06-30,11876.37,110.76,0.04576049105825415,0.0,0.0,142.70999999999998,500.53000000000003,20.0,0.0,12781.320000000002,0.0,9792.03,22874.96,787628.87,762370.95,23530.95,24910.67,6230.8099999999995,-6663.91,0.0,357.82000000000005,109.26292276092452,0.69,30.6,0.07,0.0,0.0,0.05229770406657617,0.10459540813315234,1.7781219382635898,1.7781219382635898,0.0,6,2001,0.0,,2420.428571428571,169.43
2001-09-30,11619.36,123.51999999999998,0.050597030209933426,0.0,0.0,343.69,742.5699999999999,14.5,0.0,8816.560000000001,0.0,10131.26,22753.74,781787.8,756535.56,23530.95,24884.99,1945.9399999999998,-1606.7100000000005,0.0,398.88,71.64254472959844,0.5,30.4,0.12,0.0,0.0,0.06746270694657791,0.13492541389315582,1.9901498549240484,1.9732841781874038,0.0,9,2001,0.0,,2441.25,292.95
2001-12-31,10752.43,715.5,0.30508701472556893,0.0,0.0,1065.04,1493.1299999999999,18.6,0.0,8412.18,0.0,12142.51,22773.35,774598.98,747158.74,23530.95,27071.54,33239.17,-23727.91,-7500.0,428.0899999999999,15.243028301886792,0.63,27.6,0.43,0.0,0.0,0.3689424364123159,0.6243641231593039,10.585809906291834,10.869611780455154,0.0,12,2001,0.0,,2345.232558139535,1008.45
2002-03-31,11633.45,1922.7,0.82,0.0,0.0,1927.06,2289.88,22.4,0.0,9362.02,0.0,10151.86,22775.8,783142.28,754772.7,23530.95,28017.65,10961.95,-12927.23,-25.38,362.82,6.83,0.75,26.94,0.82,0.0,0.0,1.0,1.0,27.44,28.76,0.0,3,2002,0.0,,2344.756097560976,1922.7
2002-06-30,11563.309999999998,1919.45,0.8143106073422433,0.0,0.0,1906.88,2848.29,28.25,0.0,9240.689999999999,0.0,10413.82,22673.75,787756.36,756480.18,23530.95,30915.69,-4090.3200000000006,4352.279999999999,0.0,941.4100000000001,8.672335760243818,0.94,24.47,1.63,0.0,0.0,0.9791710370495686,0.9791710370495686,24.838971409237015,27.49672136694299,0.0,6,2002,0.0,,2357.147239263804,3842.15
2002-09-30,11078.790000000005,1881.1,0.7986848381601364,0.0,0.0,1859.8200000000002,2452.16,22.9,0.0,8462.02,0.0,10363.14,22539.61,765591.62,731486.05,23530.95,33739.89,10038.57,-10089.25,0.0,592.3399999999999,7.165091568762958,0.79,21.68,2.43,0.0,0.0,0.9860306643952299,0.9728835888699602,22.297440090857467,25.663091425326517,0.0,9,2002,0.0,,2355.2469135802467,5723.25
