,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,total_asset,total_liability,cash_flow_operation,cash_flow_financing,DPS,month,year,EPS,cash_flow_investment,depreciation,dividend,P/E,ROA%,ROAA%,ROE%,ROAE%,ROCE%,number_of_shares,return_old
2013-12-31,,,,,,,,,0.0,,,0.76,76.11,4783.87,77.94,,,0.0,12,2013,,,,,,,,,,,,
2014-03-31,92.35,,,,,,,9.4,0.0,10.28,0.0,155.57,0.0,4869.18,81.18,154.81,0.0,0.0,3,2014,,,,,,,,,,,,
2014-06-30,92.71000000000001,,,,,,,10.1,0.0,12.26,-3.43,7.04,0.0,4864.18,81.27,-62.99000000000001,-85.54,0.18,6,2014,,,,,,,,,,,,
2014-09-30,94.06,,,,,,,9.75,0.0,11.899999999999999,3.43,9.12,0.0,4868.02,80.04,79.16,-77.08,0.35,9,2014,,,,,,,,,,,,
2014-12-31,95.25,,,,,,,9.5,0.0,15.93,-9.74,3.85,0.0,4880.29,84.94,73.68,-78.96000000000001,0.51,12,2014,,,,,,,,,,,,
2015-03-31,99.14,,,,,,,9.1,0.0,11.99,0.0,12.68,2.0,4883.62,80.53,88.27,-79.43,0.17,3,2015,,,,,,,,,,,,
2015-06-30,86.55999999999999,,,,,,,9.05,0.0,15.139999999999999,-0.66,37.98,0.0,4889.86,94.09,104.02,-78.72999999999999,0.34,6,2015,,,,,,,,,,,,
2015-09-30,92.81,,,,,,,8.3,0.0,12.390000000000004,-12.27,8.4,0.0,4911.59,112.94,18.32000000000002,-77.53999999999999,0.5,9,2015,,,,,,,,,,,,
2015-12-31,93.35000000000002,,,,,,,8.4,0.0,18.18,9.9,13.17,0.0,4869.39,79.0,113.83999999999997,-79.44,0.67,12,2015,,,,,,,,,,,,
2016-03-31,92.59,,,,,,,9.2,3.39,16.64,-0.33,39.0,0.0,4867.57,80.43,105.02,-79.2,0.17,3,2016,,,,,,,,,,,,
2016-06-30,92.94,,,,,,,9.3,3.39,11.77,-0.36999999999999994,6.72,0.0,4868.25,78.44,46.22000000000001,-78.48,0.34,6,2016,,,,,,,,,,,,
2016-09-30,92.89000000000001,,,,,,,8.8,5.75,15.27,-1.05,9.69,0.0,4868.06,79.12,81.45999999999998,-78.5,0.5,9,2016,,,,,,,,,,,,
2016-12-31,90.85999999999996,,,,,,,8.05,7.77,16.86,-0.5699999999999998,7.12,0.0,4714.95,76.6,75.92000000000002,-78.49000000000001,0.67,12,2016,,,,,,,,,,,,
2017-03-31,57.2,,,,,,,7.15,0.17,12.49,-0.34,20.65,0.0,4689.87,77.3,84.03,-70.5,0.0,3,2017,,,,,,,,,,,,
2017-06-30,57.599999999999994,,,,,,,6.05,0.17,11.790000000000001,-0.43,19.17,0.0,4735.38,77.0,-1.4899999999999949,0.0,0.0,6,2017,,,,,,,,,,,,
2017-09-30,57.959999999999994,,,,,,,5.5,0.17,11.729999999999997,-0.31000000000000005,27.86,0.0,4693.52,78.22,97.99,-89.30000000000001,0.19,9,2017,,,,,,,,,,,,
