,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,cash,total_asset,total_liability,cash_flow_operation,cash_flow_financing,DPS,month,year,EPS,operating_profit,cash_flow_investment,depreciation,dividend,P/E,ROA%,ROAA%,ROE%,ROAE%,ROCE%,number_of_shares,return_old
2008-06-30,,,,,,,,9.3,,24.35,1958.28,1.03,,,0.0,6,2008,,,,,,,,,,,,,
2008-09-30,53.64000000000001,,,,,,,8.1,5.0200000000000005,53.98,1962.8,1.13,73.82000000000016,-44.190000000000055,0.23,9,2008,,,,,,,,,,,,,
2008-12-31,34.209999999999994,,,,,,,6.8,5.119999999999999,28.3,1957.2,1.16,19.269999999999982,-44.960000000000036,0.47,12,2008,,,,,,,,,,,,,
2009-03-31,42.82,,,,,,,6.8,4.85,22.61,1957.3,3.95,27.03,-32.71,0.17,3,2009,,,,,,,,,,,,,
2009-06-30,43.24,,,,,,,6.7,4.870000000000001,35.37,1950.37,1.04,50.83,-38.07,0.37,6,2009,,,,,,,,,,,,,
2009-09-30,43.69999999999999,,,,,,,6.9,4.899999999999999,21.08,1946.64,1.09,23.959999999999994,-38.260000000000005,0.57,9,2009,,,,,,,,,,,,,
2009-12-31,43.74000000000001,,,,,,,7.1,4.950000000000001,15.23,1936.53,1.47,32.41,-38.260000000000005,0.77,12,2009,,,,,,,,,,,,,
2010-03-31,41.49,,,,,,,7.25,4.81,52.62,1972.13,3.8,59.39,-22.0,0.12,3,2010,,,,,,,,,,,,,
2010-06-30,67.55000000000001,,,,,,,7.75,4.89,34.67,1963.15,1.44,36.56999999999999,-54.519999999999996,0.4,6,2010,,,,,,,,,,,,,
2010-09-30,47.17,,,,,,,8.1,4.960000000000001,20.21,2000.56,1.06,29.16000000000001,-43.620000000000005,0.63,9,2010,,,,,,,,,,,,,
2010-12-31,42.349999999999994,,,,,,,8.15,5.079999999999998,6.83,2006.66,1.37,24.879999999999995,-38.260000000000005,0.83,12,2010,,,,,,,,,,,,,
2011-03-31,44.33,,,,,,,8.25,4.87,15.71,1994.64,1.36,47.15,-38.26,0.2,3,2011,,,,,,,,,,,,,
2011-06-30,44.510000000000005,,,,,,,8.6,4.94,45.73,1993.31,1.54,68.27000000000001,-38.26,0.4,6,2011,,,,,,,,,,,,,
2011-09-30,44.389999999999986,,,,,,,8.15,4.969999999999999,48.58,1988.23,1.37,41.11,-38.260000000000005,0.6,9,2011,,,,,,,,,,,,,
2011-12-31,43.59,,,,,,,8.15,5.110000000000001,26.33,1984.56,1.19,16.02000000000001,-38.25999999999999,0.8,12,2011,,,,,,,,,,,,,
2012-03-31,44.71,,,,,,,8.5,4.9,57.61,1998.76,0.94,69.54,-38.26,0.2,3,2012,,,,,,,,,,,,,
2012-06-30,44.669999999999995,,,,,,,9.1,4.93,50.32,2029.46,1.21,30.959999999999994,-38.26,0.4,6,2012,,,,,,,,,,,,,
2012-09-30,44.96000000000001,,,,,,,9.1,5.0,48.34,2060.03,1.34,36.28,-38.260000000000005,0.6,9,2012,,,,,,,,,,,,,
2012-12-31,44.91,,,,,,,9.65,5.110000000000001,43.31,1967.31,1.3,33.22999999999999,-38.25999999999999,0.8,12,2012,,,,,,,,,,,,,
2013-03-31,42.36,,,,,,,9.9,4.28,94.62,1876.04,1.22,89.57,-38.26,0.2,3,2013,,,,,,,,,,,,,
2013-06-30,35.459999999999994,,,,,,,8.05,2.16,106.64,1789.24,1.5,40.72,-28.699999999999996,0.2,6,2013,,,,,,,,,,,,,
2013-09-30,35.10000000000001,,,,,,,6.95,2.12,12.17,1780.22,1.68,-65.77999999999999,-28.690000000000012,0.2,9,2013,,,,,,,,,,,,,
2013-12-31,33.86999999999999,,,,,,,6.3,2.1500000000000004,8.94,1765.72,9.92,25.47,-28.689999999999998,0.2,12,2013,,,,,,,,,,,,,
2014-12-31,-53.709999999999994,,,,,,,3.82,-2.740000000000001,10.17,1799.25,1.81,-69.62,105.21000000000001,0.0,12,2014,,,,,,,,,,,,,
2015-12-31,47.60000000000001,,,,,,,4.84,0.040000000000000036,34.12,1853.64,28.8,60.980000000000004,-38.260000000000005,0.3,12,2015,,,,,,,,,,,,,
2016-12-31,-9.950000000000017,,,,,,,5.3,0.019999999999999574,5.15,1557.98,1.95,6.3799999999999955,-59.3,0.36,12,2016,,,,,,,,,,,,,
