,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2011-12-31,,,,,,,,,,,706.32,188.35,11.78,1640.31,362.01,2163.2,46.6,0.21,1018.06,45.81,1063.86,225.0,1072.9,,,,,,0.0,0.99,4.92,0.0,0.0,,,,,,39.11,38.34,1.61,1.6,12,2011,,225.15447154471545,1107.76
2012-06-30,-1752.29,-483.28,-2.128202664616961,0.0,-783.4900000000001,-693.44,-717.9300000000001,,-1058.8400000000001,-664.5300000000001,1499.92,194.7,10.54,2138.49,381.42,2670.28,32.18,0.22,529.67,52.65,582.32,303.25,2068.75,-599.98,238.90000000000003,1620.73,-24.490000000000002,-0.0,0.0,0.28,2.75,0.0,0.0,-72.40532410965923,-0.0,-93.45518319241609,-0.0,-100.04874199333845,56.32,54.94,4.04,4.02,6,2012,0.0,227.08363636363637,624.48
2012-09-30,440.91999999999985,191.60000000000002,0.7583423193804529,1.0,245.18000000000006,191.24,200.1400000000001,39.0,249.67999999999995,196.16000000000008,1278.57,164.32,14.21,1859.15,415.39,2424.51,32.93,0.22,388.48,53.37,441.85,303.25,1962.04,124.26000000000002,-42.75000000000003,-302.86,8.899999999999999,12.852408141962421,6.03,0.23,3.23,1.0,0.31,31.610900892069402,0.0,39.05815116165083,0.0,40.72979119694148,52.49,51.73,4.79,4.75,9,2012,252.65634674922603,252.65634674922603,816.08
2012-12-31,569.28,207.3499999999999,0.782047624165795,0.04707356785318741,378.82000000000005,309.95000000000005,319.71000000000004,38.25,259.32000000000005,283.7499999999999,1337.33,237.19,17.02,1878.04,478.1,2497.69,40.98,0.8,253.11,32.58,285.68,303.25,2183.1,340.77,-281.67,-0.3200000000000003,9.759999999999998,12.22834735953702,5.31,0.13,3.86,1.0,0.26,33.21068563555884,41.48499262284668,37.99211670558806,50.94250119695532,43.0734002325513,48.79,47.67,7.42,7.35,12,2012,12.480958950255854,265.1373056994819,1023.43
2013-03-31,499.78,135.35,0.45,0.0,200.9,168.08,177.9,59.75,331.7,145.81,1436.74,269.44,51.25,2129.29,513.86,2891.56,119.98,1.62,474.87,35.13,510.0,304.23,2344.28,133.61,-44.84,10.63,9.82,33.195,7.75,0.22,0.45,0.0,0.0,18.72,0.0,23.08,0.0,27.8,28.34,27.08,4.48,4.38,3,2013,0.0,300.77777777777777,135.35
2013-06-30,578.47,156.92,0.5154247784582748,1.5,219.59,184.06999999999996,195.34,40.25,394.41,174.88,1025.7,266.78,47.22,1689.02,561.44,2499.77,102.46,1.76,381.21,36.3,417.52,304.23,2050.34,11.47999999999999,44.03,-466.54,11.27,19.52409046010706,5.97,0.2,0.96,1.5,1.56,25.10548191740514,29.250356177507097,30.60334622096007,30.474490026345503,35.693165908235535,27.92,27.11,4.43,4.31,6,2013,456.671875,304.4479166666667,292.27
2013-09-30,775.06,349.83000000000004,1.1495737424077248,1.14933397251207,441.51,393.9200000000001,405.70000000000005,34.25,381.13,386.60999999999996,660.05,303.47,42.39,1678.47,569.37,2495.2,65.36,2.25,358.56,38.2,396.76,305.22,2065.82,-5.219999999999999,-18.080000000000002,-342.34999999999997,11.779999999999998,7.447390875568133,5.06,0.19,2.11,2.65,1.26,56.07304718891139,66.09776608004984,67.73223111664849,69.47566048902041,76.10069210403366,35.39,34.65,4.68,4.56,9,2013,349.75703495260666,304.3127962085308,642.1
2013-12-31,841.54,275.98,0.904822891251307,0.006057185694769934,389.03999999999996,425.32000000000005,436.8799999999999,32.25,416.22,307.38,911.97,309.14,35.9,2172.84,594.36,2956.97,49.52,2.27,511.62,38.92,550.55,305.22,2372.5,265.06,-38.019999999999996,-0.32000000000005,11.560000000000002,8.907019349228205,4.15,0.23,3.01,2.65,0.88,37.33521697455559,51.64404409201813,46.53374869292437,48.46964883234577,57.596035203903796,36.17,34.07,4.25,4.18,12,2013,1.8475020075263728,305.0099667774087,918.08
2014-03-31,579.49,127.39,0.42000000000000004,0.0,208.65,157.29,167.36,35.75,422.2,150.13,1204.34,234.14,38.48,2220.36,603.81,3013.66,100.81,2.3,432.9,39.49,472.39,306.22,2505.26,308.9,-18.55,10.58,10.07,21.28,4.37,0.19,0.42,0.0,0.0,16.92,21.32,20.32,21.0,24.36,22.26,21.98,5.13,5.04,3,2014,0.0,303.3095238095238,127.39
2014-06-30,784.1199999999999,291.12,0.9529865475137991,1.55,358.14,325.28,336.61,34.5,458.84,319.37,537.4,290.92,65.87,1891.81,622.16,2702.91,133.99,2.62,316.56,40.66,357.22,306.22,2320.67,-155.95999999999998,-18.970000000000002,-488.2,11.329999999999998,9.049603084638637,4.55,0.15,1.37,1.55,1.13,43.072209505149225,51.61430790184225,50.16743781510598,53.28377338653795,56.260986834245294,30.99,30.69,5.98,5.77,6,2014,473.49671532846713,305.4817518248175,418.51
2014-09-30,699.1200000000001,228.27999999999997,0.7447097203110746,1.0053285156804128,323.26,281.46999999999997,293.27,36.25,417.6600000000001,277.69000000000005,575.51,344.08,36.43,1755.08,648.96,2591.56,80.72,2.66,281.25,41.13,322.39,307.2,2243.53,385.45,-38.60999999999999,-296.68999999999994,11.800000000000004,12.169103951287893,4.96,0.14,2.11,2.55,1.21,35.23782866154393,42.40963032823636,40.701386230461196,42.381394888603715,46.68729943258244,31.61,31.36,6.24,6.11,9,2014,308.1689244819593,306.53554502369667,646.79
2014-12-31,595.3400000000001,206.34000000000003,0.672377246140682,0.0028729751937154897,240.76,254.1500000000001,268.02,29.75,341.18000000000006,184.63,860.14,339.1,34.54,1904.41,640.61,2734.81,40.28,2.67,217.56,47.75,265.31,307.2,2440.34,652.7400000000001,-359.08,-0.9300000000000637,13.869999999999997,11.06001138896966,3.75,0.11,2.78,2.55,0.92,30.184417380703998,34.615335060307345,33.82202665478884,34.2960767995499,39.13332317466272,33.17,32.1,8.75,8.59,12,2014,0.881662347846941,306.8812949640288,853.13
2015-03-31,429.46,97.52,0.32,0.0,169.86,124.1,137.47,31.0,305.36,115.32,975.76,263.69,92.0,2054.86,646.74,2830.87,23.65,2.62,212.3,50.15,262.45,308.54,2537.88,136.56,-17.99,14.21,13.37,24.22,3.77,0.1,0.32,0.0,0.0,13.76,17.0,15.36,15.48,18.96,23.18,22.71,9.68,9.25,3,2015,0.0,304.75,97.52
