,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,current_asset,property_plant_equipment,total_asset,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2015-03-31,173.8,11.53,0.03,0.0,37.78,15.4,18.23,,158.39,13.38,84.52,131.7,244.8,142.15,389.24,49.08,15.32,79.36,25.53,104.89,225.0,284.35,4.82,7.53,-8.67,2.83,0.0,0.0,0.37,0.03,0.0,0.0,11.84,0.0,16.2,0.0,19.88,6.71,6.63,45.29,3.08,3.08,3,2015,0.0,384.3333333333333,11.53
2015-06-30,176.84999999999997,15.840000000000002,0.03472415052977713,0.0,44.39,21.35,24.819999999999997,,155.51,19.049999999999997,39.64,145.42,224.31,142.77,370.2,50.9,14.69,81.9,25.33,107.23,225.0,262.98,7.890000000000001,-13.32,-39.44,3.4699999999999998,0.0,0.0,0.41,0.06,0.0,0.0,17.107431494336865,0.0,24.09856046766533,0.0,29.515527950310563,7.9,7.81,50.34,2.74,2.74,6,2015,0.0,456.1666666666667,27.37
2015-09-30,168.54000000000008,12.370000000000001,0.024901862103673882,0.0,43.58,16.46,19.900000000000006,2.66,152.08000000000004,15.11,50.17,145.56,535.14,139.99,678.14,47.32,14.32,75.97,22.35,98.32,300.0,579.82,12.18,-300.75,299.09,3.4400000000000004,26.704830234438155,1.38,0.17,0.08,0.0,0.0,7.296245596376448,0.0,8.528887770508305,0.0,11.006623049823855,7.74,7.65,50.2,7.04,7.04,9,2015,0.0,496.75,39.74
2015-12-31,170.28999999999996,20.85,0.04129394289486714,0.0,47.77000000000001,20.830000000000005,24.340000000000003,2.82,149.46000000000004,18.550000000000004,94.44,133.87,528.25,159.8,695.6,49.93,14.48,75.15,19.67,94.82,300.0,600.78,29.82,18.27000000000004,-3.819999999999993,3.51,17.072721822541965,1.41,0.16,0.12,0.0,0.0,11.989008087143095,0.0,13.888529460306982,0.0,16.4212246245255,8.89,8.79,54.44,7.03,7.03,12,2015,0.0,504.9166666666667,60.59
2016-03-31,160.97,9.84,0.02,0.07,41.8,11.22,15.84,2.96,149.75,10.8,89.03,150.34,541.73,160.61,712.99,58.72,13.52,84.56,17.94,102.49,300.0,610.5,5.0,-6.52,-3.89,4.62,37.0,1.45,0.17,0.02,0.07,3.5,5.52,8.16,6.44,8.8,7.16,6.13,6.11,44.88,6.41,6.41,3,2016,34.440000000000005,492.0,9.84
2016-06-30,220.51000000000002,15.84,0.024672897196261683,0.016355140186915886,52.2,21.060000000000002,25.34,2.82,199.44,18.64,59.79,206.76,530.06,156.77,699.33,73.92,11.99,98.4,16.82,115.21,300.0,584.12,-21.76,38.33,-45.81,4.28,28.573863636363637,1.45,0.2,0.04,0.07,1.75,9.054953271028037,14.902429906542055,10.85607476635514,14.95177570093458,13.249345794392523,6.78,6.73,70.17,5.39,5.39,6,2016,10.5,642.0,25.68
2016-09-30,312.0799999999999,23.740000000000002,0.03842978551193849,-0.0027478753541076454,79.24000000000001,33.91,38.07,2.98,278.17,30.459999999999997,101.74,295.66,501.33,156.66,936.01,113.45,9.62,148.6,16.54,165.14,325.95,751.52,20.340000000000003,26.070000000000004,-3.809999999999995,4.16,19.386004633529904,1.29,0.22,0.08,0.07,0.88,10.145463375151762,15.75621205989478,12.643399433427762,14.257450424929178,16.159724807770136,7.19,7.13,105.06,3.37,3.37,9,2016,-1.697499999999998,617.75,49.42
2016-12-31,342.08000000000015,27.760000000000005,0.04316144078776885,0.002766260689297748,87.75,33.24000000000001,44.34,3.6,308.85,26.369999999999997,173.52,277.9,545.47,150.72,1067.16,119.02,7.15,153.81,51.06,204.88,325.95,777.22,67.27,9.889999999999993,-3.8000000000000043,11.1,20.85194524495677,1.51,0.26,0.12,0.07,0.58,10.401907229852295,16.22870173620109,14.28643690075149,16.11360456076704,15.667603005960094,7.55,7.45,132.57,3.55,3.55,12,2016,1.7791666666666686,643.1666666666667,77.18
2017-03-31,330.36,24.18,0.04,0.08,87.37,34.71,41.75,3.74,295.65,33.58,174.61,309.27,580.53,151.74,1091.54,120.16,5.29,156.97,50.56,207.53,325.95,800.92,4.62,5.46,-8.35,7.04,23.375,1.52,0.26,0.04,0.08,2.0,8.88,15.4,12.08,13.72,14.84,7.34,7.32,433.88,3.7,3.7,3,2017,48.36,604.5,24.18
2017-06-30,356.58000000000004,25.6,0.04114102049015669,0.0022820409803133816,84.1,38.01,45.11,4.36,318.57000000000005,37.129999999999995,126.71,346.82,560.56,149.46,1066.65,120.23,3.21,164.11,50.9,215.0,325.95,774.93,0.7800000000000002,5.420000000000001,-54.49,7.1000000000000005,26.494238281250002,1.83,0.28,0.08,0.08,1.0,9.606428284451589,16.950100441944556,13.206267577340297,15.078184009642428,16.579831257533147,7.27,7.25,559.38,3.42,3.42,6,2017,1.4200000000000017,622.25,49.78
2017-09-30,371.5,27.950000000000003,0.043149363180239285,0.003149363180239299,89.17999999999998,37.739999999999995,44.66000000000001,4.48,333.76,35.74000000000001,189.8,320.75,610.6,145.69,1110.57,143.3,1.98,175.15,51.21,226.36,325.95,802.82,78.96,-8.280000000000001,-7.209999999999994,6.919999999999998,25.95403309481216,1.82,0.28,0.12,0.08,0.67,10.068184742055834,15.519387623826065,13.922861186157212,14.383121060079764,16.986465971954203,7.37,7.34,649.76,3.49,3.49,9,2017,2.0400000000000063,647.7500000000001,77.73
