,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,total_asset,total_liability,cash_flow_operation,cash_flow_financing,DPS,month,year,EPS,cash_flow_investment,depreciation,dividend,P/E,ROA%,ROAA%,ROE%,ROAE%,ROCE%,number_of_shares,return_old
2008-09-30,,,,,,,,8.8,,,0.13,0.0,2157.22,151.2,,,0.0,9,2008,,,,,,,,,,,,
2008-12-31,31.929999999999993,,,,,,,9.0,2.2099999999999995,-0.06,0.02,0.0,2188.66,152.92,-0.11000000000012733,0.0,0.0,12,2008,,,,,,,,,,,,
2009-03-31,31.32,,,,,,,8.9,2.24,-0.09,0.34,0.0,2221.4,135.33,-1893.92,1894.26,0.36,3,2009,,,,,,,,,,,,
2009-06-30,108.36000000000001,,,,,,,8.7,7.9,0.09,0.15,15.54,2269.45,153.65,-0.1899999999998272,0.0,0.36,6,2009,,,,,,,,,,,,
2009-09-30,-105.11000000000001,,,,,,,8.9,-7.760000000000001,0.0,2.45,9.27,2226.1,136.9,1955.1999999999998,-1953.05,0.66,9,2009,,,,,,,,,,,,
2009-12-31,34.63,,,,,,,8.5,2.42,-0.29,0.42,16.24,2271.6,150.2,-2.030000000000001,0.0,0.66,12,2009,,,,,,,,,,,,
2010-03-31,103.0,,,,,,,8.25,7.11,-0.42,2.53,5.78,2091.74,85.24,125.57,-123.19,0.33,3,2010,,,,,,,,,,,,
2010-06-30,34.19,,,,,,,8.3,2.3500000000000005,-0.19,4.21,14.13,2187.1,148.75,1.6700000000000017,0.0,0.33,6,2010,,,,,,,,,,,,
2010-09-30,-99.96000000000001,,,,,,,8.15,-6.9,0.61,3.78,11.72,2099.44,89.76,-64.34,59.86,0.65,9,2010,,,,,,,,,,,,
2010-12-31,37.25000000000001,,,,,,,6.5,2.5799999999999996,0.0,2.04,19.24,2141.72,97.37,-1.740000000000002,0.0,0.65,12,2010,,,,,,,,,,,,
2011-03-31,113.24,,,,,,,5.75,9.99,-3.47,4.66,6.65,2035.4,34.48,133.13,-132.68,0.35,3,2011,,,,,,,,,,,,
2011-06-30,36.64,,,,,,,4.8,2.34,3.47,8.49,15.7,2061.28,26.07,3.8300000000000125,0.0,0.35,6,2011,,,,,,,,,,,,
2011-09-30,-112.82,,,,,,,4.46,-9.94,-0.2,7.06,8.55,2035.2,33.51,-70.19000000000001,64.48,0.7,9,2011,,,,,,,,,,,,
2011-12-31,37.09,,,,,,,4.5,2.4099999999999997,0.2,7.33,13.52,2064.12,27.76,0.28000000000000114,0.0,0.7,12,2011,,,,,,,,,,,,
2012-03-31,111.22,,,,,,,5.2,7.59,0.0,5.24,3.97,2007.09,4.78,134.3,-137.55,0.35,3,2012,,,,,,,,,,,,
2012-06-30,35.879999999999995,,,,,,,5.85,1.58,0.0,1.95,7.74,2037.57,0.98,-3.2900000000000205,0.0,0.35,6,2012,,,,,,,,,,,,
2012-09-30,-129.54999999999998,,,,,,,7.15,-4.43,0.0,4.58,5.14,1989.2,8.38,-59.8,68.97000000000001,0.7,9,2012,,,,,,,,,,,,
2012-12-31,17.51,,,,,,,7.3,3.75,0.0,28.29,5.14,1997.6,3.02,23.710000000000008,0.0,0.7,12,2012,,,,,,,,,,,,
2013-03-31,52.84,,,,,,,6.0,10.1,0.0,1.35,5.14,2001.91,13.72,94.55,-95.14,0.14,3,2013,,,,,,,,,,,,
2013-06-30,22.83,,,,,,,5.6,1.2300000000000004,0.0,4.55,5.14,2026.59,16.8,3.200000000000003,-0.010000000000005116,0.14,6,2013,,,,,,,,,,,,
2013-09-30,-57.8,,,,,,,5.5,-8.99,0.0,1.27,5.14,2006.68,13.74,-68.65,62.77,0.3,9,2013,,,,,,,,,,,,
2013-12-31,17.76,,,,,,,5.2,3.13,-1.27,1.54,5.14,2027.56,19.95,0.2699999999999996,0.0,0.3,12,2013,,,,,,,,,,,,
2014-03-31,53.54,,,,,,,5.35,7.96,0.0,5.77,0.0,2156.24,36.84,62.29,-61.07,0.15,3,2014,,,,,,,,,,,,
2014-06-30,21.779999999999994,,,,,,,5.1,2.2299999999999995,-1.68,2.85,0.0,2168.81,29.89,-2.9200000000000017,0.0,0.15,6,2014,,,,,,,,,,,,
2014-09-30,-57.38999999999999,,,,,,,5.45,-6.949999999999999,1.68,3.93,0.0,2146.24,25.06,-25.869999999999997,28.65,0.31,9,2014,,,,,,,,,,,,
2014-12-31,17.78,,,,,,,5.1,5.970000000000001,-4.78,23.61,0.0,2162.87,29.86,19.68,0.0,0.31,12,2014,,,,,,,,,,,,
2015-03-31,53.46,,,,,,,5.25,11.78,0.0,50.09,0.0,2180.62,37.1,109.34,-62.09,0.15,3,2015,,,,,,,,,,,,
2015-06-30,43.04,,,,,,,5.6,2.26,-5.21,25.72,0.0,2227.76,43.46,-24.38000000000001,0.0,0.15,6,2015,,,,,,,,,,,,
2015-09-30,-77.64,,,,,,,5.65,-11.91,5.21,74.9,0.0,2197.37,41.75,9.620000000000005,16.700000000000003,0.38,9,2015,,,,,,,,,,,,
2015-12-31,18.660000000000004,,,,,,,6.05,2.4299999999999997,-0.55,96.21,0.0,2212.38,40.52,21.310000000000002,0.0,0.38,12,2015,,,,,,,,,,,,
2016-03-31,56.22,,,,,,,6.3,7.41,-1.4,28.52,0.0,2232.48,46.43,78.85,-76.04,0.16,3,2016,,,,,,,,,,,,
2016-06-30,63.86,,,,,,,6.5,4.35,-2.33,19.19,0.0,2285.1,49.92,-9.329999999999998,-0.009999999999990905,0.16,6,2016,,,,,,,,,,,,
2016-09-30,-101.09,,,,,,,6.55,-7.2,1.2399999999999998,13.38,0.0,2236.32,50.41,-12.449999999999996,13.169999999999995,0.48,9,2016,,,,,,,,,,,,
2016-12-31,18.84,,,,,,,6.7,4.2299999999999995,-2.21,33.84,0.0,2254.35,54.28,20.449999999999996,0.0,0.48,12,2016,,,,,,,,,,,,
2017-03-31,56.69,,,,,,,7.2,11.11,-5.01,100.8,0.0,2286.88,60.69,176.91,-95.3,0.17,3,2017,,,,,,,,,,,,
2017-09-30,-37.67,,,,,,,8.1,-8.649999999999999,5.01,18.74,0.0,2293.52,55.71,-116.53999999999999,20.629999999999995,0.55,9,2017,,,,,,,,,,,,
