,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2013-03-31,77.43,-51.91,-0.04,0.0,11.12,-37.06,-21.96,,114.49,-58.64,254.04,0.34,269.66,563.3,1044.09,4291.72,0.0,68.76,40.5,1022.88,2427.52,3450.4,1454.27,841.32,125.67,-145.66,139.38,15.1,0.0,0.0,4.1,-0.04,-4.84,0.0,-24.68,0.0,-4.52,-106.59,-67.04,-3.87,0.55,0.29,3,2013,0.0,1297.75,-51.91
2013-06-30,64.32999999999998,-83.77000000000001,-0.05556677476415094,0.0,12.950000000000001,-75.78999999999999,-63.169999999999995,,140.12,-93.46,297.97,0.33,268.1,633.47,234.34,4554.6,0.0,213.05,16.5,1107.22,2689.84,3797.06,1454.27,757.55,-23.78,-62.02000000000001,129.74,12.62,0.0,0.0,5.01,-0.09,-7.359510613207548,0.0,-44.231152712264155,0.0,-8.075704599056603,-153.47,-95.71,-3.49,0.57,0.33,6,2013,0.0,1507.5555555555557,-135.68
2013-09-30,75.86000000000001,-635.22,-0.4037589830068751,0.0,29.589999999999996,-41.83000000000001,-38.81,2.14,117.69,-34.71000000000001,1059.77,0.33,222.03,1346.94,452.44,8362.69,232.86,389.34,1.8,1149.78,5017.1,6166.88,2054.27,2774.52,-706.36,72.09,1396.06,3.0199999999999996,-1.325852854129278,1.58,2.22,-0.49,-30.389043455701135,0.0,-91.56264937086523,0.0,-7.053422233752758,-469.86,-354.24,-0.35,1.17,0.98,9,2013,0.0,1573.265306122449,-770.9
2013-12-31,127.46999999999997,-24.470000000000027,-0.014459811157071567,0.0,45.64,-607.0699999999999,-602.5799999999999,1.49,734.54,-19.460000000000008,1039.28,13.35,422.8,1537.27,723.59,8576.57,244.86,201.71,1.84,912.12,5516.71,6428.83,2054.27,2750.05,235.39000000000004,-583.9399999999999,328.05999999999995,4.489999999999998,-25.759326726603977,1.11,2.34,-0.47,-1.1407868036259865,0.0,-3.558959477978806,0.0,-1.223238492776948,-276.73,-230.48,-1.61,1.69,1.22,12,2013,0.0,1692.276595744681,-795.37
2014-03-31,5.51,-55.74,-0.03,0.0,-1.55,-77.6,-73.72,1.69,83.11,-71.68,709.6,6.39,4631.47,5667.86,1930.89,10273.02,234.14,218.38,1.87,2329.01,5873.55,8202.56,2054.27,2694.32,-207.03,-611.44,488.78,3.88,-14.082500000000001,1.29,3.04,-0.03,-2.16,-4.28,-8.28,-12.6,-3.92,-1359.51,-1011.62,-1.63,2.43,0.44,3,2014,0.0,1858.0000000000002,-55.74
2014-06-30,47.45,-79.13,-0.041069919181433975,0.0,-6.16,-72.6,-59.34,2.04,120.05999999999999,-95.06,961.5,17.99,4815.82,6688.95,1949.71,11685.19,234.79,220.83,2.36,3873.25,5847.22,9720.47,2054.27,2615.18,-268.85,-824.54,1345.3,13.260000000000002,-12.416630228737521,1.6,3.72,-0.07,-2.698880403351375,-4.341677170608734,-12.109759027211389,-18.77482019722696,-4.5059568473344696,-881.5,-254.66,-1.48,1.73,0.48,6,2014,0.0,1926.7142857142856,-134.87
2014-09-30,14.399999999999999,-144.99,-0.07253126563281641,0.0,-9.489999999999998,-156.09000000000003,-137.68,3.88,170.48,-149.88,1424.37,28.45,5061.35,7242.65,1978.55,13430.14,235.0,394.62,2.78,4278.68,7368.25,11646.93,2054.27,2470.19,-72.38999999999999,-883.3000000000002,1418.5500000000002,18.409999999999997,-13.371474929305469,3.23,4.71,-0.14,-4.310429500464519,-5.823224469377546,-23.479406846280284,-22.111674408632886,-6.942278281998142,-1093.2,-415.47,-1.71,1.69,0.51,9,2014,0.0,1999.0,-279.86
2014-12-31,540.27,-98.90999999999997,-0.047004250600628336,0.0,252.48,-72.23999999999995,-32.70999999999998,3.16,612.51,-57.93000000000001,519.03,76.8,5862.58,7583.19,1836.7,19236.7,1362.93,715.76,1849.09,7667.13,9913.7,17580.84,2054.27,2380.91,-260.23,-5819.18,5176.8,39.53,-16.811245576786984,2.73,7.38,-0.18,-2.057741637405285,-2.841145814082424,-16.61861393457771,-15.417394197006095,-3.415642210312326,-75.37,-62.34,-1.21,0.99,0.22,12,2014,0.0,2104.277777777778,-378.77
2015-03-31,700.25,-391.85,-0.19,0.0,323.97,-325.8,-258.23,3.46,1026.05,-343.23,567.5,84.27,6176.34,7837.21,1493.17,21266.2,2281.56,615.82,4264.36,12088.49,7979.13,20067.62,2054.27,1969.57,-1547.56,-122.56,1718.58,67.57,-4.5525,3.61,10.19,-0.19,-7.36,-8.28,-79.6,-67.2,-14.199999999999998,-58.5,-55.96,-1.73,0.65,0.14,3,2015,0.0,2062.3684210526317,-391.85
2015-06-30,860.6199999999999,-512.2099999999999,-0.2039638962015795,0.0,376.91999999999996,-401.91,-322.69999999999993,2.92,1262.53,-418.97,592.52,71.47,6772.42,8538.75,1958.36,22362.5,1200.89,560.47,8437.82,16078.05,3370.16,19448.21,3261.68,2914.29,-766.1700000000001,-384.94,1169.3600000000001,79.21000000000001,-3.5785745104546964,3.27,6.67,-0.36,-9.15571267393757,-9.676953742008271,-70.29955622414441,-74.1068822865739,-26.243354644603233,-60.25,-57.92,-0.64,0.53,0.11,6,2015,0.0,2511.277777777778,-904.06
