,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,TIE,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2002-12-31,3318.9400000000005,14087.740000000002,152.2137178903023,0.0,550.98,423.27,554.62,0.4,0.0,2895.67,-46.89999999999998,277.04,423.69,480.04,1340.89,1808.88,3887.39,80.1,552.28,453.1,1399.98,4708.86,6108.84,2981.73,-2258.56,238.21,-80.48000000000002,-195.22,131.35000000000002,0.0,-0.53,-2.7,144.65,1449.5923208915647,40.4500194656289,-2494.9790882675893,-558.8079692254831,64.6105930070139,246.43,219.62,0.0,0.96,0.61,12,2002,0.0,92.55236778430695,13387.7
2003-06-30,-3687.3500000000004,-13477.02,-45.2654052843708,0.0,-640.09,-391.23999999999995,-580.0400000000001,0.4,0.75,-3296.11,184.62,323.79,390.68,498.71,1322.24,1738.32,3718.41,101.89,584.54,614.27,1651.72,3966.69,5618.41,3439.25,-1934.34,-133.8,328.94,0.20000000000000284,-188.8,-0.0022036696539739493,-0.71,-2.9,-0.3,-1448.4929690998658,-144.84929690998658,2788.3489655172416,525.0787012987014,-277.62781907747427,-3.85,-3.71,0.0,0.8,0.5,6,2003,0.0,297.73333333333335,-89.32
2003-12-31,2784.33,-38.010000000000005,-0.12537658053875758,0.0,437.9200000000001,40.11,196.67999999999998,0.4,-7.04,2744.23,-92.58,311.41,416.76,361.62,1190.51,1735.41,3709.36,45.15,566.93,482.38,1330.82,4187.47,5518.29,3439.25,-1845.68,132.14,-167.11,22.71,156.57,-0.7956031307550643,-0.75,-2.99,-0.42,-4.095634964266081,0.9671907641561299,8.23903243540407,7.403188565145685,1.5403408466190218,-2.56,-2.45,0.0,0.89,0.62,12,2003,0.0,303.1666666666667,-127.33
2004-06-30,-2630.0699999999997,91.82,0.2844325542100816,0.0,-447.62000000000006,-18.779999999999998,-170.72999999999996,0.4,8.61,-2611.3,89.82,129.54,390.16,393.6,1069.9,1786.54,3471.49,68.19,571.71,454.9,1319.34,4113.11,5432.45,3439.25,-1996.72,-257.74,34.77000000000001,6.710000000000001,-151.95,0.35192877368764974,-0.69,-2.72,-0.11,10.549862010701212,-3.4131906505209804,-18.41054350887074,-18.720833568009013,-5.688651084201633,-1.45,-1.39,0.0,0.81,0.51,6,2004,0.0,322.8181818181818,-35.51
2004-12-31,2587.0999999999995,43.43,0.10967171717171717,0.0,446.32,99.77,289.32,0.4,0.0,2487.34,-46.47,225.55,344.84,293.03,999.7,1678.83,3195.68,71.58,461.6,474.4,1224.97,3862.35,5087.32,3878.47,-1922.52,149.66,359.65999999999997,-419.44,189.55,0.9118121114437026,-0.81,-2.65,0.02,5.483585858585859,70.8479292929293,-8.993080808080808,-9.212424242424243,124.14838383838384,0.16,0.15,0.0,0.82,0.58,12,2004,0.0,396.0,7.92
2005-06-30,-3026.9099999999994,-15.68,-0.04041237113402062,0.0,-442.16999999999996,-76.16,-255.79000000000002,0.4,-3.55,-2950.76,110.19,191.51,317.54,226.72,880.95,1519.55,2886.8,74.12,383.2,478.48,1135.6,3675.11,4810.71,3878.47,-1949.93,-40.81,-149.99,248.76,-179.63000000000002,-2.4744897959183674,-0.8,-2.47,-0.02,-2.1822680412371134,8.971546391752579,3.2329896907216495,3.1521649484536085,16.32659793814433,-0.38,-0.37,0.0,0.78,0.58,6,2005,0.0,388.0,-7.76
2005-12-31,1757.1799999999998,823.98,2.2007257847149058,0.0,313.6,387.88,517.2,0.4,-3.13,1369.3000000000002,-10.649999999999999,80.75,67.97,552.22,784.16,719.91,1565.53,23.61,13.62,721.66,816.94,541.16,1358.1,8000.0,207.4,184.47000000000003,-96.07,-193.02999999999997,129.32,0.04457620330590548,15.43,6.55,2.18,210.54283011933057,71.79615495822206,1589.1662983019285,-384.3395966773664,228.31015755556098,24.25,21.04,0.0,0.96,0.28,12,2005,0.0,374.4128440366972,816.22
2006-03-31,131.58,2.63,0.0,0.0,39.97,16.52,57.62,0.4,0.0,115.07,-11.86,76.85,59.39,544.92,788.92,691.61,1538.91,22.82,21.58,716.3,817.53,515.92,1333.45,8000.0,205.44,43.66,19.82,-67.38,41.1,0.0,15.58,6.49,0.0,0.68,0.0,5.12,0.0,9.16,2.55,2.0,0.0,0.97,0.3,3,2006,0.0,inf,2.63
2006-06-30,118.53999999999999,8.510000000000002,0.0076391382405745075,0.0,34.599999999999994,19.8,63.6,0.4,-3.37,98.73000000000002,-5.350000000000001,29.83,48.68,0.31,760.84,715.09,1523.83,22.04,18.06,714.61,784.83,528.49,1313.32,8000.0,210.48,34.040000000000006,-9.24,-71.82,43.800000000000004,13.090481786133958,15.2,6.24,0.01,2.2306283662477564,5.041831238779175,16.16441651705566,-3.9112387791741474,15.003267504488333,5.57,4.45,0.0,0.97,0.97,6,2006,0.0,1114.0,11.14
2006-09-30,132.32999999999998,7.300000000000001,0.007917570498915403,0.0,38.860000000000014,29.889999999999993,75.25999999999999,1.68,0.0,102.44,-3.0,62.54,45.92,0.31,728.38,705.01,1481.65,21.4,18.37,671.06,731.18,525.85,1257.03,8000.0,224.59,41.31999999999999,63.34,-71.95000000000002,45.370000000000005,53.04657534246575,59.84,5.6,0.02,1.9635574837310197,0.0,13.000650759219091,0.0,13.96659436008677,6.14,4.82,0.0,1.0,1.0,9,2006,0.0,922.0,18.44
2006-12-31,332.15000000000003,228.16,0.2868191403081914,0.0,36.68000000000001,234.60000000000002,277.72,0.78,-5.71,97.55000000000001,-2.4499999999999993,26.07,43.8,0.15,309.03,692.16,1054.49,20.67,17.97,335.02,392.94,515.79,908.72,8000.0,145.74,42.45,-15.990000000000002,-61.43999999999997,43.119999999999976,0.6809169004207574,42.82,6.24,0.31,86.56386699107867,84.97248337388484,626.2279578264396,516.8665952960259,168.27956528791566,62.14,34.51,0.0,0.79,0.79,12,2006,0.0,795.483870967742,246.6
2007-03-31,108.43,4.47,0.01,0.0,38.38,14.88,49.56,2.2,-0.94,93.55,1.36,25.24,47.49,142.68,311.7,700.2,1064.24,19.89,16.1,335.48,397.96,516.58,914.54,8000.0,149.69,22.73,35.98,-59.53,34.68,55.0,117.58,6.11,0.01,1.68,4.559999999999999,11.96,10.08,8.92,4.66,4.12,0.0,0.78,0.42,3,2007,0.0,446.99999999999994,4.47
2007-06-30,107.12,0.20999999999999996,0.0004487179487179487,0.0,35.51,14.069999999999999,48.14999999999999,1.57,0.0,93.05,0.45999999999999996,32.1,42.38,0.14,307.93,697.01,1054.11,19.09,16.0,339.42,392.93,511.78,904.72,8000.0,149.39,31.889999999999997,30.85,-55.89,34.080000000000005,874.7142857142859,84.08,6.06,0.01,0.07897435897435898,0.4038461538461538,0.5617948717948718,0.4666666666666666,0.786153846153846,2.48,2.17,0.0,0.78,0.78,6,2007,0.0,467.99999999999994,4.68
2007-09-30,108.00999999999999,2.9000000000000004,0.0038258575197889187,0.0,33.349999999999994,15.27,48.000000000000014,1.27,0.0,92.72999999999999,-3.17,70.19,47.57,0.14,343.75,676.14,1067.45,18.32,20.86,350.89,409.74,505.94,915.68,8000.0,151.76,29.380000000000003,59.489999999999995,-50.769999999999996,32.72999999999999,82.98793103448274,66.95,6.03,0.01,1.0865435356200528,5.31029023746702,7.636411609498682,6.167282321899737,10.283905013192612,2.73,2.34,0.0,0.84,0.84,9,2007,0.0,758.0,7.58
2007-12-31,238.99999999999994,124.86,0.1602703110842646,0.0,32.230000000000004,144.33,168.37999999999997,1.15,-3.3,94.68,-10.99,43.13,43.94,0.13,171.41,646.1,921.91,15.84,17.1,237.23,302.48,389.74,692.22,8000.0,229.68,31.450000000000003,-48.11999999999999,-10.390000000000015,24.05000000000001,1.7925965080890598,40.06,3.01,0.17,54.190220477197215,71.95194201147689,217.43967381455755,266.0864270613108,114.79125339776503,36.29,23.54,0.0,0.57,0.57,12,2007,0.0,779.0588235294117,132.44
2008-03-31,105.37,2.35,0.0,0.0,32.8,14.59,47.89,1.01,-2.35,90.78,-4.01,28.84,47.16,0.13,167.98,735.71,953.69,13.4,34.23,235.33,327.51,402.0,729.51,8000.0,224.17,19.32,18.09,-51.71,33.3,0.0,36.04,3.25,0.0,1.0,5.8,4.2,5.04,9.32,2.64,2.23,0.0,0.51,0.51,3,2008,0.0,inf,2.35
2008-06-30,101.37,-0.6100000000000001,-0.0,0.0,32.980000000000004,12.66,46.459999999999994,0.73,-2.79,88.71000000000001,1.13,35.39,55.84,0.08,155.09,786.04,989.88,10.95,21.32,238.9,302.36,463.95,766.31,800.0,223.56,2.789999999999999,39.8,-36.029999999999994,33.8,-0.0,2.61,3.43,0.0,-0.2524137931034483,-3.7441379310344836,-1.093793103448276,-1.3041379310344832,-5.553103448275864,0.97,0.84,0.0,0.51,0.51,6,2008,0.0,inf,1.74
2008-09-30,110.38999999999999,8.23,0.008254764292878636,0.0,32.44,17.369999999999997,50.33000000000001,0.51,-3.42,93.01999999999998,2.0999999999999996,15.74,52.5,0.08,110.42,920.15,1074.3,7.04,21.93,233.87,336.72,505.79,842.51,800.0,231.79,38.75,-33.49,-24.91000000000001,32.96000000000001,15.445625759416767,1.76,3.63,0.01,3.0707723169508525,13.768946840521565,14.198194583751253,17.169909729187562,19.976529588766297,3.62,3.14,0.0,0.33,0.33,9,2008,0.0,997.0,9.97
2008-12-31,112.88,-13.83,-0.03582901554404145,0.0,30.22,-3.0700000000000003,40.22,0.3,-2.72,115.94999999999999,-14.9,17.12,47.26,0.06,112.13,1108.18,1250.16,1.95,20.12,228.02,516.5,509.76,1026.26,800.0,223.9,18.22,-147.37,130.52,43.28999999999999,-2.0932754880694144,1.07,4.58,-0.01,-4.44279792746114,54.89005181347151,-24.65036269430052,-24.36373056994819,81.11689119170985,-1.03,-0.9,0.0,0.22,0.22,12,2008,0.0,386.0,-3.86
2009-03-31,130.45,2.56,0.0,0.0,37.49,18.18,63.46,0.32,-1.1,112.27,9.95,19.76,55.75,0.06,140.47,1135.31,1310.82,0.0,23.33,224.76,544.75,539.61,1084.36,800.0,226.46,26.5,37.91,-61.77,45.28,0.0,1.13,4.79,0.0,0.8,6.44,4.52,4.56,9.48,2.17,1.96,0.0,0.26,0.26,3,2009,0.0,inf,2.56
2009-06-30,140.35000000000002,-0.96,-0.0,0.0,-37.49,-15.709999999999999,31.419999999999995,0.38,0.0,344.47,-9.95,13.79,58.32,0.0,0.0,1136.9,1299.99,0.0,0.0,0.0,0.0,0.0,1074.49,800.0,225.5,28.11,39.38000000000001,-73.45999999999998,47.129999999999995,-0.0,1.35,4.76,0.0,-0.288,-0.5279999999999999,-1.704,-1.704,-0.0,0.0,0.0,0.08,0.0,0.0,6,2009,0.0,inf,1.6
2009-09-30,478.42,7.5,0.008241758241758242,0.0,0.0,7.209999999999999,52.599999999999994,0.65,0.0,218.41999999999996,0.0,14.94,6.14,0.0,0.0,1107.96,1242.26,0.0,0.0,0.0,0.0,0.0,1009.26,800.0,233.0,25.060000000000002,49.86999999999999,-73.78,45.390000000000015,19.716666666666665,2.23,4.33,0.01,2.406593406593407,2.769230769230769,12.89010989010989,12.923076923076923,0.0,0.0,0.0,0.21,0.0,0.0,9,2009,0.0,910.0,9.1
2009-12-31,-231.43000000000006,-0.17999999999999972,-0.00020179372197309386,0.0,0.0,-0.40000000000000036,45.0,0.52,0.0,203.42000000000007,0.0,14.85,41.6,0.0,0.0,1080.97,1206.05,0.0,0.0,0.0,0.0,0.0,937.92,800.0,268.13,26.439999999999998,51.20000000000002,-77.74000000000001,45.39999999999998,-644.2222222222232,1.55,3.5,0.01,-0.059730941704035784,-0.06134529147982053,-0.26878923766816104,-0.29300448430493226,-0.0,0.0,0.0,0.15,0.0,0.0,12,2009,0.0,892.0,8.92
2010-03-31,225.17,3.4,0.0,0.0,0.0,5.67,48.96,0.48,1.14,191.0,0.0,25.13,3.86,0.0,0.0,1104.43,1237.18,0.0,0.0,0.0,0.0,0.0,965.65,800.0,271.53,30.01,29.83,-49.56,43.29,0.0,1.41,3.56,0.0,1.08,1.8,5.0,5.48,0.0,0.0,0.0,0.4,0.0,0.0,3,2010,0.0,inf,3.4
2010-06-30,228.84,-13.64,-0.0133203125,0.0,0.0,-11.46,34.059999999999995,0.42,0.0,204.07999999999998,0.0,17.17,2.89,0.0,0.0,1162.82,1319.73,0.0,0.0,0.0,0.0,0.0,1060.48,800.0,259.25,-14.240000000000002,33.42,-27.14,45.52,-7.8826979472140755,1.3,4.09,-0.01,-4.1559375,-2.3443750000000003,-21.04609375,-22.484687499999996,0.0,0.0,0.0,-0.13,0.0,0.0,6,2010,0.0,1024.0,-10.24
2010-09-30,228.71000000000004,-0.14000000000000057,-0.00013487475915221635,0.0,56.42,-0.9699999999999998,47.31000000000002,0.48,3.07,-97.51999999999998,56.42,23.9,0.62,0.0,0.0,1218.92,1376.43,0.0,0.0,0.0,0.0,0.0,1116.61,800.0,259.81,37.260000000000005,29.319999999999993,-59.85000000000001,48.28,-889.7142857142821,1.48,4.3,-0.01,-0.0404624277456649,-0.028053949903661,-0.21579961464354613,-0.2271290944123323,0.0,0.0,0.0,0.0,0.0,0.0,9,2010,0.0,1038.0,-10.38
2010-12-31,237.24,5.280000000000001,0.01035294117647059,0.0,22.08,5.49,57.139999999999986,0.46,3.1,100.38999999999999,22.08,49.39,0.0,0.0,0.0,1241.37,1418.45,0.0,0.0,0.0,0.0,0.0,1114.62,800.0,303.83,48.28,66.43,-89.22,51.650000000000006,11.107954545454543,1.21,3.67,-0.01,1.490823529411765,0.4141176470588237,6.957176470588236,7.371294117647061,-0.0,0.0,0.0,0.0,0.0,0.0,12,2010,0.0,509.99999999999994,-5.1
2011-03-31,246.08,12.17,0.02,0.0,29.24,13.18,65.96,0.44,-0.84,97.72,29.24,53.45,0.0,0.0,0.0,1246.5,1423.01,0.0,0.0,0.0,0.0,0.0,1119.88,800.0,303.13,61.61,30.91,-88.46,52.78,5.5,1.16,3.69,0.02,3.4400000000000004,3.96,16.04,16.96,0.0,0.0,0.0,0.0,0.0,0.0,3,2011,0.0,608.5,12.17
2011-06-30,249.30999999999997,13.159999999999998,0.015586261350177655,0.0,31.06,15.260000000000002,68.00000000000001,0.51,-1.43,98.93,31.06,38.88,0.0,0.0,0.0,1229.59,1402.72,0.0,0.0,0.0,0.0,0.0,1086.43,800.0,316.29,56.349999999999994,25.080000000000002,-95.99,52.739999999999995,8.180281155015198,1.29,3.43,0.03,3.761484405842874,4.343371496249506,16.646127121989732,18.28787998420845,0.0,0.0,0.0,0.0,0.0,0.0,6,2011,0.0,844.3333333333333,25.33
2011-09-30,253.08000000000004,5.870000000000001,0.007525641025641027,0.0,28.83,13.16,67.62,0.43,-1.55,104.66,28.83,24.42,0.0,0.0,0.0,1313.43,1493.97,0.0,0.0,0.0,0.0,0.0,1171.81,800.0,322.16,65.49,17.279999999999994,-97.24000000000001,54.459999999999994,14.284497444633727,1.07,3.64,0.04,1.5728589743589745,2.182435897435898,7.284820512820514,8.06748717948718,0.0,0.0,0.0,0.0,0.0,0.0,9,2011,0.0,780.0,31.2
2011-12-31,251.20999999999992,9.000000000000004,0.011194029850746273,0.0,25.730000000000004,7.859999999999999,67.85,0.47,0.0,103.05000000000001,25.730000000000004,16.14,0.0,0.0,0.0,1296.7,1524.4,0.0,0.0,0.0,0.0,0.0,1152.44,800.0,371.96,52.43000000000001,26.900000000000006,-87.61000000000001,59.99000000000001,10.496666666666664,1.01,3.1,0.05,2.364179104477613,3.008955223880598,9.680597014925377,10.65671641791045,0.0,0.0,0.0,0.0,0.0,0.0,12,2011,0.0,804.0,40.2
2012-03-31,261.21,12.49,0.02,0.0,29.24,12.62,71.59,0.54,-0.36,105.72,29.24,80.36,43.48,0.0,0.0,1361.06,1583.59,0.0,0.0,0.0,0.0,0.0,1199.14,800.0,384.44,64.37,100.3,-100.44,58.97,6.75,1.12,3.12,0.02,3.16,3.36,13.0,14.52,0.0,0.0,0.0,0.0,0.0,0.0,3,2012,0.0,624.5,12.49
2012-06-30,271.43,14.83,0.016284773060029283,0.0,33.760000000000005,17.380000000000003,76.85999999999999,0.61,-0.26,108.55000000000001,33.760000000000005,51.26,39.0,0.0,0.0,1359.28,1580.61,0.0,0.0,0.0,0.0,0.0,1181.33,800.0,399.28,64.97,8.680000000000007,-102.75999999999999,59.480000000000004,9.36304113283884,1.22,2.96,0.03,3.7563543191800877,4.364319180087848,14.851713030746705,16.588755490483162,0.0,0.0,0.0,0.0,0.0,0.0,6,2012,0.0,910.6666666666667,27.32
2012-09-30,274.99,8.64,0.009610678531701892,0.0,27.78,11.990000000000002,73.58000000000001,0.79,-0.5,116.03999999999999,27.78,38.14,43.86,0.0,0.0,1364.33,1587.24,0.0,0.0,0.0,0.0,0.0,1179.32,800.0,407.92,58.75999999999999,39.42,-111.30000000000001,61.58999999999999,20.55005787037037,1.55,2.89,0.04,2.181624026696329,2.6237152391546164,8.476618464961069,9.466518353726363,0.0,0.0,0.0,0.0,0.0,0.0,9,2012,0.0,899.0,35.96
2012-12-31,310.61,9.880000000000003,0.01293193717277487,0.0,24.349999999999994,8.199999999999996,74.52000000000001,1.13,0.0,113.68,24.349999999999994,39.31,40.72,0.0,0.0,1364.15,1603.5,0.0,0.0,0.0,0.0,0.0,1144.9,800.0,458.6,80.14000000000001,27.72999999999999,-106.69999999999999,66.32000000000002,21.84127530364372,1.97,2.5,0.06,2.4656893542757423,2.7674345549738226,8.62129144851658,9.517905759162305,0.0,0.0,0.0,0.0,0.0,0.0,12,2012,0.0,764.0000000000001,45.84
2013-03-31,274.04,13.76,0.02,0.0,32.63,17.9,77.48,1.25,-0.42,107.95,32.63,34.08,41.12,0.0,0.0,1362.06,1604.87,0.0,0.0,0.0,0.0,0.0,1169.72,800.0,435.15,71.0,26.39,-102.62,59.58,15.625,2.3,2.69,0.02,3.44,4.48,12.64,13.44,0.0,0.0,0.0,0.0,0.0,0.0,3,2013,0.0,688.0,13.76
