,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,total_asset,total_liability,cash_flow_operation,cash_flow_financing,DPS,month,year,EPS,cash_flow_investment,depreciation,dividend,P/E,ROA%,ROAA%,ROE%,ROAE%,ROCE%,number_of_shares,return_old
2014-06-30,109.19000000000001,,,,,,,12.3,17.500000000000004,-2.2300000000000004,39.34,0.0,4872.25,119.09,121.75000000000001,-86.9,0.44,6,2014,,,,,,,,,,,,
2014-09-30,96.54999999999998,,,,,,,12.2,10.439999999999998,-2.8100000000000005,31.92,0.0,4891.07,114.41,79.49000000000001,-86.90999999999997,0.65,9,2014,,,,,,,,,,,,
2014-12-31,100.09000000000003,,,,,,,11.8,19.130000000000003,-10.829999999999998,14.33,0.0,4922.16,112.48,65.17999999999995,-82.77000000000004,0.85,12,2014,,,,,,,,,,,,
2015-03-31,92.98,,,,,,,12.2,11.16,-0.26,32.35,0.0,4914.32,106.2,100.79,-82.77,0.2,3,2015,,,,,,,,,,,,
2015-06-30,91.49999999999999,,,,,,,12.6,16.66,-3.5300000000000002,20.88,0.0,4941.24,101.92,67.14999999999999,-78.63000000000001,0.39,6,2015,,,,,,,,,,,,
2015-09-30,95.72999999999999,,,,,,,12.2,18.049999999999997,-3.13,30.91,0.0,4953.17,110.64,92.80000000000001,-82.75999999999999,0.59,9,2015,,,,,,,,,,,,
2015-12-31,102.09000000000003,,,,,,,12.1,16.740000000000002,-1.7699999999999996,12.51,0.0,4968.11,116.0,64.37,-82.77000000000001,0.79,12,2015,,,,,,,,,,,,
2016-03-31,92.06,,,,,,,12.5,14.57,-4.48,13.86,0.0,4963.74,116.9,84.12,-82.77,0.2,3,2016,,,,,,,,,,,,
2016-06-30,93.74000000000001,,,,,,,12.3,17.630000000000003,-2.0599999999999996,28.99,0.0,4963.55,113.83,93.75999999999999,-78.63000000000001,0.39,6,2016,,,,,,,,,,,,
2016-09-30,83.46999999999997,,,,,,,11.8,16.199999999999996,-1.4699999999999998,6.64,0.0,4953.99,109.82,52.140000000000015,-74.48999999999998,0.57,9,2016,,,,,,,,,,,,
2016-12-31,91.60000000000002,,,,,,,10.1,14.560000000000002,-2.1400000000000006,8.65,1.65,4956.69,111.18,70.29999999999998,-68.28000000000003,0.74,12,2016,,,,,,,,,,,,
2017-03-31,90.34,,,,,,,10.8,17.54,-3.9,12.42,0.0,4965.53,115.51,72.05,-68.28,0.17,3,2017,,,,,,,,,,,,
2017-06-30,89.63,,,,,,,10.3,15.329999999999998,-0.48,11.6,0.0,4983.3,104.99,69.53000000000002,-70.35999999999999,0.34,6,2017,,,,,,,,,,,,
2017-09-30,91.35,,,,,,,11.4,22.330000000000005,-2.3200000000000003,9.49,0.0,4992.36,108.42,70.32,-72.42000000000002,0.51,9,2017,,,,,,,,,,,,
