,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,short_term_loan,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2009-03-31,1590.52,-63.73,-0.07,0.0,68.26,-39.72,-7.04,2.8,0.0,1630.24,-33.87,41.93,1598.85,1215.15,3479.45,599.71,4240.08,1668.14,1316.28,41.96,3153.34,102.85,3256.18,480.0,983.9,-110.16,-7.82,114.54,32.68,-10.0,1.37,3.31,-0.07,0.0,0.0,-6.0,-3.88,-25.92,-22.96,-14.6,-4.01,-4.01,1.1,0.72,3,2009,0.0,910.4285714285713,-63.73
2009-06-30,2494.64,17.9,0.019528692995854243,0.0,191.92000000000002,50.25,82.12,2.64,0.0,2444.3900000000003,109.1,97.65,2106.5,1201.09,4025.57,602.83,4782.81,1622.46,1905.67,48.22,3690.85,89.23,3780.08,480.0,1001.8,135.07,-28.259999999999998,-51.09,31.869999999999997,33.79642458100558,1.26,3.77,-0.05,0.0,0.0,1.499803622081606,-0.3749509055204015,7.139690159284312,6.561640846607026,-1.499803622081606,-1.12,-1.12,1.09,0.77,6,2009,0.0,916.5999999999999,-45.83
2009-09-30,2923.8199999999997,22.25,0.028307888040712468,0.0,280.21999999999997,60.879999999999995,92.73,2.82,0.0,2862.9399999999996,177.29000000000002,28.25,2637.95,1324.54,4644.12,609.12,5403.23,1608.07,2423.97,54.47,4294.84,73.53,4368.37,480.0,1024.05,-15.32,-32.519999999999996,-21.560000000000002,31.85000000000001,24.904719101123597,1.32,4.27,-0.03,0.0,0.0,1.6607294317217982,-5.321882951653944,8.68108566581849,8.001696352841392,-24.307039864291777,-0.34,-0.34,1.08,0.77,9,2009,0.0,786.0,-23.58
2009-12-31,3035.9500000000007,95.97,0.1060588479071695,0.0,35.889999999999986,105.53999999999999,138.26,2.98,0.0,2930.42,-85.85000000000002,65.56,2566.79,1355.86,4614.38,647.83,5425.56,1536.55,2489.54,54.47,4231.43,63.39,4294.82,480.0,1120.02,181.82999999999998,-62.849999999999994,-81.67,32.72,7.024402156924039,1.28,3.83,0.08,0.0,0.0,7.052913385826772,19.461798590965603,34.25700787401575,35.42365520099461,78.58960629921259,0.72,0.72,1.09,0.77,12,2009,0.0,904.875,72.39
2010-03-31,2789.09,87.46,0.09,0.0,217.59,114.54,149.4,3.0,0.0,2674.55,108.66,50.68,2544.34,1568.55,4865.94,673.64,5698.04,1681.52,2552.71,54.47,4433.56,46.3,4479.86,480.0,1207.48,-88.77,-53.99,127.88,34.86,8.3325,1.19,3.71,0.09,0.0,0.0,6.12,9.24,28.96,31.92,36.24,3.17,3.14,1.1,0.74,3,2010,0.0,971.7777777777777,87.46
2010-06-30,2714.41,26.040000000000006,0.027531277533039654,0.0,183.54999999999998,52.33,89.59,3.26,0.0,2662.08,68.24000000000001,104.57,2424.71,1658.18,5012.31,646.2,5812.18,1828.01,2135.51,53.08,4544.59,34.07,4578.66,480.0,1233.52,-93.17999999999999,14.200000000000003,132.87,37.260000000000005,29.606326804915508,1.27,3.71,0.12,0.0,0.0,1.7895330396475775,2.8907841409691635,8.44292511013216,9.323925991189428,12.077053744493396,2.09,2.06,1.1,0.74,6,2010,0.0,945.8333333333334,113.5
2010-09-30,3222.2800000000007,99.47999999999999,0.10275894450183115,0.12,264.44000000000005,126.27999999999997,164.99,3.28,0.0,3095.999999999999,141.65,72.5,2432.53,1756.25,5292.24,686.6,6132.6,2068.09,2439.82,99.21,4778.67,136.12,4914.79,480.0,1217.8,-231.31,-72.74000000000001,271.98,38.709999999999994,7.980327201447527,1.29,4.04,0.22,0.12,0.55,6.483155225842803,9.491189783078223,32.677344351582306,35.498544464268946,40.44965724481172,2.47,2.44,1.11,0.74,9,2010,116.17090909090908,968.090909090909,212.98
2010-12-31,2912.1399999999994,104.99000000000004,0.10896216624209834,-0.000566091140673635,181.06999999999994,124.60000000000002,165.29999999999995,4.16,0.0,2787.5300000000007,36.21999999999997,110.86,2081.52,1747.45,5557.79,715.06,6451.87,2675.87,1937.8,125.43,4960.09,169.0,5129.09,480.0,1322.79,-539.85,-94.65,672.8599999999999,40.7,9.54758000761977,1.51,3.88,0.33,0.12,0.36,6.511314903921755,9.284897317356986,31.75091486618235,34.37921439129479,36.981098845803075,2.76,2.73,1.12,0.77,12,2010,-0.5454545454545325,963.5454545454546,317.97
2011-03-31,2480.5,64.56,0.07,0.0,223.5,101.5,143.0,4.02,0.0,2378.99,91.92,58.39,2009.97,1639.8,5774.66,727.18,6673.75,2814.56,1793.16,177.12,5016.55,275.58,5292.13,480.0,1381.62,-296.75,-46.27,290.55,41.5,14.3575,1.4,3.83,0.07,0.0,0.0,3.88,6.56,18.68,19.96,24.48,2.61,2.6,1.15,0.82,3,2011,0.0,922.2857142857142,64.56
2011-06-30,2572.67,82.66,0.08422089390028528,0.15,257.54,123.13,165.89999999999998,3.7,0.0,2449.55,119.83999999999999,66.89,2277.6,1300.78,6169.43,744.22,7083.49,3088.56,1881.17,201.56,5410.71,351.92,5762.62,480.0,1320.28,-170.64,-51.82,230.95999999999998,42.769999999999996,10.984507016694897,1.35,4.36,0.15,0.15,1.0,4.671452248335824,7.815698953946475,25.041679119684826,25.89511751120771,30.162309468822173,2.92,2.91,1.14,0.9,6,2011,147.22,981.4666666666667,147.22
2011-09-30,2621.3599999999997,247.61999999999998,0.25712744402796067,0.11712744402796069,439.99999999999994,296.67999999999995,340.53,3.46,0.0,2324.6800000000003,309.83000000000004,71.56,2581.75,1197.03,6126.43,761.81,7032.41,3005.55,1787.4,197.98,5275.51,303.8,5579.3,480.0,1452.7,332.83,-76.65,-251.51999999999998,43.85000000000001,3.364479444309829,1.14,3.84,0.41,0.27,0.66,14.073024009725458,19.867798601965355,68.18267247492655,74.17813190152972,74.42898794448384,5.17,5.14,1.16,0.93,9,2011,112.79658536585364,963.0243902439024,394.84
2011-12-31,1210.38,-24.569999999999993,-0.025879223269506032,-0.0038716836165039498,296.6600000000001,19.920000000000073,65.22000000000003,3.52,0.0,1190.46,51.639999999999986,134.62,1426.91,1032.94,4602.12,769.03,5496.13,2789.18,619.6,354.12,3961.68,104.49,4066.17,480.0,1428.13,373.2,-50.78999999999999,-259.34000000000003,45.29999999999998,-34.0205341880342,1.18,2.85,0.39,0.27,0.69,-1.7889842547330324,-2.4047770545817913,-6.882546250033757,-7.145319901693358,-9.361643125286951,4.17,4.17,1.16,0.9,12,2011,-3.6758161350844034,949.4102564102564,370.27
