,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,total_asset,total_liability,cash_flow_operation,cash_flow_financing,DPS,month,year,EPS,cash_flow_investment,depreciation,dividend,P/E,ROA%,ROAA%,ROE%,ROAE%,ROCE%,number_of_shares,return_old
2009-06-30,,,,,,,,9.9,,,37.0,1041.56,20.11,,,0.17,6,2009,,,,,,,,,,,,
2009-12-31,40.46,,,,,,,10.0,-0.9900000000000002,-0.26,41.63,1093.21,20.17,37.379999999999995,-32.75,0.5,12,2009,,,,,,,,,,,,
2010-06-30,-41.65,,,,,,,10.0,-3.3699999999999997,0.53,13.11,1086.91,20.18,927.8,-998.32,0.19,6,2010,,,,,,,,,,,,
2010-12-31,40.27,,,,,,,9.5,3.93,0.0,0.85,1070.84,20.83,25.04,-36.92999999999999,0.56,12,2010,,,,,,,,,,,,
2011-06-30,-40.02,,,,,,,9.5,-3.97,-0.09,7.03,1070.74,20.12,3.259999999999998,43.709999999999994,0.37,6,2011,,,,,,,,,,,,
2011-12-31,40.51,,,,,,,10.0,3.0900000000000003,0.09,2.04,1071.0,20.15,32.18000000000001,-37.17999999999999,0.74,12,2011,,,,,,,,,,,,
2012-06-30,-40.23,,,,,,,9.55,-3.0900000000000003,0.0,1.31,1071.08,20.13,-38.300000000000004,36.37,0.37,6,2012,,,,,,,,,,,,
2012-12-31,40.63999999999999,,,,,,,9.7,3.1300000000000003,0.0,0.64,1076.37,20.18,37.10999999999999,-37.77,0.75,12,2012,,,,,,,,,,,,
2013-06-30,-40.739999999999995,,,,,,,9.45,-3.1400000000000006,0.0,2.99,1076.06,20.16,-33.71999999999999,37.47,0.38,6,2013,,,,,,,,,,,,
2013-12-31,40.459999999999994,,,,,,,9.4,3.13,-0.22,0.26,1078.95,20.19,34.74999999999999,-37.47,0.75,12,2013,,,,,,,,,,,,
2014-06-30,-40.56999999999999,,,,,,,9.15,-2.65,-0.3400000000000001,0.57,1084.85,24.16,-39.60999999999999,40.29,0.35,6,2014,,,,,,,,,,,,
2014-12-31,40.42999999999999,,,,,,,8.25,3.0900000000000003,-0.09999999999999998,0.66,1079.8,20.24,35.059999999999995,-34.970000000000006,0.7,12,2014,,,,,,,,,,,,
2015-06-30,-40.41,,,,,,,8.0,-3.52,0.53,0.6,1109.76,46.08,-37.17,36.71000000000001,0.33,6,2015,,,,,,,,,,,,
2015-12-31,40.36,,,,,,,7.8,3.11,-0.10999999999999999,0.66,1072.44,15.48,34.230000000000004,-34.17,0.67,12,2015,,,,,,,,,,,,
2016-06-30,-51.379999999999995,,,,,,,6.8,2.7700000000000005,-2.09,1.44,1087.37,32.42,-44.230000000000004,45.010000000000005,0.22,6,2016,,,,,,,,,,,,
2016-12-31,21.509999999999998,,,,,,,6.15,13.989999999999998,-3.63,0.76,1061.11,10.46,10.819999999999997,-11.500000000000004,0.34,12,2016,,,,,,,,,,,,
2017-06-30,-29.88,,,,,,,4.96,-10.559999999999999,1.7000000000000002,1.86,1087.92,34.32,-21.259999999999998,22.270000000000003,0.12,6,2017,,,,,,,,,,,,
