,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,cash,account_receivable,property_plant_equipment,total_asset,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,NPMA%,month,year,operating_profit,depreciation,dividend,ROCE%,number_of_shares,return_old
2002-09-30,146.99,0.22999999999999954,0.01031390134529146,0.02578475336322859,,0.4299999999999997,0.4299999999999997,11.7,0.06,30.119999999999997,267.48,0.0,259.21,969.77,577.21,234.0,392.56,-6.5699999999999985,-37.83,-0.0600000000000005,283.5978260869571,0.7,1.47,0.2,0.5,2.5,0.09488789237668142,0.24753363228699501,0.23515695067264522,0.26197309417040304,0.93,9,2002,,,0.5749999999999975,,22.299999999999997,4.46
2002-12-31,171.88,-0.8399999999999999,-0.03480662983425414,0.03798342541436476,,0.1999999999999993,0.1999999999999993,10.8,3.56,28.150000000000006,269.7,0.0,255.79,1016.23,624.05,234.01,392.18,2.5999999999999996,-9.050000000000004,-3.9299999999999997,-77.57142857142858,0.64,1.59,0.15,0.5,3.33,-0.3341436464088397,-1.0766850828729277,-0.8539226519337015,-0.9374585635359115,0.56,12,2002,,,0.9166666666666696,,24.133333333333336,3.62
2003-03-31,160.83,4.59,0.2,0.0,,7.59,7.59,11.8,3.89,27.4,372.57,0.0,252.61,1037.92,641.38,234.01,396.55,-15.78,106.52,7.64,14.75,0.7,1.62,0.2,0.0,0.0,1.7599999999999998,2.96,4.64,4.6,2.85,3,2003,,,0.0,,22.95,4.59
2003-06-30,152.53,-4.26,-0.1290909090909091,0.2,,-5.87,-5.87,11.4,3.7,43.89000000000001,367.22,0.0,249.86,998.19,609.95,234.01,388.24,17.259999999999998,-38.3,-12.32,-22.0774647887324,0.69,1.57,0.01,0.2,20.0,-1.5490909090909089,-8.778181818181817,-4.130909090909091,-4.130909090909091,0.11,6,2003,,,6.6000000000000005,,33.0,0.33
2003-09-30,197.64999999999998,3.7699999999999996,0.16551219512195123,-0.08975609756097565,,5.430000000000001,5.430000000000001,13.5,8.2,12.779999999999987,374.84,0.0,248.07,1097.6,704.16,234.02,393.44,30.33,0.28000000000000114,0.019999999999999574,20.391246684350136,0.8,1.79,0.18,0.2,1.11,1.360878048780488,2.5378536585365854,3.8251707317073165,3.8251707317073165,0.8,9,2003,,,-2.044444444444445,,22.777777777777775,4.1
2003-12-31,204.97000000000003,0.7000000000000002,0.029166666666666678,0.010185185185185188,,1.1999999999999993,1.1999999999999993,11.5,17.91,31.25,333.26,0.0,246.93,1177.22,757.7,234.02,419.51,16.430000000000003,-128.27,0.0,98.57142857142854,0.64,1.81,0.2,0.2,1.0,0.23916666666666672,0.4433333333333335,0.6650000000000001,0.6883333333333335,0.67,12,2003,,,0.24444444444444446,,23.999999999999996,4.8
2004-03-31,175.17,3.27,0.14,0.2,,5.47,5.47,12.5,0.96,26.1,399.01,0.0,247.08,1176.62,779.16,234.02,397.45,23.5,-34.69,0.25,22.322500000000005,0.74,1.96,0.14,0.2,1.43,1.12,1.96,3.28,3.28,1.87,3,2004,,,4.671428571428571,,23.357142857142854,3.27
2004-06-30,209.23,0.5899999999999999,0.024455958549222792,0.006365655070318315,,3.7199999999999998,3.7199999999999998,12.0,6.03,27.86,33.94,0.0,246.6,1222.54,807.28,258.33,415.26,16.340000000000003,-23.82,19.97,122.66949152542375,0.75,1.94,0.16,0.2,1.25,0.19564766839378234,0.5074611398963729,0.5686010362694299,0.586943005181347,1.0,6,2004,,,0.15357142857142936,,24.125,3.86
2004-09-30,195.82000000000005,1.44,0.05705660377358491,0.008820754716981119,,3.16,3.16,14.5,10.4,29.65,17.77,0.0,245.04,1180.89,763.83,258.33,417.06,1.8999999999999986,-17.949999999999996,-0.10999999999999943,63.53559027777778,0.9,1.83,0.21,0.2,0.95,0.48905660377358495,1.1737358490566039,1.3802264150943395,1.4236981132075472,0.91,9,2004,,,0.22261904761904727,,25.238095238095237,5.3
2004-12-31,236.52999999999997,8.77,0.34905472636815926,-0.0009002606017531537,,10.31,10.31,12.4,11.36,29.08,13.18,0.0,243.56,1219.58,794.14,258.33,425.45,11.419999999999995,-16.11,0.08999999999999986,8.879982896237173,0.75,1.87,0.56,0.2,0.36,2.8672352523098787,4.712238805970149,8.252651030561479,8.302515991471214,1.72,12,2004,,,-0.022619047619047983,,25.124999999999996,14.07
2005-03-31,217.32,3.11,0.12,0.0,,6.31,6.31,10.2,1.32,26.98,20.59,0.0,244.4,1267.46,789.12,258.33,478.34,-26.93,-17.18,51.52,21.249999999999996,0.55,1.65,0.12,0.0,0.0,1.0,2.08,2.6,2.84,1.43,3,2005,,,0.0,,25.916666666666668,3.11
2005-06-30,259.31,0.77,0.029768041237113404,0.3,,7.650000000000001,7.650000000000001,10.0,23.12,29.209999999999997,15.81,0.0,240.54,1212.08,742.59,310.39,469.48,18.25,-29.21,-7.400000000000006,83.9868831168831,0.66,1.58,0.15,0.3,2.0,0.25402061855670105,0.9128865979381443,0.6588659793814433,0.6985567010309278,0.81,6,2005,,,7.76,,25.866666666666667,3.88
