,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,operating_profit,cash,property_plant_equipment,total_asset,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,month,year,dividend,ROCE%,number_of_shares,return_old
2008-12-31,,,,,,,,8.8,980.5,,,595.57,1658.58,126173.14,114637.1,7246.07,11417.72,,,,,,0.91,10.04,2.11,0.0,0.0,,,,,12,2008,,,812.3886255924172,1714.14
2009-03-31,2801.87,453.97,0.56,0.0,0.0,640.32,712.82,10.6,292.94,1684.26,0.0,491.03,1680.96,130466.8,118569.58,7246.06,11776.5,-2766.88,821.54,1839.0,72.5,4.7325,1.02,10.07,0.56,0.0,0.0,1.4,0.0,15.4,0.0,3,2009,0.0,,810.6607142857142,453.97
2009-06-30,2901.4700000000003,502.15,0.6249827427519558,1.4999999999999998,0.0,725.6,783.4399999999999,18.4,646.59,2243.45,0.0,595.71,1632.56,130323.84,118976.1,7246.06,11226.6,-1936.6599999999999,1126.54,918.7600000000002,57.84,7.359163198247536,1.82,10.6,1.19,1.5,1.26,1.533571099861942,0.0,17.89866543948458,0.0,6,2009,1205.1932773109243,,803.4621848739496,956.12
2009-09-30,3029.6399999999994,512.67,0.6631805772098122,-0.05901607914729562,0.0,749.48,849.6499999999999,22.9,964.19,2523.67,0.0,644.27,1607.23,132827.21,120771.15,7246.06,11933.04,1406.1799999999998,-901.25,-455.8900000000003,100.16999999999999,8.630756383248483,2.39,10.12,1.9,1.5,0.79,1.5497482962166136,0.0,17.18684822200587,0.0,9,2009,-45.622224679345436,,773.0473684210526,1468.79
2009-12-31,3389.4300000000003,519.6000000000001,0.6846503955461456,-0.027907582463569412,0.0,729.79,816.04,24.2,1547.88,2470.5700000000006,0.0,826.53,1558.67,138804.36,126285.64,7268.73,12430.0,493.8000000000002,-310.4899999999999,-0.6999999999998181,86.25,8.839840069284064,2.54,10.16,2.62,1.5,0.57,1.4947329246274628,2.247325725838493,16.724284471356228,17.435066561388865,12,2009,-21.179831257533124,,758.9274809160305,1988.39
2010-03-31,3195.5,712.28,0.9799999999999999,0.0,0.0,996.89,1081.54,27.0,312.17,2460.71,0.0,664.4,1522.75,139806.46,126510.77,7268.99,13204.88,-745.8,585.51,0.0,84.65,6.887499999999999,2.51,9.58,0.98,0.0,0.0,2.04,2.96,21.56,22.8,3,2010,0.0,,726.8163265306123,712.28
2010-06-30,3573.08,762.8700000000001,1.0498092397383316,1.24,0.0,1088.21,1174.4,28.75,729.93,2594.2799999999997,0.0,654.87,1504.34,147476.19,134223.94,7278.28,13170.6,1854.32,1038.65,-2902.48,86.19,6.845243619489558,2.62,10.19,2.03,1.24,0.61,2.0685896349523776,3.102884452428567,23.16820391146663,25.009248686574246,6,2010,901.0768472906406,,726.6748768472908,1475.15
2010-09-30,3549.34,730.6300000000001,1.003639936893072,0.0022234097277876413,-2443.44,1102.1100000000001,1189.4499999999998,38.75,1328.58,-1538.5499999999997,-2443.44,770.01,1500.16,156406.93,142283.44,7278.28,14038.41,-9778.54,1876.9199999999998,8019.98,87.34,9.653287642171824,3.89,10.14,3.03,1.24,0.41,1.8681614666920545,2.9148618629237735,20.81476357569658,22.51068320503405,9,2010,1.6185982539140014,,727.9801980198021,2205.78
2010-12-31,3615.75,682.4699999999998,0.938078732796676,-0.0007862611657169058,-479.2399999999998,971.4200000000001,1063.1100000000001,40.75,1933.4,857.5399999999995,-479.2399999999998,903.31,1466.87,171407.55,156550.32,7279.12,14773.34,-954.1000000000004,77.25,1010.6700000000001,91.69,10.855218910721353,4.69,10.6,3.97,1.24,0.31,1.5973330563489996,2.5330488704232663,18.478024409244348,20.065905790703706,12,2010,-0.5720198518594088,,727.5188916876574,2888.25
2011-03-31,3911.34,828.6,1.14,0.0,-1047.42,1186.36,1270.27,39.0,351.56,1237.63,-1047.42,757.14,1425.95,195674.12,180143.43,7279.12,15447.23,-353.11,161.13,45.56,83.91,8.5525,4.77,11.66,1.14,0.0,0.0,1.68,2.84,21.44,23.12,3,2011,0.0,,726.842105263158,828.6
2011-06-30,4295.42,863.1999999999999,1.183723844426055,2.25,-1070.92,1225.1700000000003,1316.3600000000001,37.5,679.69,1343.2199999999998,-1070.92,849.35,1436.63,198421.49,183759.82,7279.12,14572.99,3254.7200000000003,1649.63,-4812.860000000001,91.19,7.918063021316034,5.5,12.61,2.32,2.25,0.97,1.734767703038184,2.836855420262442,23.69488592032155,24.899018796548052,6,2011,1640.7543103448277,,729.2241379310345,1691.8
2011-09-30,4745.58,898.9199999999998,1.2352377717391303,-0.004618540339205938,-932.3899999999999,1274.1899999999996,1375.35,36.0,981.48,1257.79,-932.3899999999999,980.22,1422.97,206862.54,191377.09,7279.12,15398.83,-46233.35,-279.8799999999999,46643.55,101.16,7.284346549192364,4.92,12.43,3.56,2.25,0.63,1.734884510869565,2.8174524456521737,23.34460597826087,24.427173913043475,9,2011,-3.361051917861687,,727.7303370786516,2590.72
2011-12-31,4702.829999999998,676.0400000000004,0.9291835335316955,-0.0005160251555292212,-649.96,1169.19,1196.4500000000003,38.0,1283.08,1095.9200000000005,-649.96,903.45,1450.9,220717.57,204405.98,7279.12,16210.45,-12040.370000000003,856.31,11106.39,27.25999999999999,10.220101473285599,5.1,12.61,4.49,2.25,0.5,1.2251150375295408,2.052895468292744,16.679775679878542,17.457889284795954,12,2011,-0.3754410550282046,,727.5634743875279,3266.76
2012-03-31,5057.83,836.66,1.15,0.0,-1111.31,1091.15,1169.54,41.5,259.81,1448.14,-1111.31,870.53,1437.74,232980.02,215793.84,7279.12,17091.93,-3376.52,-1204.05,4546.42,78.39,9.0225,5.14,12.63,1.15,0.0,0.0,1.44,2.04,19.6,20.56,3,2012,0.0,,727.5304347826087,836.66
