,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,current_asset,property_plant_equipment,total_asset,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2013-06-30,,,,,,,,,,,9.57,26.22,43.96,0.13,139.34,1.11,0.02,5.72,3.62,9.34,200.0,129.99,,,,,,0.0,0.07,0.06,0.0,0.0,,,,,,21.41,20.86,7.69,7.69,6,2013,,203.33333333333334,12.2
2013-09-30,46.53000000000001,7.140000000000001,0.03691830403309204,0.75,14.029999999999998,8.940000000000001,11.010000000000002,6.65,37.6,12.649999999999999,27.97,19.83,54.29,0.18,147.66,5.36,0.01,6.86,3.66,10.52,200.0,137.14,8.469999999999999,9.940000000000001,-0.009999999999999998,2.07,45.03186274509803,9.7,0.08,0.1,0.75,7.5,19.34519131334023,0.0,20.821923474663908,0.0,25.38502585315409,18.82,18.42,7.91,7.91,9,2013,145.04999999999998,193.39999999999998,19.34
2013-12-31,47.040000000000006,2.8500000000000014,0.014127985579089685,0.030959891843172757,14.350000000000001,3.8000000000000007,5.880000000000003,4.52,43.230000000000004,3.5100000000000016,34.41,17.68,57.97,0.17,149.53,2.97,0.0,5.85,3.7,9.55,200.0,139.99,6.239999999999998,0.2099999999999973,-0.010000000000000002,2.08,79.98132456140348,6.46,0.07,0.11,0.75,6.82,7.6239747634069435,0.0,8.142857142857146,0.0,10.012888688598471,14.91,14.59,9.91,9.91,12,2013,6.245454545454578,201.72727272727275,22.19
2014-03-31,46.14,7.64,0.04,0.0,12.69,9.56,11.64,6.3,36.58,9.54,46.85,18.55,70.35,0.24,160.63,4.82,0.0,8.25,4.75,13.0,200.0,147.63,12.53,-0.09,0.0,2.08,39.375,8.53,0.09,0.04,0.0,0.0,19.04,0.0,20.72,0.0,25.08,16.78,16.56,8.53,8.53,3,2014,0.0,191.0,7.64
2014-06-30,27.739999999999995,0.5200000000000005,0.0025490196078431396,0.0,6.700000000000001,0.9000000000000004,2.9799999999999986,6.55,26.83,0.8000000000000007,57.28,4.06,70.11,0.33,159.47,7.57,0.0,8.16,3.16,11.32,200.0,148.15,10.430000000000001,0.0,0.0,2.08,642.4038461538456,8.84,0.08,0.04,0.0,0.0,1.3050980392156875,1.7843137254901975,1.4045098039215698,1.496274509803923,1.7613725490196095,11.26,11.04,8.59,8.59,6,2014,0.0,204.0,8.16
2014-09-30,43.08,5.15,0.027084898572501882,0.0,10.989999999999998,6.460000000000001,8.550000000000002,13.7,36.63000000000001,6.75,10.48,26.8,42.6,0.33,165.28,6.21,0.0,8.93,3.06,11.99,200.0,153.29,-46.79,-0.020000000000000004,0.0,2.09,126.45146116504856,17.87,0.08,0.07,0.0,0.0,12.459053343350867,16.730728775356877,13.434109691960932,14.192486851990985,16.746205860255447,11.56,11.38,4.77,4.77,9,2014,0.0,190.14285714285714,13.31
2014-12-31,24.92,-12.17,-0.1067543859649123,0.0,-9.059999999999999,-13.96,-11.700000000000001,14.5,38.89,-14.81,147.31,25.81,222.17,7.01,314.1,3.16,1.02,167.21,5.76,172.98,200.0,141.12,-11.280000000000001,-0.26,148.37,2.26,-33.95645028759244,20.55,1.23,0.01,0.0,0.0,-15.37263157894737,-54.658245614035096,-34.58842105263158,-34.58842105263158,-86.25754385964913,0.83,0.8,1.33,1.33,12,2014,0.0,113.99999999999999,1.14
2015-03-31,154.53,-24.53,-0.1,0.0,0.33,-22.5,-0.22,7.7,177.02,-19.53,40.85,161.51,281.67,60.61,825.84,34.56,1.42,162.26,7.93,170.18,263.78,655.66,-133.39,-387.22,414.15,22.28,-19.25,3.1,0.26,-0.1,0.0,0.0,-11.88,-18.24,-14.96,-24.44,-13.560000000000002,-15.97,-15.87,1.74,1.74,3,2015,0.0,245.3,-24.53
2015-06-30,117.16999999999999,-11.46,-0.03502639622117255,0.0,2.64,-11.100000000000001,21.23,12.5,128.28,-11.32,815.3,292.98,1251.65,74.75,1908.2,77.41,1.72,143.28,8.81,152.09,490.16,1756.11,-96.0,-138.41999999999996,1008.87,32.33,-89.22128272251308,3.49,0.09,-0.11,0.0,0.0,-2.4072686857460406,-4.139483189774938,-2.611058627396499,-4.814537371492081,-2.420005557099194,-13.55,-13.25,8.74,8.74,6,2015,0.0,327.1818181818182,-35.99
2015-09-30,36.139999999999986,-281.38,-0.7181453823612818,0.75,-70.45,-292.95,-209.28,11.2,329.09,-194.54,159.56,165.29,939.02,75.11,1660.54,109.81,1.75,137.42,7.41,144.83,512.06,1515.71,-73.23000000000002,-614.0500000000001,31.539999999999964,83.67,-3.8997326569052526,3.78,0.1,-0.81,0.75,-0.93,-67.7716457132054,-126.8546188990768,-74.26155213158144,-134.8694760059237,-76.03475060654756,-105.77,-103.1,6.83,6.83,9,2015,293.8611111111111,391.8148148148148,-317.37
