,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,cash,property_plant_equipment,total_asset,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,NPMA%,TIE,month,year,operating_profit,dividend,ROCE%,number_of_shares,return_old
2003-09-30,,,,,,,,,12.41,,2953.24,178.57,8294.64,4354.54,2725.0,3940.1,,,,,,0.0,1.11,1.18,0.0,0.0,,,,,34.89,0.0,9,2003,,,,543.9830508474577,641.9
2003-12-31,885.6099999999999,251.88,0.5269927722705812,0.0,,420.66999999999996,433.64999999999986,48.25,15.17,464.93999999999994,1752.86,172.37,10372.57,6638.37,2725.0,3734.2,-2017.05,9.810000000000002,1057.21,12.980000000000004,22.88741067174845,35.21,1.78,1.87,0.0,0.0,9.716957640582692,0.0,26.97526639665242,0.0,32.8,0.0,12,2003,,0.0,,477.9572192513369,893.78
2004-03-31,1155.68,418.14,0.77,0.8,,557.63,577.7,45.75,12.53,598.05,3525.21,174.48,7480.73,3764.4,2725.0,3716.34,1796.48,-24.13,0.0,20.07,14.855,33.55,1.01,0.77,0.8,1.04,22.36,0.0,45.0,0.0,36.18,0.0,3,2004,,434.43116883116886,,543.038961038961,418.14
2004-09-30,1329.32,422.03999999999996,0.7735742340926943,0.5037134899664357,,567.8000000000001,611.06,35.75,12.34,761.52,1496.0,164.93,6824.5,2958.63,2725.0,3865.87,-1285.35,-35.349999999999994,-708.5,43.26,11.551380082456639,25.2,0.77,1.54,1.3,0.84,24.734282653717063,29.918234664000575,43.66173534242662,43.25987859744341,33.81,0.0,9,2004,,274.8116883116883,,545.5714285714286,840.18
2004-12-31,725.4499999999998,202.48000000000013,0.370913624767422,0.0007712416867846522,,282.29999999999995,304.72,37.25,12.33,443.1500000000001,1854.77,145.53,6628.17,2559.81,2725.0,4068.36,381.77,-23.009999999999998,0.0,22.42,25.10355343737652,24.95,0.63,1.91,1.3,0.68,12.218788099668165,12.863517541672266,19.90893445610267,20.763395162373175,32.48,0.0,12,2004,,0.4210172026926102,,545.8952879581152,1042.66
2005-03-31,794.32,268.2,0.48999999999999994,1.0,,353.74,373.67,29.75,0.0,440.58,2467.26,202.78,6717.65,2926.1,2725.0,3791.56,689.46,-76.97,0.0,19.93,15.1775,21.38,0.77,0.49,1.0,2.04,15.96,19.92,28.28,28.56,33.76,0.0,3,2005,,547.3469387755102,,547.3469387755102,268.2
2005-06-30,558.34,157.35000000000002,0.2884102925625661,-0.003244300892722295,,207.62,232.91000000000003,25.0,0.0,350.71999999999997,2197.3,214.12,6292.29,2343.39,2725.0,3948.9,312.24,-37.19,-545.0,25.29,21.6696496663489,17.25,0.59,0.78,1.0,1.28,9.998223475502293,0.0,15.943912583715193,0.0,31.46,0.0,6,2005,,-1.7700156985871445,,545.5769230769231,425.55
2005-09-30,570.3299999999999,164.57,0.3011855215888294,0.3515198994728581,,219.55999999999995,243.31999999999994,30.0,0.0,350.77,1965.99,205.51,6035.9,2113.17,2725.0,3922.73,-25.940000000000055,-14.629999999999995,-190.75,23.760000000000005,24.903587531141767,20.84,0.54,1.08,1.35,1.25,10.909608893106487,13.542193452179218,16.777149054429604,16.89985426692876,30.69,0.0,9,2005,,192.07307692307688,,546.4074074074074,590.12
2005-12-31,459.9100000000001,124.86000000000001,0.22877087470978213,-0.0015364066127723634,,159.88,184.10000000000002,26.5,0.0,300.03,3036.16,199.52,6329.12,2281.54,2725.0,4047.58,1093.3999999999999,-23.24000000000001,0.0,24.22,28.960526589780553,17.84,0.56,1.31,1.35,1.03,7.893468348765001,10.14275755965202,12.336163808777869,12.308222327897285,30.0,0.0,12,2005,,-0.8385496183205987,,545.7862595419847,714.98
2006-03-31,673.57,216.11,0.4,0.83,,287.3,311.22,23.9,0.0,386.27,3530.41,190.67,6714.14,2450.45,2725.0,4263.69,513.22,-18.96,0.0,23.92,14.9375,15.27,0.57,0.4,0.83,2.08,12.88,17.12,20.28,21.48,32.08,0.0,3,2006,,448.42824999999993,,540.275,216.11
2006-06-30,415.92999999999995,99.56,0.18292774099534323,0.006075062565337343,,135.99,160.57,21.7,0.0,279.94000000000005,3083.32,174.7,5608.52,1697.62,2725.0,3910.91,13.559999999999945,-8.3,-452.35,24.58,29.65351220369626,15.12,0.43,0.58,0.83,1.43,7.102642633129533,8.969767161909589,10.180874964361516,10.130412139259352,28.97,0.0,6,2006,,3.306405172413861,,544.2586206896552,315.67
2006-09-30,423.29999999999995,98.38,0.1805791571066296,0.2508287937905218,,132.42000000000002,157.35999999999996,20.3,3.53,290.89,2773.17,160.96,6443.66,2550.07,2738.84,3893.58,-185.09999999999997,-9.349999999999998,-115.70999999999992,24.939999999999998,28.103464881073393,14.28,0.65,0.76,1.08,1.42,6.111178843134886,8.468212051684578,10.102928631807753,10.064911967153725,27.37,0.0,9,2006,,136.65218693284942,,544.8026315789474,414.05
2006-12-31,457.6100000000001,118.74999999999994,0.21842154654654647,-0.002243065433855037,,160.39,184.81000000000006,17.6,2.04,297.19999999999993,2543.84,147.55,5514.55,1501.05,2740.51,4013.49,-220.64,-9.850000000000001,1.169999999999959,24.42,20.14544842105264,12.02,0.37,0.98,1.08,1.1,8.612049549549546,10.77843468468468,11.839339339339334,11.785848348348344,27.04,0.0,12,2006,,-1.219495166487718,,543.6734693877551,532.8
