,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,account_receivable,inventory,current_asset,property_plant_equipment,total_asset,account_payable,current_portion_long_term_debt,current_liability,non_current_liability,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,ROCE%,NPM%,NPMA%,CurrentRatio,QuickRatio,month,year,dividend,number_of_shares,return_old
2012-09-30,,,,,,,,,,,87.13,10.65,103.6,201.38,109.81,371.2,57.86,1.34,65.14,9.33,74.47,217.5,296.74,,,,,,0.0,0.25,1.35,0.0,0.0,,,,,,22.25,22.0,3.09,1.5,9,2012,,91.05185185185185,122.92
2012-12-31,219.01999999999998,50.77999999999999,0.3946632124352331,0.0,155.02000000000004,57.93000000000001,64.47999999999999,16.0,161.08999999999997,56.390000000000015,298.26,11.76,123.57,893.6,122.11,1078.53,68.83,1.32,83.1,8.97,92.07,300.0,986.45,44.04999999999999,-471.51,638.59,6.550000000000001,10.13364021268216,4.87,0.09,1.35,0.0,0.0,18.838590673575126,0.0,20.592649395509493,0.0,25.726194588370753,22.56,22.34,10.75,9.27,12,2012,0.0,128.66666666666666,173.7
2013-03-31,232.84,54.2,0.18,0.0,163.8,67.96,75.05,22.0,164.87,61.62,236.74,16.93,148.64,962.31,127.16,1158.76,81.09,1.46,109.22,8.53,117.75,300.0,1041.01,41.74,-102.9,-0.36,7.09,30.555,6.34,0.11,0.18,0.0,0.0,18.72,0.0,20.84,0.0,25.92,23.93,23.28,8.81,7.45,3,2013,0.0,301.11111111111114,54.2
2013-06-30,247.38000000000002,55.17999999999999,0.18161272627537026,0.35,171.62,69.14,76.91000000000001,24.9,178.25,62.839999999999996,219.15,18.72,143.7,881.57,131.59,1092.39,69.78,0.0,97.4,3.8,101.2,300.0,991.19,55.88999999999999,37.95,-111.44,7.77,34.277884197172895,7.54,0.1,0.36,0.35,0.97,20.199371000182847,0.0,22.277827756445415,0.0,27.80692631194002,23.39,22.78,9.05,7.58,6,2013,106.34166666666665,303.8333333333333,109.38
2013-09-30,247.82999999999993,48.25,0.16223117426885747,0.2924469749836114,169.27999999999997,60.370000000000005,68.6,22.0,187.46000000000004,53.760000000000005,105.99,23.63,166.97,846.59,135.9,1066.23,100.48,0.0,112.6,4.2,116.79,300.0,949.44,38.170000000000016,-61.489999999999995,-89.83,8.23,33.90270103626943,6.95,0.12,0.53,0.65,1.23,18.09642834485821,33.64613335025059,20.324811266890823,30.97697138869505,25.35703863477765,22.24,21.65,7.52,6.04,9,2013,86.97814465408804,297.4150943396226,157.63
2013-12-31,274.61,53.78,0.17807104678113617,0.00989845359950673,183.67000000000002,67.39000000000001,76.45999999999998,20.2,207.2299999999999,60.22,192.14,25.84,175.77,893.76,157.01,1138.06,105.21,0.0,130.69,4.14,134.84,300.0,1003.22,56.349999999999994,29.959999999999994,-0.17000000000001592,9.069999999999997,28.362275009297136,6.04,0.13,0.7,0.65,0.93,18.906057423962917,24.319417246109456,21.439754032448796,21.62291282342368,26.751358970720403,21.66,21.08,6.84,5.49,12,2013,2.989474393531026,302.01428571428573,211.41
2014-03-31,280.87,53.59,0.18000000000000002,0.0,186.61,66.95,76.84,19.7,213.91,60.36,137.29,23.88,182.03,843.2,163.69,1200.98,99.84,0.0,138.77,7.83,146.6,300.0,1054.38,51.92,-106.76,0.0,9.89,27.36,5.61,0.14,0.18,0.0,0.0,17.84,22.68,20.32,20.48,25.2,19.54,19.08,6.08,4.76,3,2014,0.0,297.72222222222223,53.59
2014-06-30,315.20000000000005,61.56999999999999,0.20316602987148316,0.35,206.08999999999997,77.08,87.87,22.8,238.13000000000002,70.39999999999999,156.08,20.05,199.95,796.08,163.32,1156.58,108.13,0.0,137.2,8.42,145.63,300.0,1010.95,52.25,71.53,-105.0,10.79,28.055871365924965,6.77,0.14,0.38,0.35,0.92,21.300354289683916,27.39533518582841,24.35853768669677,24.593782563390064,30.21827370614797,19.76,19.32,5.8,4.34,6,2014,106.06842105263156,303.05263157894734,115.16
2014-09-30,362.52,81.25999999999999,0.2689084614601364,0.3489946355553888,242.45999999999998,101.65,113.22,30.0,260.85999999999996,95.67000000000002,153.66,19.66,251.49,804.81,182.3,1186.22,169.75,0.0,190.32,8.68,199.01,300.0,987.21,99.36,3.219999999999999,-105.0,11.57,27.888207605217822,9.12,0.2,0.65,0.7,1.08,27.403840749414517,36.09165258120354,32.93094389573363,33.55977599022503,40.82444150290195,20.91,20.49,4.23,2.91,9,2014,105.46080971659917,302.18461538461537,196.42
2014-12-31,426.67999999999995,104.74000000000004,0.34778855093637945,-0.002381560530052876,279.71000000000004,131.11,142.83999999999997,33.75,295.58000000000004,124.54000000000002,174.56,22.26,288.49,875.31,198.43,1286.95,142.69,0.0,190.38,9.06,199.44,300.0,1087.51,64.03999999999999,-43.13,0.0,11.729999999999997,24.260430590032456,9.31,0.18,1.0,0.7,0.7,32.55300836764511,43.23707265241069,38.521059901713386,40.07915260990836,47.800058440695985,22.15,21.74,4.6,3.08,12,2014,-0.7172307692307243,301.16,301.16
