,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,expense,operating_profit,cash,total_asset,total_liability,cash_flow_operation,cash_flow_financing,DPS,month,year,EPS,cash_flow_investment,depreciation,dividend,P/E,ROA%,ROAA%,ROE%,ROAE%,ROCE%,number_of_shares,return_old
2011-06-30,,,,,,,,9.75,,,48.7,3664.22,158.38,,,0.0,6,2011,,,,,,,,,,,,
2011-09-30,150.24,,,,,,,9.55,62.919999999999995,-1.13,103.08,3681.41,170.79,136.9100000000003,-82.51999999999998,0.24,9,2011,,,,,,,,,,,,
2011-12-31,150.70999999999998,,,,,,,9.7,74.81,-2.0300000000000002,62.67,3722.9,194.55,42.10999999999967,-82.5300000000002,0.48,12,2011,,,,,,,,,,,,
2012-03-31,148.91,,,,,,,10.5,64.52,-1.31,55.59,3708.42,185.81,75.44,-82.52,0.24,3,2012,,,,,,,,,,,,
2012-06-30,150.17,,,,,,,11.3,66.67999999999999,-1.8599999999999999,41.14,3725.23,198.13,68.07,-82.53000000000002,0.48,6,2012,,,,,,,,,,,,
2012-09-30,151.66000000000003,,,,,,,13.4,69.58000000000001,-2.16,36.54,3742.04,202.26,80.60000000000002,-85.19,0.73,9,2012,,,,,,,,,,,,
2012-12-31,159.30999999999995,,,,,,,14.5,76.60999999999999,-1.71,32.72,4035.75,217.87,81.37,-85.19,0.98,12,2012,,,,,,,,,,,,
2013-03-31,162.56,,,,,,,13.9,71.76,-1.3,36.45,4059.93,222.24,88.92,-85.19,0.25,3,2013,,,,,,,,,,,,
2013-06-30,161.01999999999998,,,,,,,13.1,71.37999999999998,-1.3,41.33,4098.11,222.71,91.30999999999999,-86.43,0.5,6,2013,,,,,,,,,,,,
2013-09-30,160.72000000000003,,,,,,,12.5,73.70000000000002,-1.21,33.74,4110.37,232.11,78.83000000000001,-86.42000000000002,0.75,9,2013,,,,,,,,,,,,
2013-12-31,165.44,,,,,,,11.9,80.15,-1.0299999999999998,240.65,4127.14,252.45,293.33,-86.41999999999996,1.01,12,2013,,,,,,,,,,,,
2014-03-31,164.04,,,,,,,11.9,69.3,-1.69,124.65,4148.16,257.36,-24.37,-91.62,0.27,3,2014,,,,,,,,,,,,
2014-06-30,168.20000000000002,,,,,,,12.5,72.96,-1.2800000000000002,45.07,4179.18,257.11,10.020000000000001,-89.60999999999999,0.53,6,2014,,,,,,,,,,,,
2014-09-30,166.68,,,,,,,12.3,76.13,-1.4599999999999995,290.22,4193.91,266.14,334.75,-89.6,1.09,9,2014,,,,,,,,,,,,
2014-12-31,205.58999999999997,,,,,,,11.8,91.23000000000002,-2.66,81.43,6350.81,821.77,-2167.03,1958.24,1.09,12,2014,,,,,,,,,,,,
2015-03-31,227.64,,,,,,,12.1,84.69,-2.9,138.58,6384.61,811.44,162.77,-105.62,0.22,3,2015,,,,,,,,,,,,
2015-06-30,228.37,,,,,,,12.7,90.77000000000001,-3.2600000000000002,86.2,6260.03,810.44,74.63,-127.00999999999999,0.48,6,2015,,,,,,,,,,,,
2015-09-30,230.43000000000006,,,,,,,13.7,100.4,-3.4700000000000006,72.35,6286.63,821.72,112.34,-126.19,0.75,9,2015,,,,,,,,,,,,
2015-12-31,232.31999999999994,,,,,,,14.3,97.40999999999997,-3.3099999999999987,114.86,6367.38,831.4,173.5,-130.99,1.01,12,2015,,,,,,,,,,,,
2016-03-31,231.09,,,,,,,16.8,85.45,-2.82,96.83,6235.38,804.7,112.96,-130.99,0.26,3,2016,,,,,,,,,,,,
2016-06-30,233.54,,,,,,,16.7,97.89999999999999,-3.73,60.75,6229.6,815.63,98.76,-134.83999999999997,0.53,6,2016,,,,,,,,,,,,
2016-09-30,225.40999999999997,,,,,,,17.0,96.81000000000003,-3.6000000000000005,93.78,6231.51,820.05,161.36999999999998,-128.34000000000003,0.79,9,2016,,,,,,,,,,,,
2016-12-31,233.74,,,,,,,15.7,95.31,-4.449999999999999,162.32,6245.61,840.65,190.70999999999998,-122.18,1.03,12,2016,,,,,,,,,,,,
2017-03-31,228.54,,,,,,,13.4,83.1,-2.82,108.01,6226.93,819.96,85.12,-139.42,0.28,3,2017,,,,,,,,,,,,
2017-06-30,234.47,,,,,,,13.9,94.93,-5.0600000000000005,84.32,6241.87,825.94,115.96000000000001,-139.66,0.56,6,2017,,,,,,,,,,,,
2017-09-30,228.51999999999998,,,,,,,14.5,95.60999999999999,-3.38,107.88,6195.42,827.13,163.46,-139.90000000000003,0.84,9,2017,,,,,,,,,,,,
