,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,cash,account_receivable,property_plant_equipment,total_asset,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,NPMA%,month,year,expense,operating_profit,depreciation,dividend,ROCE%,number_of_shares,return_old
2013-06-30,,,,,,,,,16.52,0.0,49.05,1458.82,611.0,500.0,847.82,,,,,0.0,0.72,0.37,0.0,0.0,,,,,28.6,6,2013,,,,,,497.05405405405406,183.91
2013-09-30,398.80000000000007,126.78,0.2448356883066722,0.0,,156.32000000000002,156.32000000000002,,133.66,0.0,48.36,1797.69,651.75,590.0,1145.94,92.42000000000002,-155.06,179.79000000000002,0.0,0.0,0.57,0.6,0.0,0.0,28.205071292928643,0.0,44.2499700666259,0.0,29.82,9,2013,,,,0.0,,517.8166666666667,310.69
2013-12-31,365.78999999999996,72.31,0.1340472584856397,0.2,,90.32,90.32,14.0,62.07,0.0,47.64,1804.89,713.31,600.0,1091.59,151.66,-102.63,-120.63000000000001,26.112432581938872,7.7,0.65,0.71,0.2,0.28,16.025255352480418,0.0,26.499821409921676,0.0,27.21,12,2013,,,,107.88732394366198,,539.4366197183099,383.0
2014-03-31,372.34,110.87,0.18,0.25,,135.88,135.88,13.8,68.87,0.0,46.99,1972.72,739.4,600.0,1233.32,148.99,-142.2,0.0,19.1675,6.71,0.6,0.18,0.25,1.39,22.48,0.0,35.96,0.0,29.78,3,2014,,,,153.98611111111111,,615.9444444444445,110.87
2014-06-30,389.8500000000001,89.78999999999999,0.1476662015349347,-0.0032413867570351457,,110.44,110.44,15.6,19.57,0.0,46.36,1868.54,692.24,600.0,1176.3,-13.840000000000003,114.54999999999998,-150.0,26.40939469874151,7.96,0.59,0.33,0.25,0.76,19.22345459982059,26.5083205422107,30.535580584072555,35.49358516894248,26.33,6,2014,,,,-1.970959595959613,,608.060606060606,200.66
2014-09-30,455.78999999999996,56.91999999999999,0.09502135258948674,0.1962282974162779,,68.30000000000001,68.30000000000001,16.8,24.27,0.0,45.83,1860.09,739.49,600.0,1120.59,54.25999999999999,70.44999999999999,-120.0,44.20085470836262,9.0,0.66,0.43,0.45,1.05,12.24228589176178,15.203416414317878,20.321310660765583,20.091491575432872,21.15,9,2014,,,,117.54531360112759,,599.0232558139535,257.58
2014-12-31,484.04999999999995,114.14000000000004,0.19037662756913812,0.0003941451304933094,,134.57,134.57,13.9,79.79,0.0,45.14,1978.54,788.83,600.0,1189.71,231.73999999999998,-176.23000000000002,0.0,18.253816365866474,7.01,0.66,0.62,0.45,0.73,23.078560206607133,29.170612288819548,38.370102227483066,40.02822124179492,21.84,12,2014,,,,0.23630907726931127,,599.5483870967743,371.72
2015-03-31,456.44,124.71,0.20999999999999996,0.25,,153.82,153.82,13.3,179.42,0.0,44.51,2124.0,810.69,600.0,1313.31,104.42,-4.79,0.0,15.8325,6.08,0.62,0.21,0.25,1.19,23.48,30.04,38.0,39.16,27.32,3,2015,,,,148.46428571428572,,593.8571428571429,124.71
2015-06-30,423.57,92.05,0.1528787599188042,0.0034270951414335565,,113.16000000000003,113.16000000000003,13.4,203.13,0.0,44.34,1970.72,710.41,600.0,1260.31,55.55,118.16000000000001,-150.0,21.911480717001627,6.38,0.56,0.36,0.25,0.69,18.685181767853848,23.628261671895185,29.21682967337147,30.219034877283633,24.63,6,2015,,,,2.063492063492049,,602.1111111111111,216.76
2015-09-30,538.99,72.00999999999999,0.11969664438826748,0.19978933638074134,,87.85999999999996,87.85999999999996,13.2,68.59,0.0,43.65,1920.47,720.67,600.0,1199.8,-18.039999999999992,3.5,-120.0,27.56969518122483,6.6,0.6,0.48,0.45,0.94,15.001979429996188,18.722550126398172,24.009151920213316,24.827078990199812,20.35,9,2015,,,,120.19409722222224,,601.6041666666666,288.77
2015-12-31,472.27,99.90000000000003,0.1670697506882446,-0.0027471087297707645,,123.27000000000004,123.27000000000004,11.2,73.86,0.0,42.89,2025.33,742.86,600.0,1282.46,224.52999999999997,-219.27,0.0,16.758718968968964,5.24,0.58,0.65,0.45,0.69,19.729652404353313,24.551542439601725,31.162363959142727,32.32414130239021,20.55,12,2015,,,,-1.6426442307692355,,597.9538461538461,388.67
