,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,cash,account_receivable,property_plant_equipment,total_asset,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,depreciation,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,NPMA%,month,year,operating_profit,dividend,ROCE%,number_of_shares,return_old
2000-03-31,185.52,12.93,0.28,3.0,,12.93,30.67,2.4,3.73,172.6,117.7,0.0,192.35,1461.65,408.71,462.69,1052.93,-105.01,-8.15,1.01,17.74,2.1425,1.05,0.39,0.28,3.0,10.71,3.52,0.0,4.92,0.0,6.97,3,2000,,138.53571428571428,,46.17857142857142,12.93
2000-06-30,89.24999999999997,-64.22999999999999,-1.3897719298245614,0.0024436090225565003,,-64.22999999999999,-41.69,1.63,3.34,153.47,177.38,0.0,209.28,1517.48,525.79,462.7,991.69,425.19,-226.7,-138.79999999999998,22.540000000000003,-0.2915226529659038,0.76,0.53,-1.11,3.0,-2.7,-16.927672514619882,0.0,-25.892327485380115,0.0,-18.67,6,2000,,0.11293436293436798,,46.21621621621621,-51.3
2000-09-30,66.21000000000004,-70.34,-1.520833607365998,0.0022529928810756422,,-70.34,-46.36,1.35,5.77,136.55,49.58,0.0,206.2,1386.71,470.64,462.7,916.07,-192.65,64.85,0.0,23.980000000000004,-0.22048763150412282,0.68,0.51,-2.63,3.0,-1.14,-20.28549161460046,0.0,-30.71736928641894,0.0,-35.67,9,2000,,0.1042030623779624,,46.250950570342205,-121.64
2000-12-31,46.50999999999999,-54.540000000000006,-1.1794607787490068,-0.0006150812748970042,,-54.540000000000006,-30.18,1.23,2.09,101.04999999999995,233.94,0.0,203.62,1096.29,228.72,464.36,867.56,2.1599999999999966,180.53,1.6699999999999875,24.36,-0.2584231756508984,0.66,0.26,-3.81,3.0,-0.79,-19.899144057214215,0.0,-25.1494471563174,0.0,-45.47,12,2000,,-0.028442262207704516,,46.24146981627297,-176.18
2001-03-31,92.83,-15.9,-0.34,0.0,,-15.9,2.62,1.75,0.0,108.72,254.48,0.0,215.97,1235.53,381.44,464.76,854.1,-63.2,83.33,0.4,18.52,-1.2875,0.95,0.45,-0.34,0.0,0.0,-5.16,-4.72,-7.44,-6.68,-17.13,3,2001,,0.0,,46.76470588235294,-15.9
2001-06-30,67.97000000000001,-28.550000000000004,-0.6166029246344208,0.0,,-28.550000000000004,-12.98,1.55,0.64,96.53,145.13,0.0,210.88,1373.18,537.01,464.93,836.17,-68.60000000000001,-36.36,0.16999999999999993,15.570000000000004,-0.6266593695271454,0.86,0.64,-0.96,0.0,0.0,-8.32413948256468,-7.913070866141734,-13.668031496062994,-12.486209223847021,-27.64,6,2001,,0.0,,46.302083333333336,-44.45
2001-09-30,88.66,-24.450000000000003,-0.5251959361393324,0.0,,-24.450000000000003,-8.510000000000002,1.35,0.0,113.10000000000002,139.43,0.0,219.38,1172.56,366.11,465.4,806.44,4.940000000000012,-11.11,0.4600000000000001,15.939999999999998,-0.6410940695296523,0.78,0.45,-1.48,0.0,0.0,-8.346357039187227,-7.636632801161103,-12.12208998548621,-11.355587808417997,-27.62,9,2001,,0.0,,46.554054054054056,-68.9
2001-12-31,99.91,-116.9,-2.516684607104413,0.0,,-116.9,-79.3,3.1,1.43,216.81999999999994,243.07,0.0,191.83,1725.52,1031.36,468.78,694.16,86.6,13.649999999999999,3.38,37.599999999999994,-0.30993156544054745,2.09,1.49,-4.0,0.0,0.0,-27.10469321851453,-33.14473627556512,-67.37164693218514,-59.871926803013984,-53.18,12,2001,,0.0,,46.45,-185.8
2002-03-31,296.56,112.28,2.27,0.0,,112.28,129.02,3.73,2.09,184.28,326.6,0.0,140.94,1579.9,672.8,558.42,907.09,22.8,-29.64,90.37,16.74,0.41,2.29,0.74,2.27,0.0,0.0,28.44,31.92,49.52,51.0,37.86,3,2002,,0.0,,49.4625550660793,112.28
2002-06-30,251.06,74.87,1.3481800694629977,0.0,,74.87,91.01999999999998,3.9,2.89,176.19000000000003,519.0,0.0,135.36,2212.7,929.61,669.86,1273.28,-80.61,-22.43,295.45,16.150000000000002,0.7249031654868437,2.05,0.73,3.37,0.0,0.0,13.537808175260489,16.706231365215068,23.52314186481432,28.38779161100721,34.18,6,2002,,0.0,,55.53412462908012,187.15
2002-09-30,159.76999999999998,20.409999999999997,0.34318221237232605,0.0,,15.759999999999991,33.83000000000001,2.55,2.26,144.01999999999998,255.68,0.0,152.8,1757.26,452.03,672.03,1300.08,-125.49000000000001,-155.73000000000002,17.879999999999995,18.07,1.8559382655561003,1.32,0.35,3.49,0.0,0.0,4.645251493544035,5.447648872615146,6.2815128155714,7.752574677201772,29.34,9,2002,,0.0,,59.4727793696275,207.56
2002-12-31,191.57000000000005,33.28999999999999,0.5404355407930246,0.0,,32.74000000000001,50.43000000000001,2.75,1.72,158.81999999999994,305.28,0.0,0.0,1720.02,373.3,683.75,1342.12,15.27000000000001,28.830000000000013,5.509999999999991,17.690000000000005,1.2661084409732655,1.4,0.28,3.91,0.0,0.0,7.740253269669918,7.5633331949346045,9.92411044218393,13.08102802574216,26.79,12,2002,,0.0,,61.59846547314578,240.85
2003-03-31,143.45,-6.34,-0.09,0.5,,-7.79,9.81,2.41,1.0,151.24,495.5,0.0,123.05,1881.44,572.28,685.08,1306.0,116.9,-27.49,0.9,17.6,-6.695,1.26,0.44,-0.09,0.5,-5.56,-1.36,-1.8,-1.9600000000000002,-2.28,-4.42,3,2003,,35.22222222222222,,70.44444444444444,-6.34
2003-06-30,251.87,86.61,1.2624106141771523,-0.013392300984178429,,85.88000000000001,103.59,3.48,0.51,165.98000000000002,197.92,0.0,115.88,3167.84,1743.18,685.35,1422.22,-540.52,-15.510000000000002,258.44,17.71,0.6881477312088674,1.67,1.23,1.17,0.5,0.43,10.919312320916905,12.516207798679456,24.341866201569704,25.722964993148125,20.31,6,2003,,-0.9188034188034209,,68.6068376068376,80.27
2003-09-30,628.6300000000001,263.44,3.8093066829594715,0.003977214939945176,,281.52,299.30999999999995,7.7,0.32,347.12,389.27,0.0,114.83,3428.17,1666.63,711.51,1757.95,483.94,-33.260000000000005,-259.32,17.79,0.5055710028849074,3.12,0.95,4.97,0.5,0.1,30.75037909865875,42.52320619126589,59.93717959908062,68.92009193797097,33.57,9,2003,,0.2750520215308967,,69.1569416498994,343.71
2003-12-31,1108.89,386.51000000000005,0.5557715483005122,0.4502788277968322,,531.4499999999999,549.48,12.0,2.12,577.4399999999999,733.01,0.0,119.67,6168.71,4002.78,715.39,2159.32,358.2,-17.209999999999994,2.75,18.029999999999994,5.3985761041111475,3.98,1.85,1.05,0.5,0.48,25.067943359535487,47.82811152803265,71.60454767056504,88.309452493769,34.24,12,2003,,313.1453386988598,,695.447619047619,730.22
2004-03-31,678.0,232.12,0.3,0.32,,308.22,326.97,9.9,0.0,369.78,1568.71,0.0,137.52,4734.24,1879.26,816.45,2848.29,114.49,-79.64,800.85,18.75,8.25,2.84,0.66,0.3,0.32,1.07,19.6,37.28,32.6,44.68,34.24,3,2004,,247.59466666666668,,773.7333333333333,232.12
2004-06-30,443.6400000000001,118.54000000000002,0.14874123082187876,0.009323979543337312,,161.22999999999996,181.11999999999995,9.3,3.79,282.4100000000001,872.27,0.0,143.75,4599.79,1664.93,817.8,2927.97,-284.89,-151.32,-260.23,19.89,15.63386283111186,2.6,0.57,0.44,0.32,0.73,10.303710716933784,16.34801346033195,16.19927222951007,21.797351280442598,31.26,6,2004,,7.430787878787868,,796.9545454545455,350.66
2004-09-30,356.4599999999998,72.79999999999995,0.08939687337646998,0.006834089728341847,,97.27000000000004,118.39000000000004,8.25,0.44,259.18999999999994,1115.87,0.0,150.96,4117.3,1140.41,821.97,2970.24,261.35,-21.67999999999998,3.92999999999995,21.119999999999997,23.077988324175834,2.28,0.38,0.52,0.32,0.62,7.069229679308549,10.328777216265994,9.806149341142016,12.316138478250595,28.65,9,2004,,5.565314685314689,,814.3461538461538,423.46
2004-12-31,354.6400000000001,79.88,0.09839392855723765,-0.0009883516570845761,,98.44999999999993,118.27999999999997,8.0,0.73,256.18999999999994,1210.48,0.0,180.62,3993.33,925.5,822.33,3061.07,135.26,-41.03000000000003,0.37999999999999545,19.830000000000005,20.321375813720582,2.15,0.3,0.62,0.32,0.52,7.998474192394802,8.30952596654349,10.436104422457982,12.238935113442206,27.46,12,2004,,-0.8023821339950814,,811.8387096774193,503.34
2005-03-31,423.28,105.54,0.13,0.32,,144.82,166.01,6.6,0.0,278.46,1550.07,0.0,192.26,4348.96,1470.59,822.76,2871.51,367.14,-28.07,0.52,21.19,12.692500000000003,1.89,0.51,0.13,0.32,2.46,9.72,12.76,14.72,14.76,24.93,3,2005,,259.79076923076923,,811.8461538461538,105.54
