,revenue,net_profit,eps,dps,gross_profit,ebit,ebitda,close_price,allowance_doubtful_accounts,expense,cash,account_receivable,property_plant_equipment,total_asset,total_liability,paid_in_capital,total_equity,cash_flow_operation,cash_flow_investment,cash_flow_financing,P/E,P/BV,D/E,EPS,DPS,DPR%,ROA%,ROAA%,ROE%,ROAE%,NPMA%,month,year,operating_profit,depreciation,dividend,ROCE%,number_of_shares,return_old
2000-03-31,504.66,22.26,1.9799999999999998,0.0,,32.68,32.68,13.4,0.93,51.2,1246.48,0.0,319.33,2825.01,2105.46,112.5,719.54,-25.66,-99.82,-0.01,1.6925,0.21,2.93,1.98,0.0,0.0,3.16,0.0,12.36,0.0,4.41,3,2000,,,0.0,,11.242424242424244,22.26
2000-06-30,494.55,12.679999999999996,1.1286433886662848,0.0,,12.079999999999998,12.079999999999998,10.21,0.93,60.83,1293.76,0.0,315.14,2876.98,2140.45,112.5,736.53,-1.6499999999999986,147.66,-0.22,2.2595268138801266,0.16,2.91,3.11,0.0,0.0,1.7564739553520314,0.0,6.880732684602173,0.0,3.5,6,2000,,,0.0,,11.234726688102894,34.94
2000-09-30,489.43000000000006,36.09,3.206080529353794,0.0,,48.699999999999996,48.699999999999996,11.16,0.93,53.27000000000001,1207.24,0.0,310.95,2889.08,2124.19,112.5,764.89,35.849999999999994,-160.53,0.0,0.8708998337489608,0.16,2.78,6.31,0.0,0.0,4.999656483176123,0.0,18.880816556384627,0.0,4.77,9,2000,,,0.0,,11.256735340729003,71.03
2000-12-31,488.78,-26.64,-2.37053390403244,0.0,,-47.309999999999995,-47.309999999999995,12.12,3.65,57.329999999999984,1020.65,0.0,283.2,2933.48,2184.49,112.5,748.99,39.46,144.98,0.0,-1.278878566066066,0.18,2.92,3.95,0.0,0.0,-3.6248164000901104,-0.0,-14.235206127506196,-0.0,2.24,12,2000,,,0.0,,11.237974683544303,44.39
2001-03-31,488.44,29.68,2.64,0.0,,44.72,44.72,12.28,2.5,57.52,1064.07,0.0,281.07,3004.48,2220.82,112.5,783.66,57.23,-197.74,0.0,1.1625,0.18,2.83,2.64,0.0,0.0,3.96,6.12,15.159999999999998,15.8,6.08,3,2001,,,0.0,,11.242424242424242,29.68
2001-06-30,491.3,13.240000000000002,1.1783970177073626,1.5,,22.040000000000006,22.040000000000006,21.05,6.72,59.96999999999999,912.2,0.0,278.94,3070.83,2282.27,112.5,788.56,49.089999999999996,161.91000000000003,-16.19,4.465430513595166,0.3,2.89,3.82,1.5,0.39,1.727493010251631,2.76398881640261,6.712544268406339,6.946989748369059,4.38,6,2001,,,16.85340314136126,,11.23560209424084,42.92
2001-09-30,498.8299999999999,13.64,1.213033946251768,0.0011913401512176078,,16.72999999999999,16.72999999999999,19.78,8.57,55.88000000000001,910.66,0.0,289.24,3112.99,2322.6,112.5,790.39,72.9,-103.99,-0.13999999999999702,4.074061583577713,0.28,2.94,5.03,1.5,0.3,1.7556435643564359,2.6816973125884016,6.906817538896746,7.012927864214992,3.83,9,2001,,,0.013396063410112902,,11.244532803180915,56.56
2001-12-31,501.48,12.399999999999991,1.1022621809744773,0.000674606652428927,,10.540000000000006,10.540000000000006,17.54,3.83,60.870000000000005,947.0,0.0,290.22,3227.86,2381.71,112.5,846.15,73.16,-146.94,-0.21000000000000085,3.9763225806451636,0.23,2.81,6.13,1.5,0.24,1.5392111368909505,2.1937354988399056,5.8619489559164695,6.221577726218094,3.48,12,2001,,,0.007589049714763263,,11.249592169657422,68.96
2002-03-31,509.07,29.56,2.63,8.64,,36.5,36.5,29.0,3.07,63.45,1015.75,0.0,291.67,3238.86,2364.83,112.5,874.03,35.43,-24.65,0.0,2.7575,0.37,2.71,2.63,8.64,3.29,3.64,4.68,13.52,14.28,5.81,3,2002,,,97.1096577946768,,11.239543726235741,29.56
2002-06-30,503.27000000000004,17.2,1.3131736526946107,1.2259393001070107,,16.39,16.39,33.25,4.73,67.33,1063.99,0.0,292.22,3264.74,2378.0,200.0,886.75,24.130000000000003,33.58,-9.56,6.3275523255813955,0.75,2.68,3.57,8.64,2.42,2.1040205303678357,2.457142857142857,7.753977758768177,8.210094097519248,4.62,6,2002,,,16.05740102885261,,13.098039215686274,46.76
2002-09-30,494.4699999999999,15.560000000000002,1.0087034659820284,1.3037529260741516,,21.349999999999994,21.349999999999994,29.5,5.43,62.16,1139.04,0.0,290.67,3252.01,2358.06,200.0,893.96,30.090000000000003,23.05,0.0,7.309383033419022,0.66,2.64,4.04,8.64,2.14,1.9175353016688064,2.327008985879333,6.961052631578949,7.390500641848525,4.14,9,2002,,,20.111357018054733,,15.425742574257425,62.32
